chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.31820142,0.035019543,3065.7451938875474,2612.185396273559,6128.153852982955,0.15343128551136365,-307.856,55.697018,-17.379436,6.9818377,-22.368647,-3.6084719,-5.5994306,-15.029635,-19.07502,4.235754,0.15524536,-16.165169,5.405939,2.5494566,-5.1128354,-0.5447811,-12.065888,-1.4239162,-13.294633,-6.527376,FAKE
0.4854044,0.0014125444,2198.2339641123917,2432.6321739751697,4381.517444957386,0.10516912286931818,-500.68866,102.653366,-16.533148,17.381489,5.584261,-7.050934,-3.3288429,-1.0283035,-2.1592813,5.312935,2.9931307,-1.6170738,6.6027064,4.1800275,1.3694028,3.9288008,-5.39301,-1.2390536,-7.340294,1.4401834,FAKE
0.5516312,0.028425634,2064.519562110355,2241.8021464391554,3640.334805575284,0.11087313565340909,-446.95303,68.51883,3.1671667,3.9675078,10.017559,-6.8897624,-10.3557825,3.190613,-3.2120059,0.106568426,9.420251,-1.5301572,-2.8287334,2.3909533,7.0141525,7.069071,-3.3597848,-2.9548073,-4.9162703,-2.1552694,FAKE
0.26175535,0.064631134,2105.3207192206696,2339.191843149622,4132.172740589489,0.07346413352272728,-296.3532,81.21045,-3.5491545,-9.961495,2.0487475,-8.651101,-17.380054,-9.319469,-23.350721,-14.987582,3.2604418,-13.572388,-8.630247,-0.49947214,-4.7759976,2.5913432,-13.655369,-4.9858575,-10.444016,-8.17731,FAKE
0.21321946,0.08037288,2662.9246326328257,2729.5303990263205,5498.307661576705,0.1011962890625,-234.19562,47.477127,-14.0374365,5.460664,25.499596,-15.624032,-32.56261,-14.141516,-18.890602,-19.64389,-2.5865407,-22.433916,-7.0573764,0.09256952,-5.931805,3.2956252,-16.614754,-3.3672476,-14.248423,-10.043166,FAKE
0.28226718,0.05733589,1865.6653658454297,2387.4814815049226,3582.831365411932,0.06862571022727272,-297.06592,108.64433,0.8377668,-21.86927,4.551773,-5.521523,-21.041986,-10.77251,-22.108088,-14.65578,7.824569,-13.876487,-2.7813768,-2.4663737,-8.003979,2.4333582,-13.057727,-1.8671185,-8.230683,-6.2481704,FAKE
0.23165153,0.07678524,1778.5591996942508,2127.916257259525,3154.369562322443,0.06414240056818182,-266.30576,96.68325,-20.981367,-8.68892,-4.0052047,-13.488008,-12.413007,-9.15263,-15.112829,-26.548223,-2.4663236,-17.304245,-0.6715033,-0.045068644,-7.2066545,-0.46424294,-12.580247,-2.366831,-11.377348,-9.860122,FAKE
0.23202343,0.048935115,1751.6111210986392,2181.002229824396,3123.782626065341,0.059503728693181816,-313.06442,104.33955,-3.5512679,-2.4584508,0.27436697,-18.476398,-15.801679,-6.8105273,-21.636019,-18.187456,0.72293997,-15.995727,-6.7085567,-5.274092,-8.316463,-1.3604954,-12.054467,-2.4362078,-9.30947,-9.952732,FAKE
0.2836099,0.04628221,2122.0169217004454,2473.698848606182,4060.9663529829545,0.08812366832386363,-328.73904,88.1904,-2.9707873,8.057888,23.007236,-11.190112,-18.011097,-16.508627,-17.923286,-20.073446,0.7322654,-19.98986,-8.945141,-2.7603443,-1.5677383,-3.0612473,-12.060998,-0.5050401,-11.986962,-7.098772,FAKE
0.3473802,0.037885442,2423.462892508771,2582.4215464014524,4613.733465021307,0.11219371448863637,-302.01022,85.13551,-1.3140564,5.7406507,7.2100296,-10.529473,-13.806699,-18.471224,-19.674791,-13.115777,2.372703,-13.176691,-6.247375,-0.550474,1.4194928,-6.1165957,-15.302909,-0.60757536,-12.248606,-7.381398,FAKE
