chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.2926803,0.077298254,2069.0835293607906,2229.8732445153414,3575.2458052201705,0.10880903764204546,-250.1547,93.29449,-13.691684,-15.198394,-11.833957,-16.52986,-10.186439,-4.352127,-24.936878,-18.619867,2.151879,-15.17468,-0.8129971,-4.974627,-4.5116577,1.1023283,-22.957283,-7.3729916,-9.671855,-7.3601513,FAKE
0.4058254,0.038213555,2779.422614578427,2337.239670347881,4740.730424360795,0.17005504261363635,-249.24243,77.79874,-19.753765,-11.0916815,-3.207068,-7.8762984,-17.199722,-6.467999,-1.3465024,-4.1538935,-1.837518,-10.919378,-2.4143536,-2.0807364,-9.242822,1.2092732,-11.541236,-2.653734,-8.76531,-5.022685,FAKE
0.43942222,0.036920566,1661.1314262694134,1551.964320318607,2362.045565518466,0.09998668323863637,-232.7122,129.25272,-79.495094,-44.89252,-18.105217,-14.4747095,-16.206165,7.216542,11.5723715,2.0855672,-1.5562793,0.033367816,-8.603489,-2.7789412,-5.923235,-1.4903615,-6.812857,0.18496814,-3.3571043,5.7250004,FAKE
0.48691466,0.053589784,1660.2782122892802,1445.2333030533716,2338.5547984730115,0.10341574928977272,-196.8047,122.43365,-95.53187,-50.224575,-26.95717,-13.365421,-18.565918,7.530914,8.194749,2.637271,2.2864454,-2.969718,-5.0191674,-5.281763,-14.158517,1.7596142,-5.0201406,-0.38262045,0.30433846,4.064968,FAKE
0.5250345,0.042916298,1700.3593321591898,1505.2591470990922,2527.704412286932,0.10444779829545454,-215.19864,112.68458,-95.566185,-45.74823,-36.548653,-15.482967,-9.904121,1.2927443,4.905218,8.056054,1.6215061,2.4549978,-0.763956,-1.3005834,-14.496301,-1.021771,-5.558395,4.202236,-0.083221145,4.576427,FAKE
0.4210998,0.0421205,1797.8066869913594,1932.3619433847243,3167.827814275568,0.08631480823863637,-221.11885,110.289085,-56.263317,-21.011843,-21.850538,-22.325462,0.78145945,0.8805965,-8.370246,2.7822783,-3.1404967,-11.410745,-4.763431,-4.758502,-14.277817,-3.3244302,-11.588655,-3.9405296,-6.529834,-0.8391861,FAKE
0.23136073,0.09532773,1681.9661104394766,2151.587123324077,2842.8722034801135,0.05660733309659091,-234.66226,107.66064,-15.039251,-7.770874,0.15525316,-25.219416,-18.228407,-0.21551345,-20.928862,-24.043232,-0.7159733,-21.189156,-9.0734005,-1.3992385,-6.4092054,3.0944626,-12.803163,-2.853178,-13.74139,-9.63242,FAKE
0.3439452,0.081942864,2509.68970205926,2514.116780343118,4642.852228338068,0.10126287286931818,-238.05087,72.21552,-6.2640758,8.86237,5.325629,-19.02658,-18.148512,-10.897846,-16.865572,-14.901066,-1.7110989,-15.543473,2.0025573,2.3163843,-4.9456906,-3.545897,-18.363619,-1.1664425,-12.891952,-14.699197,FAKE
0.39204705,0.07853842,2484.316203593715,2158.293904222962,3976.5464089133525,0.14035866477272727,-248.74991,82.57966,-19.675957,-12.128709,-1.2651635,-10.520194,-26.610725,-10.109748,-8.229664,-6.925157,0.02503148,-17.209227,5.0540814,0.6862536,-6.119481,1.1063422,-12.496652,-6.1567993,-10.947889,-7.4813952,FAKE
0.41121316,0.04502962,1707.3531790741945,1574.685314630119,2862.9372336647725,0.096923828125,-217.46754,120.24973,-75.74652,-17.35857,-38.854683,-36.491173,-1.6189529,7.338943,11.702117,0.5803677,-12.470821,4.0708942,-1.6479964,-0.03645499,-20.327316,-2.6286955,1.3276217,5.095943,4.4736395,-2.239391,FAKE
0.5368505,0.05451149,1857.007042407086,1569.3514120463585,3086.3442160866475,0.11818625710227272,-167.31503,107.93167,-95.50091,-27.38863,-36.726467,-22.18706,0.32798812,1.6613048,-4.2564898,4.017224,4.374785,3.6070936,-3.6726472,-2.7253668,-10.055923,2.0904536,-4.0246625,0.4158201,0.27899325,0.026338447,FAKE
0.5263901,0.040761255,1887.6316675227533,1636.222238172075,3019.0529563210225,0.11817515980113637,-203.8445,104.33769,-90.0174,-31.509155,-35.72847,-19.347292,-4.1825957,3.9238105,-1.4245455,4.936655,-0.513839,4.7884426,-0.88144153,-0.5534619,-9.766221,-2.6269648,-4.5848393,5.9379425,-1.2000462,-2.287139,FAKE
0.33061936,0.064590216,2355.6847284144123,2059.6493161740714,3915.8619273792615,0.13262384588068182,-213.05537,83.809044,-38.40212,-6.7521772,-16.491158,-13.5545435,-6.037441,-3.1884766,-13.343091,-9.695722,3.2791946,-12.242649,0.93276983,-8.162929,-14.398089,-3.0169196,-12.048313,-0.2885034,-7.97277,-9.3221655,FAKE
0.35515726,0.03377624,2109.8525246299305,2014.20283101243,3722.797185724432,0.1068115234375,-274.52557,102.02637,-50.675247,-12.119574,-15.475532,-12.872396,-7.831828,-2.231635,-10.006606,-2.9626284,2.6081915,-5.402252,0.6266263,-6.281895,-12.195386,-5.6287932,-4.022125,-0.43481657,-6.111086,1.7773385,FAKE
