chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.3266968,0.123699896,1777.9424979586404,1837.1127617234729,2827.456387606534,0.10712224786931818,-225.33334,122.69712,-11.105056,-9.43167,-22.038414,-19.03551,-0.28728774,-11.44474,-26.019396,8.9048815,-21.094597,-9.733365,-3.2410467,-11.045048,-5.1059413,-8.606029,-14.024221,-10.234992,-7.024733,-10.441503,FAKE
0.4563688,0.061117925,2770.5175715496366,2087.8669282596184,4390.326482599432,0.19193892045454544,-248.13641,90.60472,-17.02079,-16.921568,-4.2522755,-7.4799604,-19.012053,-6.6155763,-0.96177655,5.1795845,-15.726745,-4.8865967,-5.352135,-1.8616536,-5.858721,-4.9625697,-8.021613,-2.1746073,-5.835965,-9.264342,FAKE
0.43927875,0.03690015,1536.0189107148808,1354.9847988587064,2204.461669921875,0.09881036931818182,-251.91132,148.53252,-87.152794,-51.6849,-8.665461,-22.6841,-15.530994,7.033682,11.482256,-2.2075632,0.32206848,0.16170591,-15.080646,3.3637764,-11.732367,-1.649681,-5.385772,-4.0695567,-1.4953403,2.6443799,FAKE
0.4867598,0.053562846,1589.9972596636005,1340.2863771434402,2237.2508655894885,0.10215065696022728,-205.7901,129.72269,-100.581764,-53.44385,-24.689741,-17.936892,-19.247023,6.5984416,6.2411923,1.4234108,0.9978972,-2.658189,-8.526023,-2.8345714,-16.88572,1.2594215,-3.7107422,-3.2834969,1.2990762,3.5016139,FAKE
0.52512985,0.04292165,1681.2181983796536,1475.5585510193212,2487.329656427557,0.10431463068181818,-220.4707,110.97462,-100.72786,-50.382103,-39.250496,-20.520615,-12.8627405,-2.6947074,1.6218997,4.623678,-1.9856167,-0.10654678,-4.763867,-3.6606386,-17.474846,-3.8707304,-7.3933516,2.0946214,-1.4363071,3.6349258,FAKE
0.43149525,0.060418848,1651.1998090167544,1778.843515957424,2917.993718927557,0.08132102272727272,-214.8271,119.494354,-54.682007,-13.034808,-19.294466,-20.950834,3.5187223,1.7939483,-6.40613,7.3095155,-7.103722,-10.726716,-4.91062,-4.502461,-14.469344,-4.033339,-8.390372,-2.2640753,-5.6292605,1.5988182,FAKE
0.31401563,0.13445528,1374.3222254428053,1715.6258902444179,2325.830632990057,0.04916104403409091,-205.82402,134.0652,-15.439566,6.56987,-15.082704,-29.80952,-4.0346527,-9.8135,-16.960962,2.6310694,-31.134472,-9.345351,-8.798463,-13.416981,-6.922885,-4.8034534,-9.550381,-9.020324,-7.453714,-10.028342,FAKE
0.36328408,0.114911385,2137.205938793317,2055.1098585713207,3834.8677201704545,0.10029740767045454,-215.76309,97.63017,-4.437362,16.232143,-14.255289,-24.46477,-12.404638,-6.8050156,-16.267607,0.019703604,-27.414797,-5.4440846,-5.351755,-8.385524,-5.540792,-9.656159,-7.6053257,-7.1234803,-13.859287,-9.976035,FAKE
0.4119198,0.08150354,2567.1610994012935,1945.297691229207,4038.2096724076705,0.1650723544034091,-244.75006,94.739265,-17.761986,-11.499511,-5.220637,-20.31001,-23.93004,-12.701623,-6.4566875,7.198435,-23.407219,-8.47169,-1.8838038,-3.2144175,-5.7068295,-5.85146,-7.614776,-6.686336,-5.548602,-8.121548,FAKE
0.41183275,0.045019776,1705.6658022716454,1569.3951156683695,2862.2031471946025,0.0963134765625,-220.1828,119.073,-75.72192,-16.917519,-40.564205,-39.602345,-2.9663627,7.5583797,11.935358,-1.021283,-15.120238,3.2450209,-1.8422867,0.19788899,-21.548603,-4.67331,0.7242238,4.662897,4.5261803,-3.2419977,FAKE
