chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.31563914,0.08751181,1605.6722948130366,1705.3792099129967,3144.5817427201705,0.08193137428977272,-248.13155,134.8435,-31.83495,11.6784115,1.7629819,-28.941084,-3.6106749,-2.8929427,-22.13339,-1.1774956,-4.440036,0.12093201,0.9122164,-2.6792746,-6.7264476,2.9124155,-8.451087,-11.033882,-3.7051766,6.986138,FAKE
0.42205256,0.04796621,2216.230536803031,2004.5663676140682,3883.0727317116475,0.1335116299715909,-254.7525,112.40706,-33.77717,-1.0616571,3.8652537,-7.2457166,-10.134609,-11.289695,-0.13797678,3.5063994,-2.8160868,-2.2571852,-3.4753954,4.7297063,-4.0236635,-0.8352565,-2.075535,-5.8884563,-5.9840503,5.258557,FAKE
0.44033986,0.037018713,1708.1808320059665,1627.2752263811024,2490.2660023082385,0.10105202414772728,-223.8,126.63169,-74.859245,-39.133865,-16.317387,-13.506512,-9.410001,6.5592484,14.084717,6.480878,-2.1018634,3.845684,-7.944208,0.3406544,-5.0595026,0.036248997,-3.2057798,-0.6717401,-0.18999916,7.775521,FAKE
0.48623714,0.0536366,1641.626180108051,1443.0629083161652,2310.904208096591,0.10258345170454546,-194.08043,126.437775,-92.14209,-47.344894,-21.038765,-13.616416,-12.477073,9.394324,10.402988,7.1641874,2.8071623,2.110816,-4.9138308,-0.9645039,-11.97517,2.696118,-0.343617,-0.32150915,3.2374701,6.6080494,FAKE
0.5263799,0.043025948,1680.0442530814223,1522.0502639358115,2504.458340731534,0.10419256036931818,-208.3954,122.058304,-85.80915,-38.653103,-26.528059,-10.541833,-2.2866683,5.9178314,9.550715,11.785378,4.1959066,5.812935,0.34727576,1.0202512,-12.852682,-0.047381993,-3.3903975,5.477673,2.2189422,7.0019336,FAKE
0.43882313,0.044791326,1654.6124822558738,1801.327475212865,2983.816805752841,0.08608176491477272,-214.29466,126.16132,-48.2026,-6.9752626,-13.443372,-15.649997,7.5031223,6.012347,-5.372688,6.8852067,-3.795502,-5.492551,-2.5756307,-3.1145294,-12.405854,1.3246452,-6.1949983,-2.3440492,-3.199279,4.419382,FAKE
0.29334474,0.10548763,1324.3559054508225,1566.125108115156,2362.5349564985795,0.047285600142045456,-229.23448,142.47455,-31.691103,18.68187,10.712979,-28.392418,-12.473434,-5.350359,-22.150023,-1.8816415,-14.393638,-5.482368,-0.40957555,0.8630955,-6.928503,3.0450165,-5.2931423,-4.875221,-2.9055922,-0.45807487,FAKE
0.37967756,0.102699205,1711.4043121825382,1702.0017100905884,3053.0656294389205,0.07933460582386363,-226.46513,123.91672,-31.403175,35.74248,11.554697,-24.399847,-11.595422,-16.253319,-15.77956,2.5198545,-8.040322,-1.660529,4.9032035,2.2341409,-1.9148781,1.7556477,-12.1971245,-4.0901356,-1.9203467,-2.807477,FAKE
0.37001696,0.08415956,2109.5632740456467,1803.8813109816144,3631.036376953125,0.13050426136363635,-231.3579,117.59053,-38.470932,2.026853,5.8353853,-10.689147,-12.405753,-18.129665,-10.964947,4.4300923,-3.4954283,-4.2160106,-0.38888958,3.2196288,-4.7671266,2.09018,-1.7415528,-5.905041,-6.2811847,5.589906,FAKE
0.42300695,0.045785263,1777.6184837393848,1644.0328668198001,3039.3626819957385,0.09876598011363637,-196.47617,118.29664,-76.224846,-19.752357,-34.22607,-22.004637,0.2528318,2.9392183,7.606412,4.4208636,-4.7974505,4.185611,-5.774064,-2.3935966,-15.970465,0.54112303,0.90568185,4.1478295,3.4782264,1.9313054,FAKE
0.53779256,0.054695677,1857.320324385362,1591.8526134734798,3095.153253728693,0.11830832741477272,-161.40692,112.72034,-88.80056,-22.162376,-30.593864,-17.368843,4.768418,5.6292276,-0.6228064,7.2790866,6.5117216,5.9433975,-1.8435936,-0.89845693,-8.273811,3.6561263,-1.735102,2.6114283,2.7960975,3.0157845,FAKE
0.5338915,0.041150227,1875.6652262530718,1669.6358085096545,3009.7545276988635,0.11780894886363637,-192.42274,112.73835,-80.57441,-23.148657,-25.075075,-13.59747,1.7124814,8.362506,3.3121717,8.483456,2.2738743,8.844888,1.6087265,2.1258683,-7.029805,0.6590541,-1.5821046,7.6038637,1.5206132,1.6376408,FAKE
0.32004324,0.08611843,1956.2530209593767,1658.4941113724499,3376.3083718039775,0.11609996448863637,-202.57306,117.56709,-49.619385,13.224353,-6.073334,-16.299145,-0.78553355,-4.514101,-15.206992,0.68559414,-7.180281,2.9851763,-0.11118967,-1.2440178,-15.108486,-3.1775734,-1.9179428,0.048203174,0.80480886,1.7699711,FAKE
0.37821597,0.042245362,1775.7737837656214,1784.5268941851793,3097.1108176491475,0.08841219815340909,-255.49803,124.72269,-48.550415,3.8428113,0.71715975,-11.2897835,-2.2493632,0.41257593,-7.645889,5.3876085,-0.8102261,3.6977553,0.3993622,-3.6010008,-12.673147,-5.293717,-1.7716576,0.5170777,-2.7010908,5.0777054,FAKE
0.35732308,0.06789192,1818.8998877379954,1793.4588150741642,3441.152676669034,0.08893377130681818,-241.89023,121.97885,-38.629154,21.36527,14.555722,-8.7878275,-10.213713,-12.637208,-17.17194,0.33324325,-1.8937612,2.531975,-6.453779,0.9008697,-6.747044,-1.4112735,-6.20913,-11.007571,-3.5370293,3.8856018,FAKE
0.29347056,0.09568494,1320.1185148626757,1445.0207428061667,2460.6578480113635,0.05613014914772727,-216.29771,159.34315,-47.394886,2.78905,11.80537,-21.230732,-11.223967,-12.891065,-24.828028,3.7563708,1.3319968,-1.0646402,-1.2203212,-1.934266,-6.502905,-2.4119184,-4.4132867,-9.930221,-7.217895,4.846815,FAKE
0.448572,0.045155015,1704.0991826703312,1755.0387240192642,3176.8815474076705,0.09430486505681818,-239.56537,134.44063,-45.71484,12.117007,-10.997396,-11.145143,5.4105024,-8.351394,-5.9589915,-1.2739941,2.6042266,4.9093137,-6.3439837,-6.383708,-6.468411,-1.9143634,-9.186916,-1.2002206,-2.3714926,-2.1715186,FAKE
0.31250373,0.054873195,2085.2830201474058,1835.9959834563508,3720.3502308238635,0.11604447798295454,-237.40947,111.11111,-45.425014,15.735581,2.6566837,-2.3141863,4.7335634,-4.541206,-16.023064,-8.867985,-6.5699115,7.1072726,-0.3477659,-1.2318006,-8.164267,0.825975,-5.608387,-0.18227929,-1.6271782,-8.336439,FAKE
0.29689366,0.095707364,1797.9992442701237,1748.1272358847561,3377.2871537642045,0.07955655184659091,-220.52866,123.98442,-32.906696,18.507769,21.496397,-8.216497,-14.597732,-15.655407,-19.485876,-0.1008588,-11.74747,-7.9167695,-4.556768,-2.548739,-3.7150145,6.163477,-0.11166462,-7.635315,-8.116324,-0.30451548,FAKE
0.35707968,0.078506164,1492.304794454427,1660.4267492085346,2884.225741299716,0.058649236505681816,-235.19537,139.35469,-34.120464,26.694056,13.278311,-15.500942,-12.380428,-10.576413,-22.256868,-2.6394284,-10.125093,-3.5180216,1.4238213,-1.3028679,-5.468879,3.0220199,-8.4513035,-6.97411,-4.974694,-0.17279817,FAKE
0.32487106,0.06378838,1659.058556577121,1593.788414606025,2938.7928355823865,0.08720259232954546,-243.24388,137.50417,-50.950333,8.760586,-1.0131099,-9.770075,2.2088015,1.6827565,-14.269647,-3.3576484,-1.7324604,3.807842,-1.3339101,-1.6284019,-6.3985825,4.254244,-3.457975,-2.1897998,-3.546836,-1.5016729,FAKE
0.36630726,0.012107433,1861.5213249572405,1996.2481358295072,3422.0664284446025,0.10064142400568182,-303.69162,120.71693,-37.00816,-5.7384086,-18.140799,-5.7362227,8.435392,7.728728,6.9741426,4.4307094,4.533843,7.4241457,-0.7652836,-2.9114869,-6.929951,-0.25484273,-5.831883,4.8062315,2.7434328,3.2195709,FAKE
0.39536944,0.010085724,1829.2915894728533,1978.3401835881182,3307.3042436079545,0.09725674715909091,-319.62747,123.783615,-34.55911,-1.6537229,-11.454987,-0.3446813,-2.5125327,2.965996,7.995268,8.446598,4.4465947,2.483909,-9.113921,1.9947438,-4.918879,3.1051047,-2.247611,-0.4824753,-2.2460845,5.5986934,FAKE
0.30499822,0.096208885,1548.932741479262,1724.7364706833723,3000.7007945667615,0.05886008522727273,-236.62251,122.897804,-35.86928,28.419395,19.996813,-14.481091,-16.159266,-11.832312,-17.791817,-1.0501704,-7.958983,-2.3085506,-6.273077,0.7597161,-4.6928144,-2.7883852,-5.232561,-4.415275,-1.2274852,-2.114194,FAKE
