chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.31677547,0.09428912,2492.825683259422,2349.3329335504714,4668.05586381392,0.1336337002840909,-220.20485,61.547424,-15.200003,5.355679,-25.752136,-22.342167,3.7197533,-13.823768,-19.016296,1.2273427,-11.931428,-5.57374,-10.479211,-10.741785,-10.2998905,-15.362503,-16.211006,-4.8487935,-13.152631,-8.087327,FAKE
0.38669947,0.050886516,3151.6902617259184,2348.596529424509,5236.728182705966,0.20573286576704544,-230.66945,59.167896,-14.837397,-4.337455,-17.967241,-12.738721,-18.014032,-0.17649417,5.7344923,-3.6624641,-14.922501,-0.28794292,-7.4377284,-7.993115,-12.902973,-8.63197,-12.370301,-1.7249455,-11.71115,-9.058857,FAKE
0.43948823,0.036923915,1696.3562660214484,1607.3291799092485,2406.090753728693,0.09989790482954546,-231.95221,125.31497,-77.025055,-49.64264,-17.622866,-14.012473,-22.036865,11.800602,5.93661,2.9192228,-2.7204964,-1.5916404,-9.969014,-2.9688468,-7.9430313,-2.444754,-7.491351,-1.4578835,-4.309458,5.169639,FAKE
0.48682618,0.05359509,1688.8635728477457,1494.8688619806285,2363.7584339488635,0.10354891690340909,-194.54942,116.06311,-94.90254,-52.782932,-29.589342,-13.609243,-22.461369,8.523185,3.6607847,4.1433377,-1.6613994,-2.1602163,-7.584698,-5.8755765,-14.719756,-0.5030326,-4.732549,-2.0174444,-0.9448122,4.0905914,FAKE
0.52512074,0.042929694,1739.6583963841767,1566.948659268993,2586.431329900568,0.10474742542613637,-215.55418,103.69758,-97.64776,-51.77139,-40.28283,-19.359669,-13.894074,-0.9552116,0.74821264,7.0175166,-2.2198012,1.5541427,-3.5999413,-3.0628622,-15.855002,-3.3931963,-6.6214094,2.8723624,-1.6100991,4.250246,FAKE
0.41230202,0.04513614,1890.0544778960386,1982.3881463413038,3376.0636763139205,0.08956631747159091,-218.32071,101.31884,-54.840614,-17.478418,-27.023767,-24.708681,1.539481,2.5938907,-8.030211,5.275029,-9.552228,-9.123032,-7.1313167,-7.5509105,-16.863659,-11.222587,-10.710072,-4.7118764,-10.761807,-1.2735409,FAKE
0.24567674,0.108315274,2122.5143607265,2346.866584795894,4271.159778941761,0.06883655894886363,-190.9023,77.32352,-9.074238,18.808176,-26.24825,-31.790148,-0.027153881,-14.601532,-21.007135,-6.809997,-18.535858,-2.697756,-17.142653,-7.460448,-6.9700894,-14.366001,-10.270908,-8.429735,-13.690006,-5.555409,FAKE
0.31546897,0.08675969,3089.3698779003216,2372.8144162352155,5266.581032492898,0.164306640625,-207.60976,46.09043,-2.0954142,21.689075,-23.380133,-23.953295,-11.213215,-3.424679,-13.231036,-2.6140873,-15.104514,-1.1274594,-14.058102,-8.595775,-10.15066,-16.570112,-11.010409,-4.111208,-17.082588,-4.523826,FAKE
0.37207377,0.07661579,3174.370019579229,2183.00166396811,5199.289772727273,0.2065762606534091,-224.91885,55.06262,-16.250902,1.5215805,-19.768482,-21.550896,-23.006487,-8.747776,-0.06084335,3.8634124,-18.652935,0.9184141,-6.012848,-6.6162715,-4.9225254,-11.947193,-13.784809,-7.2903256,-14.58377,-7.546082,FAKE
0.4117063,0.045086518,1817.2574753911065,1685.69201292335,3151.922607421875,0.09842196377840909,-207.12892,108.443115,-73.851105,-19.577372,-42.723495,-30.650604,-8.443072,9.542602,5.907336,2.1558645,-11.215511,0.24891749,-1.9991475,-3.7560232,-17.502731,-4.971951,0.5313316,3.6091607,1.8132957,0.02240277,FAKE
