chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.502111,0.06470493,3135.5554853677427,2429.3305558647776,5536.724853515625,0.19617808948863635,-227.87152,59.05149,24.206306,25.042566,-12.7822695,4.4565897,-5.438189,-0.5778836,-8.077331,1.666719,-0.9636287,3.1156065,0.0054531316,3.488965,3.3015687,4.0731983,-0.77189296,-0.021986723,-0.48212537,2.8626015,FAKE
0.3207261,0.08987519,2369.1144540763557,2275.6383069084345,4409.412730823864,0.11910733309659091,-210.30478,72.068085,9.290851,52.978043,18.0883,0.40788615,-16.83204,-4.8916826,-1.1790683,-2.139436,-12.862295,-3.1241262,-4.423282,-9.506457,-4.923637,0.9239204,-7.52376,2.9669435,-0.14044622,2.39827,FAKE
0.39697725,0.06814763,1630.2468924840823,2118.6282234543996,2947.357177734375,0.07980069247159091,-248.15796,120.76694,26.681108,26.777529,16.774086,4.0453157,-3.5727782,4.404511,-8.646949,-1.5179783,-13.158741,-0.55709845,1.7597634,1.2955021,-1.9611924,-0.09316242,-4.933157,0.8864742,-4.4047184,4.591669,FAKE
0.46635494,0.032742508,2439.335700006673,2401.164229828123,4696.440540660511,0.13416637073863635,-273.29056,88.990425,14.528561,25.152588,17.290983,13.279508,-8.762344,-4.223543,-6.279239,6.0505314,2.7202814,0.22407685,-2.2987764,3.0337718,-2.8104875,5.299945,1.6939843,2.3292298,0.36431062,7.458946,FAKE
0.39008704,0.0661377,2035.5093581872002,2223.209827041374,3688.0504261363635,0.09535910866477272,-261.78772,98.42019,10.260252,26.45484,10.324874,0.4268758,-8.575105,-11.184565,-4.129373,7.8369036,-10.177668,-2.7224352,-2.2839391,-4.044893,1.9220943,2.5780175,-7.4610143,5.1225147,3.6391327,7.5211062,FAKE
0.45536724,0.039089646,2178.0990741882842,2311.6793850794897,4215.85859818892,0.08678089488636363,-267.96085,103.83145,6.2112637,17.079247,11.812381,7.847564,-3.9285815,-0.090457685,0.008375899,5.6948757,-0.50470996,-0.609129,-0.13024098,2.964897,0.94154334,6.4090023,-1.7567887,0.98699385,8.381391,10.550938,FAKE
0.45941284,0.03208484,2090.7055005977713,2411.7253104978076,4239.594060724432,0.08602627840909091,-319.2872,100.799484,-1.474562,12.325284,11.359366,-0.51600426,-9.90278,-5.928995,1.0200148,15.893845,7.284444,5.86418,-0.0834626,1.204579,2.0565426,5.103157,-1.6051186,2.97632,3.3023355,8.264875,FAKE
0.37189072,0.089781106,2504.4907979568306,2213.1317214501,4432.414106889205,0.13916015625,-212.48979,82.64936,8.416859,30.399584,0.47487208,4.7975984,-8.991227,-10.054091,-10.2019615,4.337993,-2.9649558,1.2317126,1.2487115,-2.9932168,1.7731186,1.9337803,-8.150229,2.1286528,-0.200868,4.076374,FAKE
0.39913034,0.073770136,2573.092801577593,2326.646560319689,4610.552423650568,0.1471280184659091,-209.79086,78.48434,-1.5573001,29.795843,23.620996,1.9825572,-9.91338,-4.013258,-6.477569,1.9694009,-8.037255,-3.8352363,0.66916203,-5.537788,-8.014718,-0.8472689,-6.9732738,2.3915524,-2.8473287,2.815638,FAKE
0.42659268,0.046461042,2410.987362069432,2430.1990506113075,4838.85331587358,0.09377219460227272,-301.2021,80.793205,5.7691875,31.23161,16.215145,4.620749,-6.7693634,-2.4419115,-2.5712683,9.466072,1.5473896,-2.080282,-2.7854424,-4.598158,-1.7286217,2.6270773,-5.665628,5.072643,6.0812297,3.364691,FAKE
0.3327398,0.104362346,1602.3022887993632,2163.585183006815,3141.156005859375,0.06608442826704546,-236.62831,121.77662,16.447107,16.78966,12.011676,-4.1835375,-7.8282137,-17.23599,-5.0063605,9.750182,-6.1530595,-1.2440273,-0.9905113,-8.336803,0.41839635,-2.9660227,-13.091056,2.427845,-4.9502096,1.668044,FAKE
0.42609912,0.050029088,2208.112413790192,2265.622317276403,4108.681973544034,0.10762162642045454,-259.25833,92.89063,9.804117,40.734264,34.620632,10.105599,-8.968611,-15.600485,-7.3468366,10.431066,-7.78242,-3.976094,-1.3358403,-0.44349626,2.2578838,2.3418221,-4.590554,0.5832851,-2.3244567,6.367683,FAKE
0.38663217,0.06896713,2041.5247398007255,2283.355347246991,4063.168612393466,0.09258478338068182,-278.3113,97.80816,13.333263,26.269844,10.3470125,4.162497,-11.587503,-7.6362414,-2.1515417,4.3986244,-5.0242405,-0.72542,0.40015602,-6.3250904,-3.30381,5.2597733,-4.6266713,-1.8695006,-2.589197,3.0474877,FAKE
0.4129434,0.067952536,2511.581960013917,2268.90487271154,4488.93876509233,0.1343106356534091,-228.13329,69.687996,14.146344,51.480026,20.264797,3.2812567,-11.882096,-9.097975,-0.31490314,7.2020016,-7.8990984,-2.0312948,-1.9045513,0.26079828,-4.1561847,3.7700624,-7.129482,3.595183,0.5479063,4.743356,FAKE
0.36833885,0.077600546,1747.196873661239,2103.8774044195957,3258.8545365767045,0.07080078125,-234.70044,117.10812,27.898958,33.14454,9.896548,-6.817006,-8.170311,7.5219817,-5.5259714,-2.7589643,-5.6378765,-0.43054482,-4.4712605,2.558332,2.0638573,-6.518756,-6.2518024,5.9898105,-0.39035046,0.77638054,FAKE
0.40663558,0.05913402,1575.8911742679309,2231.2449354402725,3090.9934303977275,0.046941583806818184,-285.26056,126.3363,14.208435,7.0433073,20.345247,19.533485,3.8218055,-16.717133,-5.3209896,9.551507,-4.6150327,-1.4915122,-3.5351424,5.974755,2.6891692,1.1070875,-0.7333386,6.088089,-1.1470339,4.277592,FAKE
0.41836187,0.05398239,2487.619203585329,2332.0868283450745,4548.399769176136,0.11356977982954546,-268.48642,81.625435,4.1038938,27.186022,7.0810184,4.9677773,-5.689492,-6.5605044,-1.4772439,13.478659,-1.0777119,3.881962,4.6224475,-0.7006624,0.007910655,7.1585402,-3.7358015,3.4393883,3.869648,6.820624,FAKE
0.4651128,0.033383813,1933.8151123456066,2443.6506345717526,4043.3482776988635,0.06666148792613637,-323.47504,98.36084,21.268915,36.594406,21.776981,-0.5712236,-6.3305745,0.89101785,1.5280141,5.4723496,0.22857605,1.5725993,0.60394484,3.8484595,1.1598777,8.370632,2.061923,4.5284505,-0.00089547853,2.9372604,FAKE
0.39219007,0.0784873,2069.0327252425263,2196.820944274513,3901.9142844460225,0.10014204545454546,-251.52936,91.34263,-5.0262523,23.950146,13.397531,7.193489,-8.485533,-4.688846,-3.2276564,2.9811876,-2.6647758,-0.17915358,0.45209453,-2.7187953,-0.08408353,2.6918612,-0.5481957,4.9712625,-0.37355506,5.180971,FAKE
0.3792495,0.082607836,2064.4517172423375,2086.0227855251164,3394.9052290482955,0.12155983664772728,-219.6579,104.77165,27.113298,25.591217,-5.7780037,-5.998288,-10.65632,-1.3807582,-8.918811,-4.862116,-1.965482,1.4685031,-4.683224,-2.0147426,-2.8623843,-2.1844642,-6.190233,-2.3488278,-7.2302065,1.4015374,FAKE
0.36401546,0.073181145,1850.7759667609125,2125.55126495287,3186.4246715198865,0.08482776988636363,-203.3853,113.57295,-10.239848,13.245834,23.880165,-1.9403877,-7.377853,-16.087524,-6.9595227,12.376034,-6.926805,0.7863734,-1.8284272,-11.569072,-6.681804,-0.75638175,-7.0375,-4.036441,-3.8503828,5.8032413,FAKE
0.47364518,0.043735687,1978.6055013555788,2190.7270327423,3512.848455255682,0.1015625,-265.67676,112.74252,16.23264,22.385181,12.887934,-1.6601129,-6.9300857,-5.7261767,-3.4267035,9.415132,-2.6645384,-3.499922,-5.9329085,-3.1303794,-5.893558,1.1682292,-4.368221,3.0715837,-0.7199929,5.1076107,FAKE
0.44501293,0.04171944,1849.4411112359348,2384.5846929999675,3932.501220703125,0.06495250355113637,-312.92337,109.84968,13.821633,21.725487,10.770561,-0.8428785,-1.5877011,3.815377,-0.77907544,3.2371862,-3.5390906,0.855492,-5.207514,-0.7328127,-0.06182767,0.69060487,-4.5436673,-2.5230253,-3.0535467,2.9340463,FAKE
0.37059385,0.08092884,1725.2199370332914,2168.8636726176364,3290.664950284091,0.07045676491477272,-256.31036,120.319725,6.2901354,5.945879,-7.04884,-12.726876,2.850473,5.5802746,1.1322105,-1.1780413,1.8831252,6.7486577,-6.5372114,-4.5899854,-2.9378378,-7.7775135,-9.56761,8.012837,2.4602394,-0.7277536,FAKE
0.37636384,0.08494466,1852.018095208194,2053.047294559923,3272.802179509943,0.08069957386363637,-220.2171,108.580925,7.7936144,23.670843,10.184518,2.6348162,-2.823285,-9.32913,-10.653325,2.9692004,-5.1510935,0.38619927,-5.1617694,-14.367448,-4.492806,5.0278296,-9.699151,-2.4240289,0.3804433,1.7353623,FAKE
0.33852473,0.10857142,1881.2783301224374,2085.681037088796,3128.921231356534,0.09379438920454546,-179.35974,113.56401,12.540024,10.08889,-14.209901,-8.760152,1.7086473,1.3971051,-10.115668,3.6521928,-1.0315098,-0.59778184,-6.318659,-11.220654,-3.1134055,2.075468,-10.790579,0.5437755,-0.6668589,0.46904704,FAKE
0.44071585,0.028746152,2237.0433109936507,2373.711588944111,4382.74092240767,0.09762295809659091,-330.03152,88.41438,22.084381,38.478054,12.893334,9.843595,-1.9176387,1.5482326,5.852249,11.603789,1.2557659,3.0234537,0.7922558,-3.192724,-5.1018524,0.5030882,-6.374291,4.4202085,4.717214,0.67193484,FAKE
0.40484652,0.052231528,1727.5110980057943,2128.7897928133902,3484.219082919034,0.07804731889204546,-300.24417,115.87717,6.159595,29.235746,17.442223,-0.07235525,-1.4849465,0.5538741,-6.6798253,-1.8653489,-4.7892804,1.1823796,-3.3094528,-2.8389676,-4.290621,-0.44646835,0.36985034,2.2142668,-1.6362114,0.92053354,FAKE
0.28034186,0.12807846,1286.8931262571778,1794.6512455855773,2421.261874112216,0.051025390625,-216.26001,133.02068,2.6989872,24.009668,17.245205,6.297142,-10.023864,-14.719891,-16.204014,0.7988613,-22.114712,-9.972329,2.7795115,-7.6962237,-8.750835,0.6254914,-11.199299,2.62379,-2.7223036,2.7003784,FAKE
0.4986941,0.05718727,2780.8028847064415,2397.302375149445,5165.766490589489,0.1426669034090909,-282.6413,62.862625,15.01677,24.431782,-11.822723,6.292626,-5.44294,0.8409684,1.680353,8.248937,10.755886,10.693929,1.0922233,1.4577392,0.99532694,4.479101,-1.9446201,3.394473,2.1250765,4.040209,FAKE
0.4182343,0.08638341,2023.1346759000867,2047.1372295381675,3508.443936434659,0.10430353338068182,-253.7875,107.06535,10.309539,9.864974,-9.748249,-4.9801803,-4.351841,4.193613,3.8150377,4.7837796,3.335273,9.921184,4.497147,1.5859073,-4.0766606,-3.6445742,-6.33693,2.7146108,-0.6075764,2.8215635,FAKE
0.44251963,0.085655585,2028.8713963317894,2576.789988950801,4753.45458984375,0.06192294034090909,-348.33615,68.49271,11.786032,21.937609,14.994321,14.645351,-3.7457795,-5.2855897,3.1124504,6.0828657,-2.2393403,8.63217,1.9143605,6.7384934,-1.5727074,3.7297068,-0.61348605,-0.36423558,-1.6668292,-6.1232805,FAKE
