chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.47036913,0.035708364,2962.6537874454775,2397.2055314231043,5497.573575106534,0.16175426136363635,-293.4719,80.836174,2.322188,26.408094,-1.4771385,4.0666723,4.144421,-7.785162,-8.892023,6.889737,-1.0976334,3.7066827,-1.3167635,4.18967,3.2971053,14.013519,-2.268628,-0.830206,3.1975172,3.0725243,FAKE
0.3419947,0.04392149,1865.7545160990214,1866.4191667385915,3514.3166281960225,0.08035555752840909,-289.62228,110.02448,-17.81423,52.03175,29.315437,-11.706616,-7.0521836,-9.12278,-12.801148,6.0080857,-8.652589,-2.545453,0.61565363,4.2313533,-4.1062036,10.027103,-0.9217004,-0.00035171074,4.683649,2.4164028,FAKE
0.31270897,0.039354026,1184.6683469819507,1551.3932392109416,2056.4208984375,0.049860174005681816,-320.04242,157.36514,-6.9560604,31.837854,22.038523,-5.2776594,0.92791134,-4.9879546,-12.734572,-1.4465556,-6.261633,-1.5613312,5.855331,4.7232547,-1.8602096,6.8722386,0.17754732,0.0014515844,1.4868827,6.896248,FAKE
0.44028854,0.019328222,1773.0271290019575,2017.3354740228745,3374.5955033735795,0.08500532670454546,-341.4051,127.722786,-4.295004,26.206907,22.924816,2.6408873,-0.74548435,-12.0677,-6.3417873,4.3912063,3.3330774,3.259553,-1.0303758,6.461842,0.6144405,9.496685,1.6761405,1.4234,-0.4834302,7.701799,FAKE
0.40886554,0.033591356,1688.666432207676,1886.1147006551314,3138.9537464488635,0.07950106534090909,-319.8511,130.4407,-15.366943,26.402763,17.016975,-10.375591,-0.6929285,-12.684287,-10.623703,4.304701,1.7215539,2.5693984,4.283106,4.0299435,1.9568241,8.933606,-3.8227851,0.98691726,7.096104,3.021476,FAKE
0.42654756,0.023859514,1795.2171178142949,2005.2169393627728,3450.940496271307,0.07371937144886363,-323.42142,130.69061,-6.109941,18.685797,20.03261,-1.5464997,1.5076051,-2.416304,-8.211691,6.574776,1.2374597,7.1053295,-0.5177583,11.79387,2.7987578,7.460484,-0.09614134,-1.4916325,8.853138,11.106136,FAKE
0.5142614,0.017879074,1638.4820463530593,2012.3408630846054,3260.812100497159,0.06675026633522728,-368.70486,127.72753,-15.347614,21.302813,17.088484,0.218765,0.99461675,-8.413256,-5.8569427,12.331745,10.670456,7.510103,1.1300873,3.192708,0.80156994,7.471977,-2.59345,-3.3857255,4.530693,7.027931,FAKE
0.37620273,0.043169785,2142.960529196951,2017.4072269593526,4093.755548650568,0.09103116122159091,-284.4963,107.64417,-25.520678,29.969973,18.161667,-4.0016074,-0.16199364,-5.5070033,-12.229659,7.304375,2.5677488,0.66404593,4.0341954,7.74437,-2.5116396,5.3407598,-0.29331362,0.6689903,1.1994811,5.6180906,FAKE
0.3853542,0.036691777,1909.8235308079477,2035.6900081223807,3871.3273481889205,0.08074396306818182,-287.57117,124.443085,-23.34091,26.255873,32.911118,-16.1322,-2.6084414,-5.3727875,-13.272558,4.7830815,-3.6366386,1.3609737,0.65149754,7.6452193,-7.1057467,3.077569,0.28253525,-0.2391028,-1.4157656,7.087134,FAKE
0.39966244,0.023452908,1655.3778239493838,1949.5397867390873,3183.4883256392045,0.06166770241477273,-362.89108,122.28872,-15.242862,33.032295,25.985888,-2.076613,-3.5610368,-3.2785714,-4.0551805,4.9921975,2.022926,2.3544245,-1.9747748,8.724859,0.17161499,2.9245718,-1.5435716,-0.3725505,4.284344,6.839963,FAKE
0.33592275,0.05002903,1313.0931745470807,1653.5598350638936,2558.291348544034,0.048140092329545456,-306.05057,151.33047,-18.327087,24.46635,15.488898,-15.185583,-2.6219094,-10.978719,-7.984878,2.8479865,2.4934947,1.9355061,-1.3798368,6.091776,2.0516953,1.0730937,-3.163633,-6.441861,1.5138507,4.824027,FAKE
0.38716987,0.030132947,1725.2392166259656,1972.442859095214,3392.702969637784,0.07249866832386363,-324.50305,132.0803,-5.8424716,29.797554,40.00315,-6.972031,-0.035532735,-13.950073,-11.899148,7.05979,-2.9132354,-2.1623652,-0.307282,9.547395,0.89385134,8.502509,-0.16478333,0.3554527,-1.731892,6.005241,FAKE
0.3580636,0.037704423,1592.431574719565,1816.058596596225,2992.870538884943,0.07101162997159091,-337.09183,132.59457,-13.478617,27.04645,19.101244,-6.3675303,-4.2998104,-6.5581226,-5.227386,5.4624934,-2.712411,0.76229936,1.7640346,3.2880142,-3.859738,9.023647,-0.60195386,-4.1444097,1.5006894,2.6676323,FAKE
0.40354863,0.036420073,1990.071380358185,1903.687041361739,3681.933038884943,0.10324928977272728,-296.8507,109.779465,-7.6353407,49.01276,25.081951,-4.2054906,-2.3443136,-15.023249,-8.111104,6.1781406,-4.567067,3.5960915,1.1869175,10.512935,-0.9439197,7.157541,-4.6558347,-0.99082124,2.6275978,4.249009,FAKE
0.3361959,0.044913467,1545.6614241011177,1747.3216506751962,3014.1590465198865,0.06102405894886364,-286.44943,139.9614,-7.475835,44.359787,13.687317,-18.120087,3.2119029,-3.8118753,-11.281104,3.2475114,-5.083116,4.6335754,4.61453,10.0415,-3.389467,8.343395,-2.4893374,0.4103479,4.1498423,2.776017,FAKE
0.38698363,0.03277083,1164.2542687439452,1663.2682161138337,2136.1916281960225,0.03635475852272727,-345.31543,159.8533,-9.691629,10.964034,31.919708,6.0878468,-2.463588,-6.197017,-12.282844,4.5562954,0.79087925,-4.384625,4.236204,10.190738,0.5857979,7.930333,6.0140333,6.5481615,-2.5788097,7.0827208,FAKE
0.40033305,0.028324284,1993.002264548475,2039.4998074342575,3809.908780184659,0.09276234019886363,-335.57617,112.65371,-12.679382,26.103441,16.674807,-1.8029704,3.9862525,-6.9227476,-3.0209925,11.260484,3.8578997,10.196443,2.6157067,5.853216,1.1983279,11.42915,0.042812523,-2.9249923,4.110773,7.1337233,FAKE
0.437364,0.01979171,1431.6901443219592,2040.933816348939,2986.508456143466,0.04112659801136364,-375.14334,132.37941,5.04937,32.36357,25.814415,-3.368987,4.804768,-2.5156617,-6.2242885,5.912459,-2.1376798,4.3985944,3.9114192,8.283829,0.3933028,14.156619,3.556124,1.5458198,2.544694,1.1141664,FAKE
0.39408126,0.037443947,1638.168359473903,1796.9898003031499,3071.417791193182,0.06721635298295454,-308.24158,126.81194,-34.684486,22.795534,25.286888,1.616891,-2.0157216,-6.141991,-7.0442305,2.8656595,2.5357454,0.8537003,2.1702387,7.5729675,-1.7976032,4.170642,2.0075545,1.1344028,0.69275683,6.6237655,FAKE
0.35216388,0.03984997,1818.267480994457,1794.9827188792124,3266.440096768466,0.10262784090909091,-291.3245,127.13132,-13.008072,31.154419,3.422188,-11.704388,-2.102857,-3.1042747,-9.018146,-1.0504369,-1.8017415,4.4621844,0.98976904,4.423169,-0.67953414,7.2555957,-4.135595,-2.9072928,0.71716195,4.675011,FAKE
0.34083435,0.04139069,1492.5511488100974,1660.3345187400448,2865.6288840553975,0.06619540127840909,-279.37714,148.39948,-38.509846,23.453978,31.662865,-14.6472025,-3.3574293,-15.85415,-12.582923,5.190542,1.6995887,6.0786686,-1.4673961,2.5180585,-1.9368713,3.7642725,-2.7985857,-4.1988554,-2.80486,5.476099,FAKE
