chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.45709804,0.056904938,3119.343918923438,2415.92286217399,5552.630060369318,0.19395862926136365,-241.35791,70.069305,22.822636,18.168922,-11.652177,6.495456,-10.910786,-0.42040455,-5.851258,2.1783154,0.10874594,6.1972585,-2.8869364,3.9616983,-1.165907,6.685759,1.4746609,1.754819,-0.681318,4.961661,FAKE
0.32358423,0.064785235,2028.087404607991,1991.8140427896067,3717.9032759232955,0.0936279296875,-234.07344,102.534325,-4.8022532,38.326057,10.08075,8.659775,-25.775846,-3.5659144,-0.06837507,-0.5885798,-9.147863,-2.1069157,-2.6138823,-1.499879,-9.860813,7.592351,-3.468724,-4.6678195,5.085972,2.3310554,FAKE
0.35837978,0.058642104,1223.694044900289,1623.1709824756645,2061.80419921875,0.05312278053977273,-275.57486,156.35353,7.056265,18.740461,5.8702545,5.88314,-17.175478,1.7136886,-8.120014,-6.494905,0.96814483,-5.49308,-3.4694114,1.9504253,-4.2717953,6.9031377,-3.3678887,3.518907,-0.68024623,4.3746386,FAKE
0.4253024,0.030194318,1851.3046457914172,1968.499570795901,3310.2405894886365,0.09847745028409091,-301.51242,125.49072,4.2821493,19.25019,10.910087,11.767633,-11.690893,-8.920796,-8.021775,6.632728,3.685198,2.0670786,-1.7699037,0.820788,-3.6412437,5.675693,-0.21248375,4.218366,-2.3529902,5.494015,FAKE
0.4098262,0.051656295,1638.4095040584994,1823.7501444485629,2780.230158025568,0.08230868252840909,-286.4041,130.88292,-2.3904004,18.610409,7.9835696,-1.6484878,-17.24204,-8.814357,-3.8910189,6.1036973,0.41690132,-3.1451004,1.1846846,1.3450928,-6.60103,9.235282,-4.077008,-0.36735174,5.4272046,1.8374372,FAKE
0.41765934,0.033018306,1725.1731972042624,1883.5145468426592,3049.1505015980115,0.07450727982954546,-296.8541,136.5681,-0.7832844,13.829049,7.469137,6.7253447,-8.958321,-2.8538342,-0.56270623,6.626356,0.8199915,5.41423,0.95639634,5.2287207,-3.409732,5.283875,-2.0781927,0.8125873,3.3760147,6.0906234,FAKE
0.47328135,0.029473562,1583.0961710333002,1941.6818185952593,3009.020441228693,0.07215465198863637,-344.15994,123.39027,-1.8793775,14.393116,9.835695,3.5864716,-4.051468,-8.798475,-2.9779518,11.015164,9.99858,5.5973697,1.3869098,1.3657253,-0.23065227,4.44294,-0.59787434,0.07651032,1.3572596,5.301797,FAKE
0.39841294,0.072809756,2276.046773990885,2104.4110785689118,4153.705943714489,0.11668812144886363,-228.37613,103.62178,-7.4339213,20.457579,-2.3154352,4.3492246,-15.541218,-5.4303718,-9.114554,4.903036,3.1356733,-1.4308319,-2.0745687,2.1276186,-5.035553,7.882349,-2.0201075,0.1388431,0.8947942,6.0649266,FAKE
0.43021756,0.053578135,2169.9429697129654,2069.6041656956063,4049.465664950284,0.1123046875,-240.62651,110.59009,-9.069785,24.204811,10.457915,-0.36125478,-21.26721,-3.1334708,-6.0239406,5.188989,-5.4423413,-1.9899955,-2.253573,1.2511102,-11.329099,4.673799,-5.019793,-1.4097897,1.299382,-0.9344425,FAKE
0.40559316,0.036239054,1708.4055588903277,1871.8666638891307,3145.5605246803975,0.06637295809659091,-328.9549,114.17972,-7.158673,25.707958,18.893616,3.0670485,-6.7496295,-3.016723,-4.86342,10.214667,1.0001457,-0.73815703,0.2682796,0.9300764,-5.3818254,5.5022945,-4.6194434,1.2866466,4.8681664,2.958916,FAKE
