chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.45768318,0.028818797,2887.5291031308916,2344.7668661719485,5202.470814098011,0.1536865234375,-324.54666,67.27736,20.739485,24.134838,-12.596679,21.759523,-5.261598,3.4230263,-4.3090596,4.210422,-0.7458172,3.262825,-0.8338062,3.6102433,9.192748,8.530319,2.6203241,8.3699255,2.0320947,-0.7772241,FAKE
0.34359926,0.036820088,1913.8583556434182,1939.0713631769502,3558.117120916193,0.07738148082386363,-311.96048,99.946724,2.689252,50.881104,5.144269,6.7179475,-14.611599,2.7847826,-8.29813,-2.7505662,-7.586069,-2.2116337,-0.48543054,-0.9753958,7.6458325,3.8281634,-3.719291,8.934776,1.9036349,-3.5997732,FAKE
0.32533196,0.035780355,1078.9480446162652,1491.9031233788135,1802.6716752485795,0.048750443892045456,-344.53903,160.17465,15.380216,27.84522,3.9914916,16.369953,-11.116546,7.728827,-15.093392,-5.196586,-0.15407263,-8.127414,7.8437424,-1.4836287,7.0457783,1.0700259,-0.9924677,1.6551399,3.0403442,2.8922918,FAKE
0.4318102,0.020926572,1709.8909112356077,1868.991564927534,3090.5040394176135,0.08271928267045454,-358.25052,130.4995,10.087707,27.246576,14.313779,14.417356,-13.988312,-0.049445335,-4.8408427,2.458776,5.016442,-0.32499623,2.616421,-1.1553254,2.1911306,9.224517,2.5379837,2.5107331,3.6712348,1.8931524,FAKE
0.3811799,0.03112349,1627.283150566328,1807.5018169953546,2715.875244140625,0.07874644886363637,-345.05646,127.12414,0.68006223,24.800343,-0.8435622,7.808644,-11.610551,-3.6540842,-4.3008122,0.09771457,3.1377823,-0.60311437,4.946979,-0.46449298,11.970905,0.038422216,-3.239917,11.6323,-0.7025273,-0.9826845,FAKE
0.44385788,0.024751836,1648.300761360223,1844.9966145016858,3014.893132990057,0.05844948508522727,-348.5324,137.19482,0.6717161,11.963693,11.218115,12.420564,-8.115841,7.8019667,-2.0197117,3.484955,6.650644,3.137918,3.385977,9.340296,6.427242,10.365005,-3.2357347,3.647863,10.315848,3.922085,FAKE
0.4944492,0.018349105,1483.8661124257249,1859.3346331341288,2931.451970880682,0.06251109730113637,-391.48758,127.56788,-10.188037,15.910919,5.216446,8.458365,-4.30472,1.1643329,-1.3951361,13.076176,12.269158,4.513965,3.7540429,3.4382284,7.997109,6.315662,-5.6091733,1.9618267,4.216191,1.0300068,FAKE
0.3655722,0.035125017,2285.7255667995814,2083.3530686651593,4199.70869584517,0.09308416193181818,-316.99765,91.68747,-5.8932543,36.14218,-3.1687782,13.403823,-8.077185,2.3244514,-10.2187805,5.730519,4.063703,-1.4917973,7.7674885,2.6660006,7.487514,2.3979049,-1.7231258,7.7890167,2.7904258,-1.7807186,FAKE
0.37439975,0.033627827,1906.704266737496,1979.8895472437262,3792.780095880682,0.08006702769886363,-303.0124,117.453255,-9.589367,34.13828,10.667398,2.4777513,-15.87152,4.368196,-6.351869,-2.4323664,-0.3686677,-1.4691601,3.1212668,-1.8463992,3.1924195,1.7246,-1.8782529,1.0641459,-0.24243966,-0.5170586,FAKE
0.37604412,0.022590486,1624.968783636554,1743.8358862678072,3005.350008877841,0.061479048295454544,-385.25452,122.35046,-10.224819,37.427967,17.346275,2.569047,-5.349392,7.8934293,-5.3208256,4.281467,5.965457,-2.230293,2.8584757,1.0485188,2.692195,0.98763317,-2.4869695,3.4581168,1.767641,2.319316,FAKE
0.29892707,0.04526682,1168.847916926802,1562.9444317280308,2003.5666725852273,0.04964932528409091,-328.56308,147.73274,-4.4657893,22.336111,-1.5553962,7.5724125,-14.435874,-2.5168393,-4.2025046,1.353844,9.447795,-4.4399314,0.32498267,1.3360691,5.11423,-4.3551755,-5.995334,-0.036104225,1.3758119,-5.1791987,FAKE
0.35402817,0.026446521,1693.3373441814156,1871.2143294933755,3179.3285023082385,0.07523970170454546,-343.18655,129.06187,8.071141,30.797222,21.24478,10.596622,-13.956455,-1.4405774,-5.3601594,-1.2051129,-0.26678574,-3.482021,1.1094044,3.3642356,6.335571,6.034358,2.176648,1.4671154,2.9195404,1.7192982,FAKE
0.36672437,0.032959756,1459.5052425137687,1609.53097385444,2552.1739612926135,0.07347523082386363,-365.23648,132.92714,-0.73034704,25.486794,6.6270585,8.183885,-11.141345,2.054532,-0.81661737,0.3299937,1.5641519,0.46717262,1.0993289,-0.8312137,1.3312155,6.8316426,-3.3409631,0.77662796,1.8318825,-3.608508,FAKE
