chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.43930846,0.041238308,4331.032134239292,2652.9315948276994,7198.941317471591,0.26505903764204547,-271.7175,22.227821,37.056087,17.539215,-10.731506,9.465343,-6.008945,3.4658523,-3.9464087,5.8371196,-0.07847576,0.8677798,-2.082867,6.364281,0.7146473,3.4877443,1.4688537,4.74303,-3.1083138,2.9318686,FAKE
0.3166138,0.056803547,3177.7993855437235,2540.8804154884083,5739.088023792614,0.1380282315340909,-241.65977,38.32289,22.63162,54.617188,-3.2723854,-10.027733,-4.688736,2.47505,-9.761585,-0.42884254,-7.1003766,4.516543,-13.096351,0.95227236,-1.3677245,-7.4979615,0.116319425,4.3130116,-8.507707,2.8657012,FAKE
0.33188716,0.04070381,2079.395007263713,2330.2376458069502,4142.694646661932,0.08287464488636363,-265.7316,93.980865,19.189648,35.700768,-3.5161417,-4.3403134,-2.0341864,-6.160673,-14.580292,2.6056583,-2.8518887,6.925325,0.4565735,-0.14004457,4.7978168,-3.2086008,-4.2052097,4.799485,-5.640297,3.7109601,FAKE
0.40904218,0.02648353,2823.1669586142852,2437.0878801162653,5283.220325816761,0.16115500710227273,-291.56628,74.86414,22.408089,30.440157,4.0055003,-0.6194756,-18.601091,2.2748137,-2.539868,7.0028872,-1.3097497,-0.093421035,-0.31963494,0.43400252,-1.0911918,3.6449862,-2.0929844,6.5652537,-0.5998461,0.0796501,FAKE
0.38515574,0.03597687,2812.9583592372655,2537.523865114158,5417.558149857955,0.1328457919034091,-278.1696,62.74084,10.500427,30.546839,-3.6700187,-8.572765,-5.1325,0.30896786,-2.7273905,8.702833,-5.5624633,5.908611,-3.195917,2.763002,-1.1668664,-7.989027,3.4447546,4.511878,-2.6804752,6.7329617,FAKE
0.38869572,0.030724727,2414.2713342153174,2311.2497531117524,4430.45654296875,0.09581409801136363,-293.30612,92.80878,10.220374,18.608051,4.8837132,2.031808,-7.8635426,10.464971,-0.8024273,1.2827421,-4.061721,1.5115844,-2.5847914,4.8962836,2.1442232,2.7155395,-2.6780193,7.335123,3.8057022,7.1591463,FAKE
0.4875179,0.023359723,2197.4196781307014,2407.5562254954357,4504.354580965909,0.09067604758522728,-342.55112,88.75379,-1.6791108,22.73795,3.359176,-4.094959,-2.6551325,5.473318,1.5742867,12.877247,-1.7507997,8.331962,1.6779473,0.5425571,-3.1498191,-2.4063866,-0.55510485,5.773063,-2.5936213,4.2281833,FAKE
0.38009515,0.05253835,3412.679500893134,2384.45353354811,5754.503839666193,0.18009810014204544,-239.7748,33.194843,8.818945,36.600002,-11.238172,3.9995615,-4.813202,-3.1522195,0.65754485,6.011971,-2.0098455,4.7850523,-1.978429,6.296065,-1.536007,-2.6548061,-1.5821233,3.0629997,-7.1026244,-0.22552592,FAKE
0.38473037,0.042326733,3319.6675279901906,2553.8432674806463,5910.619562322443,0.17816716974431818,-235.53749,43.347794,8.537431,42.555405,-0.120763175,-8.949386,-4.487711,-0.41820535,-6.295619,-0.5843091,-6.678334,4.9711037,-5.6325855,-0.5670666,-1.3511752,-7.4819317,-5.575495,1.0185089,-5.1326904,0.48305342,FAKE
0.35380986,0.030441992,2655.009246680368,2421.858281698943,5072.782204367898,0.10040838068181818,-334.41638,62.417343,8.965994,42.621822,4.3891444,-2.8013666,-3.2825544,8.6290655,-1.0637138,3.1501136,-2.123517,3.9492912,-1.5812831,4.6476817,-4.3930645,0.7710123,-2.343747,1.2740337,-0.40466386,7.742707,FAKE
0.32018167,0.05003505,2182.305168685125,2402.595825641172,4466.182084517045,0.07334206321022728,-270.42322,85.96343,1.590578,22.011366,-0.050023947,-13.508065,-3.5409734,2.5909607,-4.4238873,7.931845,-6.648887,2.8967886,-4.328156,0.87724495,-2.4054918,-12.251037,-2.6636336,0.9869756,-4.91291,-1.9478793,FAKE
0.3692768,0.033111062,2618.6765780738006,2359.061491942784,4722.133567116477,0.11658824573863637,-277.16833,75.63292,15.660535,42.92143,9.694752,-10.263383,-13.005227,-0.6920737,-3.8388162,4.5809393,-6.052702,5.4278083,-0.9480036,3.1464021,3.3742166,-3.9182563,-3.4096153,6.104382,-4.1504245,1.5549446,FAKE
0.34731105,0.042562623,2517.473428689086,2429.6732916777883,4886.813631924716,0.12074973366477272,-302.8471,74.7496,12.704049,26.18617,3.8478262,-5.012567,-10.666297,5.389176,-4.8323154,1.9099736,-4.2984977,4.2094593,-3.6049392,-0.39258194,1.9503382,-4.3454847,-2.3700674,1.9078761,-7.0925965,-0.05169979,FAKE
0.38231277,0.042503927,3201.9237651980966,2388.7099698762527,5528.64990234375,0.1713534268465909,-261.10452,50.43518,28.042234,44.775913,-0.88941896,-9.627971,-11.178118,7.014676,-3.3594124,5.605548,-4.163506,8.561675,-5.1043286,-0.30348134,0.88784444,-7.456467,-0.7339359,6.2021513,-6.2758346,4.674237,FAKE
0.3392657,0.044213787,2431.988351764202,2284.172821256368,4542.77177290483,0.09370561079545454,-246.57399,83.01448,16.973656,41.932606,-14.547363,-11.938327,4.066669,-1.0986495,-11.569233,6.7281847,-2.96569,8.534675,2.372729,1.1357827,1.7114837,-4.34364,-0.71867794,3.0962534,-7.7416167,6.350986,FAKE
0.38134754,0.03449491,1864.3689276518335,2358.3204002187754,3753.628817471591,0.05055930397727273,-302.79123,107.12732,5.894937,19.558775,16.501394,2.2756255,-10.731923,-5.588076,4.4357963,1.9242336,-7.779895,10.0288105,0.2118182,5.086153,0.018938823,6.818772,0.209448,3.3952675,1.0840278,4.904078,FAKE
0.36330208,0.042464115,3134.930219406355,2439.099683756789,5541.863458806818,0.14247824928977273,-300.2076,46.30009,10.627912,28.21002,-0.58572084,3.8131025,-2.5767548,9.450922,5.3111596,6.6990542,-0.03840542,8.830825,-2.9238818,3.2740843,0.35041437,1.4915829,1.6154431,7.6791196,-1.2435436,2.193719,FAKE
