chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.48589775,0.04966927,3428.37892337958,2595.4845103255047,6237.288041548295,0.2121249112215909,-238.06831,47.54785,24.198011,23.346594,-6.7225375,10.301314,4.2028537,-7.3555217,-6.90445,-3.9283683,3.7457392,-4.621063,2.9197206,2.841703,6.841972,10.7776575,-7.7450914,1.435176,-0.2750476,-1.5833622,FAKE
0.34265095,0.06085285,2707.299226723073,2587.522387121421,5285.66728071733,0.12406782670454546,-215.21913,67.91195,4.9759064,36.464573,26.17516,0.16884485,-7.678061,-3.5999115,-7.4760695,-14.388447,1.5511149,-10.027592,-2.4328737,1.1130301,0.6073242,8.014437,-6.1276164,0.38145667,-3.8443518,-3.2809663,FAKE
0.37410218,0.047585133,1951.805692188323,2518.7349563237453,3982.419100674716,0.0809326171875,-249.4937,116.16772,29.074217,8.175333,19.832817,8.478794,-4.5526147,3.151302,-10.107769,-20.771963,2.133092,-3.428118,-2.0565364,9.449218,0.167108,6.931677,-7.1012645,-0.6226864,-3.6345055,-0.6486489,FAKE
0.48317388,0.02857526,2320.746649927332,2377.7779708663834,4262.595436789773,0.12366832386363637,-287.9195,101.30562,12.752061,20.350906,20.84274,5.9566526,-4.712071,-6.7903914,-4.909397,-4.457832,8.684872,-1.0883263,-3.624932,2.9897645,4.2190113,7.4489284,-1.6729743,1.0549266,-0.7793181,0.49950206,FAKE
0.42369065,0.044378005,2225.459874398526,2451.755801096033,4265.531782670455,0.10560191761363637,-262.1586,97.74226,4.7772794,18.016897,11.07499,0.11711857,-4.9263787,-11.701968,-3.0734873,-6.0850697,5.8133655,-5.3176007,2.2971036,1.6655412,4.9385395,6.0063586,-10.255353,4.4387035,0.13303556,-4.510285,FAKE
0.4407622,0.03139403,2012.954689985532,2239.2685341001743,3692.2102494673295,0.08285245028409091,-289.27557,117.49329,5.645389,14.843774,14.828229,1.8344007,-2.4569998,-0.018585466,-2.7117484,-2.6034784,7.017032,-1.1379876,1.734397,8.5165825,7.4762297,5.434242,-4.5806236,0.46821412,3.1926422,1.7887292,FAKE
0.5197606,0.02609788,1825.832637323835,2168.5364079142037,3471.005526455966,0.08524946732954546,-333.19785,117.10977,-7.3426623,17.789288,10.242725,-1.0995648,-1.9913079,-6.5398107,-3.7755358,6.0176563,12.756683,2.3835342,0.51542836,2.700926,8.716758,3.481836,-3.5247123,-1.19331,1.3989377,0.48618126,FAKE
0.43777797,0.061754514,2979.421004609523,2541.3447217518205,5580.035955255682,0.15501819957386365,-202.3257,69.79307,0.33331004,19.756544,8.145459,2.5052145,-4.0413766,-5.835072,-9.295925,-6.17185,8.332267,-5.394262,-0.5291919,6.240584,4.499053,5.659901,-6.3890476,1.758099,-2.480035,-2.011511,FAKE
0.4256933,0.049708482,2921.181135992894,2743.931703188179,5618.697842684659,0.1511563387784091,-211.85365,78.4868,4.069791,14.776187,26.819267,-1.1960099,-7.1112914,-2.0785952,-7.331724,-13.462649,1.0810645,-4.2629185,-3.262973,2.1604586,-1.3624576,7.410681,-4.8902154,-3.4450414,-5.352762,-1.1410533,FAKE
0.42093027,0.03490062,2177.025611003553,2358.7262392757543,4071.4882590553975,0.08647017045454546,-314.5797,98.298874,-1.3709521,23.164341,21.894768,-1.7746714,1.2445445,-4.047481,-2.9279287,1.7529817,5.4301414,-2.2344158,-0.18721624,3.4947639,3.135872,3.2067642,-5.0157676,1.2235523,-1.7007409,0.7444053,FAKE
