chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.29747882,0.028745836,1946.7272604167474,2014.0825988910087,3437.237548828125,0.08669211647727272,-245.47208,104.607834,-46.4058,1.1961606,-7.1110625,-12.237922,-19.728407,-0.4554821,-14.549479,0.8835691,-7.5705814,-6.395596,-15.313618,-5.430982,-11.619411,-9.566908,-10.951211,-7.4568257,-10.645375,-7.513762,REAL
0.48685837,0.0048464476,2613.8066299903444,2426.6503119058493,5197.087513316761,0.12828480113636365,-374.17834,86.108,-15.835507,19.442621,-3.9869,1.8293662,-12.819638,-4.7336826,-10.73546,2.8160377,-6.950089,-1.1768392,-8.161874,-4.7602587,-10.079077,-5.8853498,-10.463821,-4.4627028,-10.880195,-4.522535,REAL
0.32298887,0.020152412,2021.7847216362156,2083.546792344185,4099.872935901989,0.08837890625,-321.894,103.34576,-26.28189,25.83728,-5.726651,-7.061562,-21.79702,-6.3811784,-2.1186385,-2.4325442,-13.579207,-1.1505283,-13.462695,-4.2011414,-7.285254,-5.8697057,-13.188183,-1.06296,-8.49562,-6.698467,REAL
0.3089503,0.016800301,2382.576265863825,2171.4216971990186,4427.520197088068,0.12865101207386365,-326.36606,91.76177,-15.507671,31.374434,-4.7271714,-17.433905,-20.822412,-8.650031,-12.888687,-0.22447056,-18.974333,-0.08148167,-10.845044,-4.006562,-4.7913027,-12.806201,-7.461128,0.7975125,-13.421027,-3.7208474,REAL
0.34433955,0.019599685,2214.4104004246724,2206.308508213954,4186.739834872159,0.12081631747159091,-326.17966,95.22453,-25.636982,22.470015,-1.5881313,-24.100073,-17.343555,-11.1355295,-4.289409,2.7797441,-9.291513,-4.1144567,-2.8434908,-12.660142,-7.1233106,-12.714676,-13.993153,0.8002878,-13.211448,-10.999193,REAL
0.3291922,0.029098378,3171.803734973214,2252.37469502559,5360.299405184659,0.2137451171875,-269.87076,68.50796,11.109053,34.152817,-6.726736,-17.454494,-24.43736,-7.201106,-11.28473,1.1950119,-12.751013,4.2477384,-10.039312,-10.705532,-3.477826,-9.7648325,-14.275211,0.9518757,-6.6883206,-8.092424,REAL
0.3425482,0.02010325,3064.339379640341,2428.7886891018984,5601.079767400568,0.18793279474431818,-300.19308,68.68166,9.991578,22.440876,-8.446133,-9.5335455,-26.51156,-4.5629325,-13.439134,3.6105654,-9.207,-5.6459785,-8.629633,-3.6407588,-8.512236,-12.404532,-12.2483425,-6.1102495,-7.692075,-10.4777975,REAL
0.357517,0.018866941,3982.86688768641,2484.3705528643036,6423.990700461648,0.2903053977272727,-311.63443,44.726795,29.545225,14.532508,-5.47571,-3.4091263,-18.484245,3.4884558,-20.834398,1.7596371,-6.9126773,-4.4051113,-6.8990893,-7.281859,-9.595187,-8.7439,-11.884152,-4.2187214,-5.8861127,-7.4649873,REAL
0.49403277,0.016385108,2611.416543216985,2122.5545781630094,4319.120094992898,0.1632967862215909,-338.10687,95.58674,12.852429,22.725687,-9.434884,-7.493158,-21.527822,-1.5672524,-14.886609,-0.18280922,-14.764617,-1.5178502,-12.167968,-9.097505,-5.8745394,-10.795907,-8.315129,-2.594691,-6.957749,-6.1699214,REAL
0.66375583,0.005055453,4153.478266063626,2865.60992649241,7449.998890269886,0.3370028409090909,-331.85934,30.69027,2.6941206,25.838636,-7.0810437,-4.7412357,-22.76876,4.1684194,-8.158003,0.11884284,-6.272934,6.2496915,-11.637803,-1.27464,-10.913453,-7.056877,-4.7301817,-8.296986,-11.806421,-5.6342273,REAL
0.4846009,0.016141105,2411.6024900176526,2269.3709591631145,4636.734841086648,0.13597523082386365,-356.1635,86.928154,-27.21466,17.712116,-10.646793,-9.983696,-9.068651,-0.7348421,-6.989964,4.123208,-8.12494,-8.624254,-8.159495,-4.6533566,-7.5185246,-10.242299,-6.78548,-5.722466,-11.484916,-5.1391087,REAL
0.26602358,0.04983977,2475.9694051759875,2119.777338253649,4256.967440518466,0.14572975852272727,-241.14438,87.09793,-16.562397,15.103316,-13.523919,-34.25203,-24.3722,-4.2458563,-9.312177,5.434624,-14.187478,-4.952919,-18.776522,-7.1709704,-1.6364108,-16.43872,-7.472879,-3.3857887,-19.110796,-4.199492,REAL
0.28223905,0.048221704,2598.449112948775,2215.1716557151517,4337.961647727273,0.15123401988636365,-270.33124,80.89837,-14.858766,10.712395,-2.0861824,-40.626904,-21.770967,3.1248434,-6.893057,-1.6505214,-8.126024,2.0616388,-21.432886,-8.759467,-3.5614052,-19.32739,-6.0600123,-4.970781,-17.966177,1.2396241,REAL
0.27018213,0.030542074,1718.5801545680254,1896.597531309411,3259.833318536932,0.06328790838068182,-350.85873,108.994514,-25.148987,22.355824,-2.02035,-18.915693,-23.609224,-7.2284756,-10.126555,-4.674622,-11.381153,-3.090603,-14.685709,-13.030529,-5.3271413,-12.990867,-5.2399855,-0.53219646,-4.3041725,-3.9213982,REAL
