chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.2910049,0.10097197,1503.8190216392925,2003.9004734006512,2640.264337713068,0.05846058238636364,-227.284,117.36387,-21.856699,-5.9562078,3.2312937,-5.1992207,-10.851694,-24.056242,-13.416785,-9.715755,-12.580356,0.23122202,-4.28614,-0.65806,-17.67178,0.49257994,-8.939297,-10.583411,-9.856175,0.11042249,FAKE
0.4886536,0.005332906,2757.999207340288,2607.776139680864,5640.96513227983,0.1292391690340909,-376.87497,82.62943,-4.113033,13.557879,1.8941975,11.171295,-9.2613535,-6.738443,-6.113882,2.6071928,-7.181083,-1.6197205,-5.480616,-1.5915725,-9.422899,-4.0217457,-7.7644506,-3.283262,-6.9141116,-3.745475,FAKE
0.32094723,0.05952926,1876.7219264821024,2279.0325091575082,3907.7869762073865,0.08558238636363637,-284.79147,104.58375,1.5057788,11.288382,8.897177,5.228328,-11.222543,-22.848782,-16.544508,3.9187844,-14.712211,-4.4586887,-9.660798,-4.9068623,-12.124473,-6.0832143,-8.77916,-4.3011613,-9.839105,-2.1893365,FAKE
0.31793395,0.05330193,2061.158775047168,2186.794173449623,3676.79443359375,0.09908780184659091,-258.2841,94.734474,1.9240669,23.870356,17.504763,-0.12301955,-16.780178,-12.32111,-10.59549,-0.1764471,-12.652639,-7.312897,-9.438957,-7.2221966,-11.617744,-1.5041347,-6.931711,-4.4553585,-3.4087746,-0.72235674,FAKE
0.39272493,0.048175953,2213.3825072443706,2198.764450130891,4162.759676846591,0.132568359375,-307.62924,100.98997,-14.262595,8.875005,1.9002224,-0.6292241,-15.863102,-12.37882,-9.806741,4.078696,-7.367104,-2.0095778,-4.004641,-5.7636647,-7.626152,-1.6238552,-5.220131,-1.8032238,-4.0531383,2.0003285,FAKE
0.39721486,0.048426643,2680.522519720526,2129.6014498848435,4335.269997336648,0.16414018110795456,-245.74068,57.033585,6.784474,44.022137,1.7855126,1.7572143,-15.795813,-10.536425,-13.907309,-7.1651707,-8.961221,0.60316163,-4.510638,-4.2797227,-8.4669895,-2.99393,-6.0958247,-4.4986634,-7.1188145,-1.7083366,FAKE
0.36779884,0.039646115,2535.060695477304,2209.026447154379,4383.964399857955,0.15076793323863635,-267.8862,71.34048,6.7034836,33.904324,0.48759383,4.9685955,-15.154449,-9.872733,-11.117289,-4.3636055,-5.6864104,-0.16970834,-6.422839,-3.9016945,-10.947045,-6.1465974,-5.283523,-6.019406,-7.765431,-0.44198886,FAKE
0.4071154,0.042808324,3108.6248500795145,2075.822968436324,4751.986416903409,0.21750710227272727,-280.18604,44.831345,26.386805,43.34464,-9.9135685,6.3096085,-15.23518,-1.3583703,-10.306147,-9.222957,-4.8283844,-3.9878352,-8.586102,-1.2297711,-9.567461,-6.236604,-5.922081,-3.6106706,-4.4497967,-0.07807305,FAKE
0.5651408,0.022028688,2813.291259251305,2291.168590591507,4671.97099165483,0.18510298295454544,-331.31198,67.16452,14.940393,20.734106,-2.2719736,1.4415545,-15.246832,-6.1825457,-8.466439,-1.8966575,-3.6617248,-0.7352097,-5.3552527,0.31712595,-8.293291,-2.8254108,-4.9025826,-0.6061272,-1.5915375,2.9671514,FAKE
0.54150254,0.006719873,4224.773534873871,2427.6435496263603,6744.54179243608,0.3475119850852273,-337.1329,13.855319,-6.2492843,25.096403,-34.922977,9.032706,-18.73219,-7.569549,-0.85315233,3.2845976,1.2974311,1.6673218,-2.2685497,4.243165,-7.895879,2.773801,-0.75198096,-2.5333643,-2.276903,3.6969123,FAKE
0.46858418,0.046529163,2465.620026497192,2421.2089687899042,4865.76981977983,0.12359064275568182,-333.9511,90.290215,-10.516836,1.7102376,-6.350899,-3.2171388,-13.710015,-3.2215598,-5.6825566,4.7723207,-0.67694294,-1.045914,-4.4352694,-12.337933,-10.866133,-1.7231735,-7.262083,-8.354737,-4.440476,-1.1296878,FAKE
0.3178509,0.12560241,1980.6856803966498,1962.4310820057178,3334.2207475142045,0.11503462357954546,-178.84605,99.08652,-9.089119,18.572815,-7.4622045,-11.4423895,-19.094727,-20.658106,-11.422888,-4.949272,-12.703439,3.8078108,-5.763062,-15.652155,-10.845664,-3.9552863,-12.748119,-6.244003,-5.7532125,-5.95092,FAKE
0.25382677,0.13752815,2238.4450837959535,2045.8994178924354,3796.2058327414775,0.12148215553977272,-190.89557,80.79127,-7.391657,28.268883,-2.0152614,-12.41789,-22.789862,-19.338362,-8.496302,-6.569661,-13.319182,-2.7020812,-2.9148018,-6.3710957,-10.052311,-5.4285183,-12.199191,-6.044447,-4.8850727,-7.0880632,FAKE
0.33037353,0.053540956,1905.6168760234812,2314.4803221045763,3890.658291903409,0.07976740056818182,-326.4431,100.26523,9.854402,18.628935,4.5443707,6.025368,-14.44068,-15.366611,-9.090445,-2.8377273,-9.763508,-6.12383,-4.013226,-3.0645204,-10.496193,-6.9180436,-6.6129746,-2.9963248,-5.065749,-5.130978,FAKE
0.29116482,0.08000363,2134.4970807047293,2371.175423748863,4488.449374112216,0.07931241122159091,-294.14334,85.038475,5.5094666,26.315039,0.5088166,0.15448856,-24.18575,-13.316653,-15.350439,-7.917616,-10.058608,-8.302872,-6.248532,-2.523819,-7.1285844,-6.2945266,-9.2452,-5.882365,-8.320521,-6.9267774,FAKE
0.29602674,0.12096235,2131.3879215231,1919.2503997367019,3407.384699041193,0.11869673295454546,-226.44849,89.08459,13.126824,24.335644,-11.554409,-2.9722123,-27.132807,-21.487318,-12.140751,-11.700937,-24.716698,-6.3270035,-8.999566,-8.837086,-6.0312824,-5.7925878,-9.510773,-3.552086,-8.06434,-7.215648,FAKE
0.29448515,0.11454578,1543.1051107884261,1885.961475584234,2655.435458096591,0.08143199573863637,-242.56114,125.93139,22.08498,3.8106422,-31.485456,-12.7963705,-17.540699,-6.606394,-17.125278,-17.642365,-12.829224,-0.2307373,-6.76144,-4.4883733,-1.8219161,-10.456129,-13.061895,-4.700146,-9.241899,-2.9570696,FAKE
0.5312666,0.03518983,1811.108422783551,2073.919854094165,3912.191495028409,0.08711381392045454,-235.12657,120.06123,-7.1358013,-5.9599853,-56.73322,4.1881514,3.9602027,-3.2284358,-26.30185,-1.100049,-1.2762125,-7.4325333,-22.364613,-3.7828827,-13.519791,-7.3387165,-18.239418,-5.6682777,-10.431809,0.3431325,FAKE
0.5216793,0.042000536,1843.4073039727734,2165.0795401847627,3930.054265802557,0.08746892755681818,-213.6061,118.634865,9.385498,-23.39854,-66.17972,-8.405564,-2.6814268,11.41332,-14.02015,-1.887484,-9.020123,-16.058857,-13.854682,5.7662272,-13.551511,-8.029344,-20.876749,-13.655933,-2.301788,4.4272447,FAKE
0.57047606,0.025848268,2122.0339339447214,2302.3689293167427,4788.690740411932,0.10359330610795454,-226.2976,108.79662,1.9130615,-7.372795,-61.883095,-8.221075,5.666296,9.170062,-26.987526,-2.1974854,-6.4588313,-9.019662,-11.065546,3.1060395,-21.091007,-7.8094907,-8.525191,-5.5733743,-10.804188,-3.581713,FAKE
0.43901068,0.08257359,1950.4752785257842,2041.989069781291,3866.1887428977275,0.10409268465909091,-190.57652,109.70672,-11.618947,4.756604,-35.206436,4.0612907,1.8160857,-4.182998,-29.933691,-2.9402964,-3.811528,-11.476658,-15.700626,-9.120513,-16.661425,-3.768503,-10.26225,-11.578795,-9.692283,-3.3848708,FAKE
0.3615221,0.12476752,2376.937429097561,2064.764846584759,4036.7414994673295,0.15334250710227273,-157.4544,91.98626,-1.5229003,1.4219565,-25.077093,4.3094726,-18.200964,-15.038327,-18.454063,-6.246138,-7.6507792,-0.86519605,-14.757514,-6.964662,-5.475414,-0.14338103,-8.994001,-10.995599,-5.7327914,0.38373956,FAKE
0.23749232,0.15289259,1241.6612013049057,1646.1257639531825,1978.8524280894887,0.044921875,-200.32538,138.0217,-11.929246,-5.6443186,-22.805786,-15.44602,-15.919768,-2.6768641,-16.537342,-14.961865,-13.509292,1.4669998,-10.32174,-5.6768174,-4.181023,-11.777401,-12.09053,-5.329623,-6.134833,-3.3445303,FAKE
0.30379725,0.14101015,2160.918094784442,2028.5087333724646,3784.9498401988635,0.1261874112215909,-191.78764,83.51771,-17.303968,19.52734,-4.930695,-3.879089,-30.724998,-12.965139,-13.8119755,-7.8430676,-12.404349,-0.9376161,-9.580359,-7.3870225,-4.8941436,-4.4944997,-14.64722,0.08504181,-0.073379755,-7.7478023,FAKE
