chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.30647966,0.07629452,1413.467405218795,1839.001498575253,2703.1510786576705,0.0533447265625,-232.30121,133.16565,-22.95596,8.888364,4.3399615,-10.588062,-6.1106095,-17.139154,-13.10528,1.9125084,-24.13695,2.394421,-3.3172324,-14.874663,-4.914527,-1.4741191,-10.153111,-9.911874,-3.817375,-10.349,FAKE
0.47702378,0.0060321004,2639.8683237931164,2527.274446644919,5466.497247869318,0.11715420809659091,-383.0799,90.15781,-8.644283,15.567981,2.5518258,6.641246,-8.811294,-6.098012,-8.305966,2.037918,-10.451579,0.8865049,-8.037273,-2.922859,-8.647304,-2.9936097,-6.7409925,-4.170974,-7.415454,-4.745568,FAKE
0.42395848,0.054415647,1729.6328152363487,2022.3476110952795,3623.206121271307,0.07976740056818182,-287.24896,125.23181,-8.775684,22.783346,17.18695,-6.998111,-12.520141,-3.6405783,-7.56026,1.3334007,-11.709277,-2.435869,-9.924728,-2.9302871,-7.6181884,-2.91287,-5.2786317,-3.483854,-4.5217686,-0.35924262,FAKE
0.42364028,0.038472343,2266.6274298672197,2006.5217810292445,4112.597101384943,0.11859685724431818,-265.6204,103.92454,-9.073396,43.439182,19.810646,-14.445144,-12.428661,0.9065912,-4.785293,-3.7158835,-8.345224,-3.888495,-8.790925,2.8431942,-3.3056877,-1.0180283,-0.35683462,0.38106078,-4.544253,0.7072478,FAKE
0.5024415,0.03653715,2135.1156490381018,2027.611365495635,4083.7230335582385,0.12828480113636365,-310.34613,113.19294,-28.261269,12.852006,-1.6478235,-10.685435,-16.804527,-8.6615925,-6.4547176,3.7497637,-2.5210564,-4.2291293,-6.7740483,5.878327,-2.6396053,-0.15747282,-2.179181,-3.6102545,-6.5341735,-3.2412074,FAKE
0.44588742,0.04656051,2926.657656297902,1976.3164226827469,4773.764315518466,0.20107199928977273,-239.34575,72.04279,-0.71966034,42.7862,7.139648,-7.182039,-15.170757,1.8612857,-7.848009,-4.0751185,-5.509277,-3.903714,-7.1440206,2.2895048,-5.3146834,-1.3549443,0.6237723,-0.20440942,-6.2797527,-1.0716866,FAKE
0.42090786,0.035969805,2715.421283851154,2084.260159371374,4671.97099165483,0.17463822798295456,-262.94855,81.331085,3.9453363,38.927586,5.5644503,-2.633111,-7.9062,0.23767337,-4.8370023,-2.4889688,-9.081545,-3.3242795,-10.090063,-3.05867,-3.4952395,-0.07913684,-2.4813852,0.15178561,-2.7726967,-0.24695753,FAKE
0.49634212,0.035284426,3736.1265545213855,2200.627944403849,5924.322509765625,0.268310546875,-266.15628,44.60632,20.23275,28.161346,-2.5741098,1.2303505,-11.404091,2.7569487,-3.7461965,-4.5944247,-9.451127,-5.0243053,-8.607705,1.3746436,-5.7048435,0.1982654,-3.0215926,0.20117523,-4.246267,-1.0509886,FAKE
0.59547216,0.024707906,2491.712781242734,1907.2917048760382,4085.92529296875,0.16224254261363635,-339.45926,97.93243,-4.7661138,20.561907,-7.2142415,-7.683554,-10.442881,-4.739756,-8.422312,2.0430589,-7.9112988,-8.670696,-4.4633517,-0.7970194,-7.3043337,-0.33272392,-0.6453483,-3.0971243,-4.431078,-3.171932,FAKE
0.5163906,0.005926132,3939.5028766573287,2269.9702188119645,6297.72782759233,0.32105601917613635,-384.8163,48.610374,-10.201545,-1.8234882,-18.031254,1.9231465,-27.465998,-1.8946598,-5.0391054,4.0886445,-2.0042603,-4.036687,3.8250115,-1.9574859,-6.270125,0.23041989,-1.5339452,-3.3470864,-4.4042,-0.62493956,FAKE
0.47369224,0.041441873,1490.2571130089627,1533.5207424890139,2807.636052911932,0.08660333806818182,-355.3648,125.44832,-27.856642,3.620421,3.7744818,-18.49007,-1.8358319,-3.3847258,-6.1196055,10.837894,-3.0504618,-4.5492187,-7.6870637,-4.7667828,-9.181113,-4.2912464,-6.8169727,-8.24907,-5.075844,-3.701796,FAKE
0.43905222,0.10870187,2195.1215062768083,1831.7879197337083,3821.4094682173295,0.13579767400568182,-175.72226,109.380035,-16.11605,23.737305,-4.669687,-17.562143,-5.5213413,-3.2176218,-10.389003,4.132252,-4.4340863,-3.5698204,-9.213787,-5.210518,-11.747418,-1.3727655,-4.444112,-6.5936265,-12.214884,-4.1085877,FAKE
0.3419699,0.11405592,2527.656929909796,1926.7174827928072,4154.684725674716,0.1498135653409091,-180.77171,92.33349,-11.768878,30.868284,1.683343,-26.184168,-14.516455,-1.3348918,-7.479119,-0.0716011,-13.056467,-2.7344844,-3.6182814,-8.357135,-10.915495,-4.8442683,-6.350061,-3.7792406,-11.728692,-6.1940827,FAKE
0.41173637,0.056963883,1568.2206415392536,1965.3800648759634,3150.9438254616475,0.06829279119318182,-330.54358,123.227974,0.34254655,16.42888,9.900384,-0.61595273,-9.805597,-10.060004,-5.1079574,-0.72106624,-14.04757,-8.296097,-6.595201,-5.6580997,-6.2574077,-4.061202,-1.1051589,-3.4035912,-5.9335527,-7.352498,FAKE
0.3297094,0.07862569,1966.3803504423338,2209.4147633806106,4092.532071200284,0.07179953835227272,-302.10016,94.74031,7.562944,22.845688,-1.3875993,-3.6549795,-15.128074,-10.30033,-8.248274,5.4197297,-16.575542,-10.379418,-11.7286215,-9.144363,-7.0635357,-5.281628,-7.129955,-6.6911974,-8.527536,-8.839196,FAKE
0.4088534,0.09965742,2400.9267822841766,1964.0383772557316,3894.573419744318,0.13605291193181818,-205.2215,99.55041,12.515906,18.9314,-6.9662113,-14.682361,-17.580673,-0.8171604,-11.679984,-6.2279816,-19.330595,-8.206263,-7.864996,-8.555949,-8.102917,-3.0184858,-8.3455105,-5.5419154,-7.955501,-7.734875,FAKE
0.42578012,0.09339781,1762.6273892747233,1958.3746552000166,3312.6875443892045,0.099853515625,-226.60948,131.99615,13.187865,2.0579996,-28.126497,-9.130775,1.9476795,-2.212351,-18.768557,3.1230829,-14.689872,-9.949278,0.6955309,-4.613592,-11.868026,-7.5454044,-9.943106,-5.2402325,-5.1088862,-6.128349,FAKE
0.5373132,0.03457977,1685.1968853210885,1941.2324809808554,3413.7467817826705,0.08612615411931818,-259.05072,130.63634,2.675866,-9.205447,-74.39521,9.363711,13.4092245,-6.2560453,-32.271797,4.8237543,-2.114026,-10.909438,-22.937353,-0.78761506,-16.242327,-12.092169,-18.947721,-0.7436187,-13.441636,-4.0625753,FAKE
0.5213314,0.041665662,1595.4789736337943,1958.3864996400284,2873.459139737216,0.08296342329545454,-247.81119,134.01604,29.45389,-27.349714,-86.67428,0.3521016,4.6560225,3.7188232,-18.5709,6.6375866,-6.856099,-27.751432,-14.738257,14.526287,-14.496677,-11.281963,-24.420998,-12.558503,-2.5230188,7.2651095,FAKE
0.5672577,0.025204452,1849.335845764223,2147.747514174515,4235.92362837358,0.093017578125,-271.86942,124.983696,34.63575,-7.7510834,-96.81084,-1.5842587,21.686085,9.710281,-42.71397,4.0164127,-4.025336,-13.766677,-12.625838,13.176336,-30.560625,-11.424709,-5.7321367,1.6590947,-17.247551,-6.9594035,FAKE
0.48479626,0.06048317,2075.3635299846665,1989.1693245902488,3894.818115234375,0.11430220170454546,-198.67491,113.86861,-12.82221,5.295474,-34.335293,1.8821731,8.899762,-3.37435,-28.158623,-0.5105881,-2.5366354,-7.617806,-15.185688,-6.1137447,-14.958027,-0.41221663,-5.6800227,-10.517761,-11.104723,-2.6334033,FAKE
0.40803397,0.10089362,2700.1239565445476,2092.0595207397987,4662.917258522727,0.17949884588068182,-156.6472,95.698044,-0.80268514,-1.9437423,-18.959833,-1.041876,-11.283813,-4.022281,-16.501062,7.8305135,-3.691056,-10.230046,-8.21421,1.0054626,-4.9461637,-1.9140308,-10.290478,-5.8521495,-4.843336,-5.8608675,FAKE
0.37221536,0.11013224,1376.173828219299,1693.4401654232252,2570.281427556818,0.058882279829545456,-191.68285,141.4294,-21.948738,4.3429027,-21.478312,-10.264582,1.5720954,-2.289659,-19.477085,1.641254,-10.327342,-3.8583467,1.068453,-5.0188775,-14.687482,-5.920852,-11.357227,-5.5224466,-4.253925,-9.005853,FAKE
0.37802842,0.12349823,2379.7232086138847,2093.4217355912265,4217.571466619318,0.1427334872159091,-170.18286,89.07609,-18.621162,20.17614,0.66337734,-19.297607,-12.473998,-9.354715,-11.565438,4.2284245,-18.013136,-6.685606,-6.536131,-2.0769484,-8.028547,-9.2689705,-5.6764,-4.897014,-11.286674,-7.8109927,FAKE
0.3393203,0.10824028,2233.327872302335,1923.422298144817,4040.9013227982955,0.13215775923295456,-183.79987,110.16645,-21.745607,17.402075,-0.32636288,-24.844439,-12.322309,-11.198997,-9.716577,16.896114,-1.6527501,-7.82876,-14.2961035,3.214219,-13.174274,-8.458611,-11.447658,-4.9083858,-4.222081,-6.6780715,FAKE
0.39621747,0.08235442,2132.281525261307,1986.4247771597554,3984.6213600852275,0.11566716974431818,-216.46548,96.95227,-4.974377,47.405277,6.642416,-18.036644,-2.0183809,2.401561,-9.358196,-6.557594,-13.6214485,-7.6747646,-13.030692,-9.338458,-9.519959,-2.4855974,-4.753176,-4.66816,-6.957306,-0.37413523,FAKE
0.48170686,0.044149127,4035.9779265676425,2276.7914187375095,6385.573508522727,0.3011252663352273,-261.0426,19.477869,15.330471,27.54024,3.774594,6.105469,-20.987669,1.6391602,-5.860726,-4.8509316,-13.16983,-7.0281706,-7.2464676,-0.19756824,-5.208371,-2.9916756,-3.002991,2.585774,-4.995292,-2.0421727,FAKE
0.3916974,0.036535706,1903.9967410421516,1895.317077649498,3702.7321555397725,0.08991033380681818,-333.94147,133.44273,-12.555798,15.4074135,-3.1400545,-12.419153,-2.2748826,1.0081187,-12.822862,2.3001432,-5.9881063,-6.261095,-2.9369154,0.74974114,-10.431621,2.4077613,-2.1163201,-4.5285206,-3.7154768,-4.3019934,FAKE
0.4613331,0.04231458,2521.0798975371745,2133.8614966316995,4785.265003551136,0.14260031960227273,-305.32043,86.06573,-29.805855,20.98554,-10.530651,-17.405128,-16.314293,-3.4143007,-4.4963064,6.1499715,-3.793409,-8.698052,-9.796041,1.5468997,-5.505064,-3.1663332,-3.214905,-0.9619197,-5.61433,-2.2561362,FAKE
0.4125165,0.05407102,3621.1863843632937,2239.770865275199,5766.983309659091,0.2395907315340909,-237.14467,46.862022,17.708664,35.777046,11.977472,-6.602666,-18.885649,2.0280569,-6.743022,-6.463028,-6.802966,-12.025784,-7.4110494,1.0816864,-7.5705113,-5.9098406,-2.274518,0.8456017,-9.17482,-0.94728297,FAKE
0.34867704,0.07220296,1957.5942321353107,1945.3731565257274,3666.5172230113635,0.09188565340909091,-231.90326,111.34953,5.247691,45.475418,6.6471148,-16.635168,-10.368336,-9.072066,-10.109719,-4.488886,-19.320362,-9.062193,-6.9099855,-9.590085,-10.236188,-1.5291802,-3.4808092,-0.7239648,-6.7485623,-5.840477,FAKE
0.37298363,0.06313261,1713.327797208197,1810.2755841814194,3260.812100497159,0.08455033735795454,-235.46855,119.48493,-17.92084,56.830017,16.566063,-23.799034,-6.819128,-8.424084,-7.9021397,-3.5034711,-10.267516,-3.8339477,-8.1153965,-1.3178049,-5.492686,-0.85520476,-5.4680295,-6.750159,-2.7938437,0.13339378,FAKE
