chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.29776406,0.085213415,1379.189334930569,1898.7198761733,2525.7468483664775,0.05274547230113636,-230.39569,122.06633,-12.379681,10.328236,9.125525,4.545381,-19.38473,-12.296613,-20.027472,-7.5417714,-10.858322,-2.2702205,-6.0147815,-8.09827,-5.095751,-2.9620202,-9.754287,-11.764129,-6.315732,-2.6560826,FAKE
0.46816096,0.0071845767,2495.0256104016316,2499.121663428308,5208.343505859375,0.11136141690340909,-383.2705,95.73413,-2.5679994,17.568373,6.3359027,15.321842,-4.476889,-3.7483916,-2.9226465,6.8914065,-7.5521007,3.929382,-3.8576784,0.13940953,-6.3037996,0.12182214,-5.988571,-3.4078531,-3.3315818,-2.77349,FAKE
0.396565,0.07147492,1449.923251360093,1876.1034853700112,2988.7107155539775,0.07450727982954546,-284.44104,131.23643,1.6850835,26.589022,19.228462,10.78749,-16.431816,-6.827963,-9.875983,-1.895179,-10.049277,-2.7861085,-5.889459,1.1218827,-8.473886,-3.9137063,-0.7669839,-7.605224,-6.7007146,2.9372635,FAKE
0.44338185,0.064203605,1814.2525470444307,1761.1704413726984,3155.3483442826705,0.09825550426136363,-258.29114,112.24058,-0.877227,45.384274,23.71359,11.299323,-21.565308,4.8786726,-8.226322,-4.214297,-3.9555626,-4.7295175,-4.490817,-1.3682326,-4.271319,1.3344612,-5.1029935,-4.766108,-3.0545752,-1.99992,FAKE
0.3813849,0.061449505,1781.068190834272,1868.2515450536587,3441.6420676491475,0.08720259232954546,-293.09906,124.58894,-19.713982,17.157171,3.2830687,11.039491,-17.441801,5.245616,-6.5306244,1.876556,7.979162,-4.7345343,2.6681483,6.2736206,0.40486735,6.7075763,-2.562449,-11.298777,-0.7584181,-4.391573,FAKE
0.4268404,0.060787555,2401.0955052915515,1787.182716836413,3820.675381747159,0.1556729403409091,-242.3127,79.31245,1.3353242,51.210476,3.6475542,12.576623,-14.701382,5.1056523,-10.247527,-3.5501287,-7.8358655,2.6797202,-2.4005365,-1.6579547,-2.2660015,3.7572794,-3.8615432,-2.7647064,-1.4931203,-3.2541163,FAKE
0.42789292,0.051534954,2183.406197204681,1833.475804076723,3672.1452192826705,0.12809614701704544,-257.46823,93.31755,1.3983853,48.715355,9.031168,15.305111,-13.932104,1.632489,-7.6320558,-1.5223385,-4.2073255,-1.8278576,0.3513319,0.0867991,-5.8928103,2.7352085,0.24649073,-4.920615,-1.0490565,-1.3932424,FAKE
0.42808414,0.050635155,3075.538030582394,1967.1142848299232,4819.277676669034,0.20393510298295456,-272.89578,50.47197,23.585417,44.92655,-4.104425,17.868578,-11.136764,10.194412,-5.210328,-1.3443359,-1.836525,-0.44497707,-4.290888,0.2665303,0.95329493,1.1912123,-1.9622204,-0.9110338,-0.07997134,-1.8678517,FAKE
0.5166734,0.034534037,2092.852657073176,1752.066132475616,3439.1951127485795,0.12593217329545456,-337.57034,103.55371,3.742678,29.9928,0.33243456,13.661973,-9.107278,7.958966,-5.3979807,3.2711997,5.1539626,-0.98551315,2.2058663,0.022933006,-2.9198453,3.7840552,-0.13773976,-4.4626436,0.83553004,-5.6542253,FAKE
0.54587215,0.006152829,4111.5560149045095,2468.196724439052,6703.432950106534,0.3308660333806818,-354.44498,26.282686,-1.5452843,14.285004,-21.834986,14.039333,-21.141811,0.68574715,8.242497,7.1410007,4.291642,10.197985,5.0054464,4.924368,2.4059918,3.468962,1.2453465,1.8100682,4.3045335,-0.9433889,FAKE
0.49254274,0.038089305,1582.2968003717615,1706.178977472482,3023.946866122159,0.08375133167613637,-357.61664,126.6879,-23.703896,12.932154,1.2600467,-4.3063197,-6.514972,-1.1079452,-3.547268,5.540147,4.598345,2.7574503,-4.1873965,-2.848786,-4.364648,-3.6735735,-5.1157193,-9.725875,-1.9400791,-2.3997202,FAKE
0.3704642,0.12041425,1908.7396396877846,1777.8374217368305,3282.8346946022725,0.10805442116477272,-180.70714,110.755714,-12.38348,33.00227,-0.7713341,8.148647,-22.619158,-1.3541366,-13.93023,-11.015655,4.230589,-0.43039468,-5.8111625,-4.29957,-6.121396,-2.7078493,-8.093304,-7.055179,-5.648847,-7.600691,FAKE
0.30277503,0.12370691,2244.58897194909,1834.653296998282,3745.7985617897725,0.13838334517045456,-196.55919,89.689445,-7.647932,43.650204,1.8468477,0.063342206,-29.130474,-0.7655812,-10.98637,-10.605575,-8.344245,3.4803758,-2.7005415,-0.31920823,-0.83271235,-6.9799304,-9.030257,-9.5873375,-6.650633,-8.469875,FAKE
0.38466564,0.06433526,1134.5973284834051,1656.261542894609,2035.6217817826705,0.044477982954545456,-335.3665,134.02725,2.6164196,26.570732,17.90368,13.232114,-10.393519,-3.4503646,-7.9542236,-3.4228468,-4.5690274,-5.5298653,-0.54250485,-6.8472166,-3.8591857,-1.7641537,-7.4516115,-5.8991017,-2.9083316,-8.821955,FAKE
0.29011315,0.073728494,1888.8236197607655,2097.696626156349,3864.7205699573865,0.07064541903409091,-308.01947,86.84803,-4.7129607,35.15599,8.356523,7.323723,-15.962832,-4.907432,-12.170545,-2.4843855,-8.181182,-7.7896895,-10.060883,-7.733424,-1.4782414,-6.5337024,-9.099784,-5.3544173,-6.918529,-11.030173,FAKE
0.34243792,0.1059295,2232.2559256503487,1796.2067096800731,3539.0308726917615,0.1318359375,-232.83008,97.06556,13.865168,29.941462,-2.0515559,4.38348,-23.347277,1.0565451,-14.116983,-13.553964,-15.377583,-5.399544,-5.0990458,-11.302957,-3.8135698,-4.5689816,-11.103786,-4.8478804,-4.33716,-8.674206,FAKE
0.3840765,0.09660859,1401.4969338630438,1646.5186644875705,2453.8063742897725,0.08275257457386363,-245.69995,148.80363,11.147883,16.159185,-28.515276,5.846594,-11.191697,2.1318917,-14.873288,-12.435907,-1.724096,-9.157425,-1.1551169,-0.39374343,-5.4513397,-0.9334448,-11.732755,-7.2514606,-3.1227,-11.590253,FAKE
0.5676241,0.035192505,1826.989393938388,1991.3350638115755,3815.7814719460225,0.09401633522727272,-238.09248,121.95069,-15.463684,0.86255306,-58.389442,3.052079,5.482782,2.316307,-27.710136,-0.23969044,-0.50913733,-7.24776,-24.658556,-3.405983,-12.122387,-7.905953,-19.713528,-5.0219545,-8.683831,-1.5077523,FAKE
0.54877913,0.042708654,1677.8432726240324,1915.8045009475566,3248.3326305042615,0.08686967329545454,-212.00624,129.29309,-8.29829,-12.859686,-65.89913,-11.293222,-0.5143681,20.529053,-21.391066,-7.321754,-1.0530653,-8.583402,-17.963863,0.27947947,-11.716229,-0.813456,-22.918983,-13.073714,-2.0570068,3.2817528,FAKE
0.5761532,0.02588553,1887.1777399240868,2117.3962497767593,4151.014293323864,0.09554776278409091,-239.62389,123.03055,2.275297,-3.2076042,-69.53848,-4.0144405,8.088628,15.563577,-33.361755,-0.8973942,-1.0381935,-4.7337494,-16.33537,4.2960253,-18.734224,-2.2372057,-12.489425,-4.237019,-8.866738,-1.9034947,FAKE
0.45924923,0.06991403,1908.4128797892386,1886.3712956740646,3582.831365411932,0.10512473366477272,-188.82344,116.44471,-23.639366,13.902772,-29.505596,3.354626,1.6542546,0.34363285,-27.401522,0.069796056,-4.6623745,-7.669109,-11.885291,-7.866081,-11.079518,-1.4697407,-6.1898394,-9.436488,-6.3582487,-3.50707,FAKE
0.39925727,0.10589772,2364.7077267424156,1896.8421173256293,3958.9283336292615,0.15455211292613635,-167.07588,104.01804,-3.7278306,13.314228,-26.330473,13.581849,-13.550834,-6.200511,-20.224134,1.7120578,0.77536494,-7.840268,-9.635574,-2.0207057,3.2176142,-0.47420043,-9.560386,-5.6364837,-0.48843557,-3.7623696,FAKE
