chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.25794408,0.071304806,2424.6666543995143,2732.3311103006045,5395.780251242898,0.07850230823863637,-212.52182,70.21019,-15.484915,-2.787254,-6.626849,-11.637816,-7.131264,-16.653872,-13.044504,-5.319295,-10.020343,-8.104269,-13.255463,-6.5940075,-11.464368,-12.433025,-11.240228,-7.211663,-17.813784,-3.9227095,FAKE
0.4748337,0.0055159973,3071.3178856851987,2704.6467299992505,6198.626154119318,0.14586292613636365,-371.61227,70.64627,-4.701126,13.885612,-1.6275688,4.3509903,-8.132189,-6.946185,-9.743227,2.0633504,-8.915408,0.41150722,-10.15135,-5.0117054,-10.013856,-6.5757475,-10.965042,-5.403288,-10.747961,-5.2270184,FAKE
0.32288164,0.060738716,2614.5022340802525,2530.8296187331016,5263.644686612216,0.13035999644886365,-263.17834,64.447754,-7.5433354,25.06341,-0.15988348,-10.6617365,-14.776061,-12.347461,-9.776147,-6.9240084,-16.15349,-2.0742521,-20.365635,-3.5551755,-12.495276,-14.445664,-10.10969,-6.8703356,-9.900405,-7.0256915,FAKE
0.3383473,0.05441844,3216.308418398527,2445.887507193222,5755.972012606534,0.15090110085227273,-230.93877,36.81305,5.0112433,41.412292,-2.952498,-21.348154,-18.0302,-4.0313005,-15.335891,-4.8348618,-14.133777,-3.699991,-12.547543,-7.4730334,-10.337943,-13.223372,-9.089013,-3.8100214,-12.567852,-4.0347943,FAKE
0.4330862,0.04806971,3187.1853341565857,2504.884584635201,5772.366610440341,0.20746404474431818,-276.76303,46.343826,-18.12369,19.980001,-10.915243,-14.177051,-8.975249,-5.8591123,-8.047588,1.5062779,-10.473374,2.0859406,-10.189704,-2.4852812,-8.826883,-14.294677,-9.988712,-5.281996,-9.666704,-9.058788,FAKE
0.35969806,0.067905314,3687.4948582583634,2258.820571320893,5877.340975674716,0.24366344105113635,-217.52255,13.905411,14.390933,47.4583,-13.142664,-14.718624,-19.399263,-7.9177155,-17.991615,-9.878673,-9.09191,0.9209109,-13.489791,-9.220969,-6.547699,-14.023228,-12.127523,-4.2455516,-12.23826,-4.8739123,FAKE
0.32259217,0.05702951,3536.912358575871,2341.1740148332115,5870.489501953125,0.21339000355113635,-238.78673,19.411613,16.210218,40.156837,-9.001641,-4.9000454,-18.787493,-5.039783,-15.3295555,-8.088426,-7.6590376,-2.1393406,-12.177115,-5.549602,-8.273283,-10.51098,-11.603961,-5.371695,-11.590476,-6.0268917,FAKE
0.36112335,0.057307497,4441.178819269234,2293.264500412725,6881.081875887784,0.30785023082386365,-258.9668,-11.597306,37.146313,33.67926,-6.882396,-1.0250288,-19.88337,0.28495425,-19.262098,-8.387246,-6.712543,-3.3668334,-10.718787,-6.0749297,-11.515627,-9.744564,-12.617745,-3.010817,-10.47195,-5.8912477,FAKE
0.5129254,0.031162344,3394.435663485238,2364.772464345646,5872.936456853693,0.21370072798295456,-314.32462,41.11583,15.489869,21.544767,-11.461429,-6.2836275,-12.83527,-3.5530355,-13.266901,-3.0107422,-9.136977,-1.3346974,-12.602879,-7.152475,-11.290185,-11.827899,-11.349127,-3.1413767,-9.5558,-4.562402,FAKE
0.5484334,0.008747882,5665.103885954115,2570.9310370909307,8344.850297407671,0.5099764737215909,-339.32077,-12.425232,22.859137,-9.2820425,-24.117113,8.381488,-30.328175,4.165587,-11.679503,9.286275,-1.4241496,1.4299865,-2.0096588,0.10701584,-9.100314,-0.16200668,-6.3623915,-2.7948692,-10.016043,1.1927048,FAKE
