chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.2704781,0.06384613,1781.8101513113556,2250.461015316948,3286.9945179332385,0.05894886363636364,-240.18774,103.83713,-27.065666,-0.8657627,5.398607,-1.6516398,-20.206049,-15.147504,-11.612397,-18.708221,5.7210755,-7.3853703,-0.32206914,-4.661885,-3.518616,-4.6117725,-13.984629,-5.0864096,-14.021537,-0.75296247,FAKE
0.49694592,0.0044678045,2661.8810986525386,2622.4863339154103,5524.490079012784,0.1195068359375,-383.241,85.92493,-5.7421412,15.758642,3.1778183,9.09352,-4.997697,-6.7447066,-7.562204,1.6903679,-6.4113054,-1.4481989,-6.185325,-1.4729584,-7.205904,-3.6101182,-7.7437043,-2.9632185,-7.091271,-5.0429215,FAKE
0.3760021,0.046184383,2097.183187713972,2500.8354889027432,4368.548583984375,0.08592640269886363,-279.51913,100.13589,-6.316287,5.1266265,25.358717,-2.2442808,-18.438078,-8.749631,-12.9609375,-11.500839,-6.8567457,-6.848225,-13.282098,1.6959618,-6.466356,-4.614628,-8.278037,-6.8384414,-8.573009,-2.8946702,FAKE
0.34794962,0.040066406,2619.9637409457023,2727.2605607704313,5184.608043323864,0.10706676136363637,-255.03687,73.93396,8.20603,24.479633,24.776207,-7.8792644,-17.776392,-10.155053,-9.207574,-14.623853,0.41337883,-11.719051,-11.914257,-1.9564738,-3.4582832,-1.719122,-11.151536,-4.3451414,-9.884849,-7.0662518,FAKE
0.4280726,0.041242152,2365.2626774266387,2494.2679516262983,4594.402521306818,0.127685546875,-300.27515,93.9013,-12.444662,8.058785,15.31395,-5.7803984,-11.942367,-10.89713,-11.247062,-11.671882,4.241838,-3.8078654,-5.0961647,5.067143,1.7513015,2.3928015,-10.430974,-7.6383786,-9.306905,-3.7033613,FAKE
0.39251634,0.046710238,3180.907922900446,2587.6532849631144,5681.829279119318,0.18397105823863635,-234.14018,46.22768,12.01968,31.002409,14.57009,-5.7839985,-8.446738,-8.512595,-13.407281,-16.396568,-0.996676,-9.208076,-3.4194937,-1.4530969,-4.1769567,0.79946804,-10.326006,-5.1651173,-10.69057,-7.688365,FAKE
0.38461852,0.038750496,3030.895484085991,2635.406135536948,5639.741654829545,0.16281960227272727,-253.29906,54.64823,16.422953,28.069849,13.618256,0.6945232,-10.618609,-6.156143,-13.069505,-13.978269,-1.8773648,-9.409993,-6.7498684,-4.6126533,-7.1058226,2.2853014,-10.025986,-7.6200457,-9.939821,-3.4276915,FAKE
0.45656773,0.03650207,3719.2495783588356,2624.50333910009,6503.76143022017,0.24301979758522727,-266.3406,26.536047,25.350903,32.36554,5.2359405,1.5213498,-3.8604913,-7.950798,-10.747046,-13.515793,-3.7496004,-12.203698,-1.3740175,-3.8789504,-3.8296676,2.525931,-12.548752,-6.4689455,-8.442953,-3.9274561,FAKE
0.5266625,0.021081464,2590.0683045062924,2328.8961273238697,4514.876487038352,0.1545743075284091,-343.71008,83.00972,11.133185,19.328592,3.5773118,0.07238581,-7.138435,-4.1334815,-8.182353,-7.808171,3.3199782,-11.108591,-0.4350546,-1.9636321,-4.4614387,-2.6758327,-6.5174503,-5.295045,-5.588961,-3.481243,FAKE
0.59079176,0.0079087205,5088.51658203366,2784.634998538493,8548.681640625,0.4290216619318182,-334.07782,0.20463328,19.136358,10.266051,-23.26027,6.557053,-10.441665,-10.495157,4.1587505,3.520662,4.5548196,-2.4329576,5.7555695,-4.287242,-4.3906703,3.1203024,-7.729689,0.6587274,-6.6299667,1.0914626,FAKE
