chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.4643591,0.028049761,1921.811007376926,2198.6210841867546,3701.7533735795455,0.09202991832386363,-272.35754,114.4362,15.377616,17.275513,-14.049838,-5.8781185,-17.173378,-0.45864078,-7.663142,4.5789523,-0.06409181,-0.59862125,-2.834469,6.336789,-5.364661,2.2159622,-5.9577894,-3.5658927,-4.5619893,-3.0688567,FAKE
0.5150947,0.047049973,2252.7722908168903,2385.57526342014,4491.630415482955,0.11406915838068182,-168.2394,101.64741,-16.849333,9.870655,-1.1168666,-14.443963,-21.2413,-4.741287,-6.4973707,5.884764,-1.9064441,2.789709,-6.697387,4.189431,-8.073423,4.2917843,-6.1343594,-4.420048,-2.8438182,-7.394946,FAKE
0.3120553,0.06263433,2062.41055008554,2208.070312800775,3670.6770463423295,0.10138494318181818,-277.67166,98.90603,13.746206,10.88343,-6.7815933,-1.4578208,-6.7315936,-2.6046603,-10.267004,-2.4844785,-0.34171858,8.30905,-1.9968072,-0.7123754,-3.6264384,1.6108776,-2.480869,-2.5886602,-9.0621195,-0.18672167,FAKE
0.4040296,0.03754885,2347.052885831763,2425.9375773551674,4744.890247691761,0.12913929332386365,-301.033,97.01982,-7.852653,-2.339571,-10.994839,-4.893157,-15.101078,-6.692201,-6.9010253,-0.14106664,0.10294556,1.4911286,-8.792014,-3.6520379,-5.957942,-1.9143795,-4.988484,-1.8096763,-0.7305097,-0.7018376,FAKE
0.4043289,0.073873945,1852.7461483399843,2140.7820897925913,3584.054842862216,0.08632590553977272,-241.64917,113.14957,0.61750203,9.835135,-1.4997789,-5.134006,-18.624886,-15.366505,-16.585815,-5.3864436,-8.6663,-2.7786398,-7.921388,-7.2290173,-6.593066,-3.3756387,-10.267154,-5.1934958,-7.2029524,-1.5040828,FAKE
0.38954622,0.06357014,2479.341330276519,2258.2640908279445,4430.45654296875,0.12140447443181818,-273.73416,85.01228,19.673687,22.261555,-4.396246,2.8399086,-8.580375,-10.077466,-17.21024,-8.22653,-9.205893,2.4070718,-7.1078587,-1.0043737,-9.407527,-0.68663955,-7.6521072,-3.6015246,-5.5875144,1.7602572,FAKE
0.43836507,0.051811017,2535.481111253998,2461.6014259446206,4837.874533913352,0.1568270596590909,-279.13113,77.288635,24.957129,35.39745,5.1876507,5.1932673,-14.697372,-6.686801,-11.190823,-0.47031814,-12.017651,-2.5614545,-4.896095,-4.688771,-8.146148,0.4222061,-8.503475,-5.634464,-6.0556197,-2.0552568,FAKE
0.48258817,0.028387625,2111.918339362394,2594.8171627814686,4665.119517933239,0.07821377840909091,-327.20627,99.17961,15.07833,14.838624,9.643309,4.1941266,-1.4065539,5.6533647,0.63202006,2.1946566,-8.461869,-2.7489765,-3.523965,4.258283,-0.26359203,3.6597984,-4.5207906,-2.4546006,-6.6594515,-1.6175098,FAKE
0.45527187,0.057899237,2293.9260845834715,2324.521482381337,4268.22343306108,0.14042524857954544,-273.14236,101.53508,5.074731,11.236861,8.772571,-1.815043,-17.931086,-19.577324,-10.90075,1.162325,-14.001362,-0.5938253,-2.5761614,0.055944778,-4.6980176,1.4547455,-8.287995,-3.8926356,-5.5202103,-0.44830057,FAKE
0.4115622,0.056304574,2436.3080005800125,2295.7010979416486,4134.375,0.15081232244318182,-226.13605,90.813965,7.654043,22.45902,8.231818,-11.4756,-14.394225,-6.903043,-8.634445,0.012281526,-12.17018,-1.2094082,-6.930641,-0.41605434,-7.6362944,-1.236142,-7.3006396,-1.6698574,-5.8777943,-0.84548837,FAKE
0.46708706,0.039705113,2611.035516705995,2338.418459062604,4608.10546875,0.15874689275568182,-253.16743,72.254776,3.7121284,32.966587,18.704538,7.8163686,-18.466164,-12.425347,-11.686669,-0.9448986,-9.967593,-1.2396368,-4.8345704,-0.049865223,-10.986952,-2.6522827,-9.503038,-4.2399526,-8.429257,-1.0107943,FAKE
0.47626987,0.023218405,1902.3644237084673,2101.4903647197625,3693.4337269176135,0.09378329190340909,-328.2102,117.04844,-14.075616,18.033663,8.139329,0.38244313,-6.439365,3.9899468,-2.2977479,3.8952682,6.849123,6.817039,-2.0221713,-5.9996142,-6.553198,3.7381792,-1.7437599,-1.8669723,-2.6625838,-3.8330038,FAKE
0.47292292,0.027308416,1587.6935165590533,1800.8171567612296,2988.2213245738635,0.07070090553977272,-287.8595,148.54947,-16.126047,21.327957,7.317915,-9.321246,-7.055071,-6.190314,-6.34346,0.58720726,-1.9245834,1.5796918,-2.5232134,-5.228791,-6.819548,2.73331,-6.347254,-0.9849525,0.38125765,-0.5890952,FAKE
0.39023447,0.05045181,1905.0544999875615,2227.8655254308683,3453.8768421519885,0.0902099609375,-252.73682,117.46521,-2.591058,-0.6714146,0.6007793,-7.4724584,-15.093194,-8.02424,-8.783945,-0.16215347,4.027922,2.8426793,-9.124196,-2.1679494,-6.3743086,0.97363496,-10.32318,-5.6266627,-4.663754,1.3961178,FAKE
0.42738545,0.05314767,2848.725625600231,2290.1627204774736,4804.595947265625,0.17747913707386365,-225.30014,69.84301,4.004031,18.122126,-7.911447,0.21154985,-12.370831,-9.314315,-12.096969,-6.032097,-2.0828054,2.096757,-6.4090395,-2.748138,-9.500649,1.0380273,-8.102291,-7.430646,-5.354694,-0.20221287,FAKE
0.45904967,0.026879597,2623.455147769551,2603.9465058683127,5341.213156960227,0.14127974076704544,-341.31778,90.208916,-1.2764503,11.010744,15.982609,1.5256344,-12.029316,-10.26479,-9.857873,0.810591,-1.0929481,0.8804682,-5.3886175,1.1423929,-3.2272704,1.6092881,-6.992424,-2.3165753,-5.8583302,-1.9867266,FAKE
0.46372938,0.06042478,2274.5457824935406,2186.2713370706947,3944.9806906960225,0.13324529474431818,-218.25107,98.114716,-18.710402,0.94379824,-0.7151714,-1.2629526,-8.191085,-5.220065,-6.8936214,1.4089122,-5.2396193,-0.106861025,-7.1141863,-10.010655,-9.037049,-1.4479618,-2.9442403,-3.8780928,-4.62548,-1.1887398,FAKE
0.41781124,0.06322703,1967.1575475845202,2135.454285937152,3508.688631924716,0.09257368607954546,-221.13072,100.415184,-9.387893,36.630302,19.302391,-6.6622252,-17.303408,-9.07039,-8.679032,-3.1803398,-9.426335,-0.93659663,-5.4958606,-7.598018,-11.760708,-1.4856824,-6.9444766,-3.3233566,-10.321857,1.035168,FAKE
0.43158922,0.048181914,2798.1976320061626,2336.8454119460926,4930.858820134943,0.1586581143465909,-257.9664,65.97058,11.359221,29.80689,6.940026,10.765236,-17.707306,-10.361804,-5.4586315,-3.9228666,-10.464721,-0.14855586,-4.982828,-2.8785095,-9.945858,0.27755764,-3.8760064,-0.93487793,-5.006056,0.35126373,FAKE
0.4276996,0.033086482,2007.5379584950308,2292.9967885522983,3899.4673295454545,0.09665749289772728,-294.52722,108.35022,-10.013317,16.071245,14.668387,-0.62512153,-10.413696,-5.0772395,-0.31771338,7.2985616,3.5725448,0.9175209,-4.2509403,-6.798231,-5.43685,1.7724811,-9.713808,-3.6046178,-1.4952455,0.4960184,FAKE
0.39515907,0.046793237,2219.8376081922647,2298.3799455083968,4029.8900257457385,0.11199396306818182,-257.6231,94.19282,9.953956,28.240211,16.261822,0.5608097,-15.035568,-9.838014,-5.039133,2.3418548,-7.4919176,-7.069951,-8.4839735,-3.9627762,-7.107311,2.9480345,-7.119002,-1.5822622,-2.5305324,1.1100833,FAKE
0.4699448,0.03008017,3099.3310837430963,2559.008671035579,5730.523681640625,0.18913130326704544,-298.703,64.84223,17.352787,12.489717,-10.994241,10.606802,-5.676402,2.4902842,-3.293284,2.5921128,8.510864,4.7431226,-5.2961545,1.7693158,-8.675853,0.15724,-6.6756763,-5.1107807,-4.237779,0.761887,FAKE
0.36864987,0.03317246,1991.2845509829451,2326.8925050930834,3790.8225319602275,0.09229625355113637,-289.00174,117.434494,-1.0305227,-2.017947,3.7158952,-2.2228289,-11.29672,-7.3971715,-7.516268,3.8720777,5.915032,4.2086825,-7.8559265,-4.604738,-9.932645,-0.90243906,-9.946777,-4.550689,-5.1008863,3.72058,FAKE
0.4563564,0.05996342,2229.809973602764,2178.196336929653,3799.386874112216,0.14033647017045456,-236.09991,114.72181,8.7066,-7.580818,-6.5692124,-2.911119,-5.616283,0.43130124,-8.364843,-6.7970047,-3.1796362,3.488569,-6.6064024,-6.390582,-6.6659975,-0.5482261,-7.9573913,-4.7135863,-5.6158986,0.82419324,FAKE
0.45843485,0.03427076,1964.477424391591,2241.155382697431,3468.069180575284,0.09855513139204546,-257.80466,117.00603,1.6037627,7.5922313,17.122246,2.6496751,-11.192041,-7.2768297,-7.336395,-1.5745121,5.036036,4.020816,-7.0475254,-5.2028933,-9.90797,4.2240877,-6.451105,-6.2638264,-5.266809,4.0113683,FAKE
0.4470705,0.014423021,2606.020892083135,2357.6169755934975,5093.581321022727,0.14972478693181818,-330.0536,75.60254,-25.761065,27.80512,10.610703,-1.5022285,-19.001913,2.1569717,0.39581993,6.636171,2.024169,0.5368433,0.66432184,-2.2575154,-5.477952,5.224965,-1.4560186,-0.17176983,-2.7494345,-4.32232,FAKE
0.5044088,0.024007626,2670.5582349517867,2530.329473165117,5422.207364169034,0.11884099786931818,-328.78732,69.948906,7.1472015,30.352167,2.569544,12.511369,-6.2239223,0.6353313,-1.1814061,5.122514,3.4548378,4.4480906,-1.9472218,-2.2355912,-5.259147,3.0548658,-2.6267624,-0.07059013,-3.555448,-2.1060753,FAKE
0.41249776,0.051592454,1889.5196226772505,2629.929501790863,4416.508900035511,0.07060102982954546,-318.26828,113.87456,32.54283,9.844872,0.22388807,-12.040028,-2.7865188,-4.8966084,-11.524364,-9.394573,-15.573074,0.19283548,-5.952876,-4.179741,-6.971129,1.5771842,-5.9860234,0.4526867,-8.361951,2.924118,FAKE
0.38884348,0.080938056,2377.620595162947,2151.554817295892,3815.536776455966,0.1473388671875,-266.64114,83.57965,21.69797,15.999106,-9.075028,-10.721333,-16.393211,-17.72842,-11.9689455,2.4853666,-19.634771,-5.462722,-9.64674,-7.113823,-10.86976,0.7152994,-8.79865,-0.91653544,-7.2961407,1.4385031,FAKE
0.3767695,0.094189025,1732.9272268499537,1923.9069266641948,2947.112482244318,0.08852317116477272,-181.57245,123.48442,-32.28139,1.243959,8.170015,-14.647897,-11.576379,-14.66855,-4.2495046,8.959518,-10.49,-3.930976,-6.3103333,-16.592463,-10.8469,-2.6179972,-14.400598,-3.374772,-3.3116295,-0.90817416,FAKE
0.54673886,0.028618932,2611.632979833375,2486.080589222042,5138.605291193182,0.15010209517045456,-349.78714,88.33621,-5.84858,9.845131,4.368755,-1.0305997,-14.4902315,-8.562879,-8.2983265,2.8988264,1.0939007,-0.9151152,-5.7882867,-1.8023381,-3.6646905,-0.16028333,-5.029981,0.596204,-0.57805127,0.20960854,FAKE
