chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.42328304,0.023170752,1109.3541905816226,1280.8447561823787,1857.7281605113637,0.06541859019886363,-368.37335,180.17352,8.034666,22.769587,-21.411753,-9.674956,-16.466211,5.093691,-6.4696226,2.9464386,4.7212224,-2.8493445,0.84257054,4.5820436,-2.0398362,-5.380493,-2.3645484,-7.743825,-2.2736995,-5.438856,FAKE
0.4347487,0.03662597,1132.0561736109496,1375.8256104858872,2048.590642755682,0.05533114346590909,-284.09387,170.94354,-20.478636,26.988983,-21.582731,-19.89264,-23.782347,-0.778212,-6.183394,1.5525523,-4.7927647,1.2424393,0.1789663,-0.0076114046,4.802621,3.3272088,-8.853394,-13.449248,0.33583668,-9.244553,FAKE
0.2894358,0.030917691,1535.50605584602,1487.961656607928,2360.0880015980115,0.09604714133522728,-395.0454,132.63426,12.800366,16.778582,-16.128399,5.5959706,-9.067575,6.1732326,-3.5497322,-2.2433453,7.7336,7.0655107,2.472122,5.0824986,4.5483217,6.3921056,-3.4479842,-10.10197,-3.8148043,-9.744336,FAKE
0.40275156,0.016257614,1639.7733322869042,1908.0972143889471,3191.5632768110795,0.08351828835227272,-438.45065,119.5315,-12.663104,6.3638244,-9.417533,4.24218,-12.838467,3.6975482,-5.0279255,4.313715,11.318238,-1.3632451,-4.277511,-6.396173,1.8387046,-2.096023,-9.8043375,-0.8477718,-6.211199,-8.8330965,FAKE
0.3699138,0.02692833,1632.6478531386047,1796.0845996538396,3014.403742009943,0.08231977982954546,-362.93335,118.54868,-9.7784815,27.015669,-2.281009,5.337344,-21.999474,-4.6602535,-15.198377,-0.11756441,-1.1165999,-7.8959002,-5.587509,-7.385878,-0.011332377,-4.184313,-11.016615,-2.3450232,-9.167493,-8.02071,FAKE
0.40565464,0.0212173,2094.09252684496,1862.7863714666134,3640.579501065341,0.10921963778409091,-415.7242,103.599655,17.955742,34.03736,-5.5435886,16.562925,-12.408249,2.3234227,-17.11959,-6.4125185,-4.078433,-4.786796,-2.979252,-5.0316916,2.5024626,-0.6137003,-8.155381,-2.5482557,-3.862435,-8.788329,FAKE
0.35055587,0.022177989,1870.3827840996985,1933.1836428823824,3400.0438343394885,0.08897816051136363,-409.07343,104.40315,13.092912,44.646446,-0.16497585,7.1417346,-9.776056,3.6616323,-6.813597,-2.0665553,-6.4560137,-4.0071125,0.80171436,-2.6009758,3.904,0.8580074,-10.598771,-2.3702278,-7.9240565,-12.849392,FAKE
0.4346657,0.018767096,1038.0378352266798,1505.0944908734657,1921.83837890625,0.038374467329545456,-439.68,145.30003,2.6445704,26.524714,1.5002213,13.8022585,11.444117,17.510073,3.8467362,0.7574898,-4.3861704,-7.8529134,-1.6169909,2.6239657,6.7018785,3.029033,-1.1418277,-7.6027284,-9.516563,-8.033758,FAKE
0.3804238,0.025207674,1681.337683448389,1835.9964495745526,3203.7980513139205,0.09493741122159091,-395.95618,120.67685,-2.5498843,22.712212,5.0759363,10.117927,-20.666279,-3.718477,-6.331047,-1.7329043,-3.062314,-3.893074,0.5422123,-0.7035256,4.383378,0.23050898,-9.669312,0.56478006,-5.417362,-8.429751,FAKE
0.37640485,0.028157646,1787.4447980177536,1733.7723244973276,3159.99755859375,0.10112970525568182,-342.19827,118.34158,-3.436622,38.60763,1.3403069,6.566595,-17.885954,4.826664,-10.123373,-2.09161,-6.918014,-6.127205,2.0251532,-5.5426135,0.96825224,4.905061,-5.4564676,-1.3910455,-1.0072434,-3.036783,FAKE
0.40970683,0.020697638,1896.598018556571,1734.3489623727985,3204.287442294034,0.1114501953125,-373.9427,108.516205,4.1229215,46.799488,11.944925,16.031427,-17.64879,-1.1712964,-11.927658,0.33372778,-7.0576854,-4.3576856,-1.3980737,-1.3745626,-0.73056436,-3.5178683,-4.6090236,-1.6103928,-6.2460494,-4.434974,FAKE
0.4463675,0.015668873,1285.0687176158349,1617.787106566096,2390.6749378551135,0.04933860085227273,-413.55576,153.42299,-20.25366,22.911058,5.4204364,11.587627,-3.3338387,11.480062,-2.696557,5.091666,12.032126,2.2063255,4.4648395,0.9076434,-7.466905,0.6843583,-3.6993186,-9.470041,-0.56085986,-10.369738,FAKE
0.4975868,0.018435711,947.0356841016659,1162.40869955435,1761.807528409091,0.045609907670454544,-358.49512,197.57515,-33.834244,28.204185,5.455745,-5.898416,-1.7157615,-6.8239727,-2.6254098,-1.822275,3.0933962,5.0102725,-2.2147627,0.64772755,-5.0500336,-1.5695357,-5.906799,-9.389664,1.0346261,-6.681474,FAKE
0.3558772,0.02783748,1221.6260328357835,1571.622055173532,2173.385342684659,0.056096857244318184,-366.41663,156.01952,-2.0999115,9.698978,-6.280269,10.129894,-18.597008,1.9297447,-7.6754456,-1.6012516,9.426965,-0.55146474,-2.921604,-1.8916312,1.0905766,-0.50592273,-8.786535,-4.688689,-5.618486,-7.859262,FAKE
0.42026758,0.022682814,2527.710573574427,1944.8290519237232,4284.862726384943,0.16229802911931818,-337.6611,90.09758,-5.1523533,27.407648,-17.123146,12.525639,-10.908555,-1.0736474,-12.681901,1.9566728,-0.4203695,0.8178416,-5.6004577,-1.1845386,3.6677191,-2.414298,-4.419366,-1.7557743,-7.3653536,-6.3506055,FAKE
0.38212076,0.014450013,1707.3780772254925,1858.084626906854,3279.653653231534,0.08250843394886363,-446.60196,112.206764,-15.310143,31.366951,16.69417,0.5208482,-9.003788,3.2612867,-1.9006093,1.3953036,4.220012,-0.61264807,-2.2750022,-1.7281547,3.3307867,2.8786345,-4.394295,-8.951754,-6.736059,-8.722125,FAKE
0.47885567,0.02540095,1850.926782567222,1768.217330973799,3250.5348899147725,0.10933061079545454,-340.908,121.46274,-25.10855,17.965921,-1.9371121,13.479282,-13.303784,2.2756472,-5.1448827,-2.2032862,2.0559535,2.696798,-4.785738,-2.5881104,-3.6244142,-1.1364566,-4.0875516,-6.9779954,-5.654965,-5.6966276,FAKE
0.42673782,0.027615922,1593.2437597349258,1704.523049449275,2850.702459161932,0.08106578480113637,-336.35056,120.173454,-16.18911,51.279186,18.890408,-0.08129731,-14.698749,4.550614,-11.368862,-5.7048993,-8.803394,-4.657216,-3.9299407,-7.653299,-5.7941875,-1.5423421,-4.6320043,-6.409764,-9.100284,-3.1768165,FAKE
0.4554533,0.022362713,2328.9693386103686,1963.9034200294989,3935.9269575639205,0.14162375710227273,-379.20544,83.85162,13.141946,35.797253,7.0667095,20.132698,-13.244857,1.1191586,-4.7391286,-5.5147448,-6.675316,0.2643874,-5.747553,-5.552749,1.6708995,-0.8935738,-10.152703,1.9638349,-4.1772356,-6.893837,FAKE
0.41736647,0.017133497,1344.2294127230357,1700.535147469656,2520.3635475852275,0.05115855823863636,-403.99774,139.26431,-10.28838,26.606218,11.22203,10.694917,-14.643868,9.148337,2.1662073,9.567486,11.696521,-2.0899732,-3.8086004,-1.4762642,2.271062,1.1763812,-8.72705,-9.114484,-5.7407947,-9.857731,FAKE
