chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.37806422,0.027501553,1693.5213941319146,1815.0681507227675,2698.9912553267045,0.08814586292613637,-321.7996,126.27519,25.829662,28.798424,-30.210035,-18.00297,-15.142136,7.426269,-1.1104724,2.7385726,1.0144156,1.7662059,4.383946,7.550694,-3.9582543,-5.995423,-6.4152036,0.054375563,-6.830792,-5.1956983,FAKE
0.4328562,0.03643444,1758.1251606265503,2143.787167532178,3943.267822265625,0.06829279119318182,-247.9691,116.21672,11.17718,32.406387,-32.69327,-16.990807,-24.91169,-4.4202404,-4.1835938,1.8696396,1.2108474,-5.5831423,-3.69495,12.66297,4.241429,-7.856979,-6.128635,-3.6997812,-10.906678,-0.5964484,FAKE
0.3084746,0.03295106,2441.2389084836545,2202.959522037415,4229.561545632102,0.12315784801136363,-334.0307,79.86366,18.781898,14.199762,-18.805412,-9.154219,-2.1533918,4.1474576,-5.4280767,17.387932,8.536004,5.3679795,-3.6280982,3.1244829,5.604301,-2.0304434,-5.774572,-1.0911938,-12.172827,-5.635029,FAKE
0.42531654,0.013705447,3372.8025787997103,2738.266925088463,6600.171453302557,0.234130859375,-369.63528,53.232365,-12.407816,2.2104158,-12.686582,-6.9317417,-9.053204,8.426904,-5.5452952,11.894079,-6.771307,-4.846251,-11.384236,-1.9738529,-1.8577123,-10.448626,-7.882701,-4.2057595,-14.320797,-4.61568,FAKE
0.38381433,0.026109891,2737.8885484002612,2437.7310735964797,5193.417080965909,0.15261008522727273,-307.95837,66.27781,-1.7527275,23.814312,-15.829906,-14.19682,-16.548138,-3.48627,-11.433032,3.5467196,-11.316017,-6.5823474,-14.643469,-7.2827563,-7.1182284,-13.593943,-12.247733,-6.04808,-11.483707,-8.389504,FAKE
0.40739638,0.022447951,3610.5643061231513,2530.522685793176,6265.672718394886,0.19788707386363635,-348.09506,38.803955,27.987816,30.55191,-6.9549623,-3.5912278,-10.984885,-7.6549487,-12.91037,3.5043006,-2.480109,1.9378281,-6.5992665,-1.0098125,-2.8387036,-10.802041,-6.20681,-4.882473,-10.584157,-6.0804014,FAKE
0.33313778,0.022760093,3367.3882305884076,2542.4491206293624,6051.56416459517,0.20029518821022727,-351.94717,40.214386,26.772795,40.106415,-8.367789,-8.07451,-11.111978,2.1463423,-10.075207,-2.6203291,-7.0392094,1.9313264,-8.436087,-4.0500298,-3.6805892,-10.106126,-10.753183,-1.9442223,-13.4096985,-6.946649,FAKE
0.44510102,0.018108638,1993.5080247081066,2466.5680606762708,4429.72245649858,0.06980202414772728,-393.65146,91.026665,15.973273,21.497755,-4.7943096,2.3467824,9.670511,21.346754,3.8864126,2.9729025,-5.091452,0.678786,-5.0927567,5.0896707,4.7614846,-1.0327519,-7.8520737,-3.039229,-13.679795,-7.381032,FAKE
0.4399066,0.021975381,3275.229215442672,2649.1752911392787,6169.2626953125,0.2162198153409091,-337.90677,58.866016,8.807849,16.39486,-9.778061,-22.424505,-23.368877,-1.1773138,-11.004811,4.5369534,-10.405099,4.9863276,-8.2449045,-2.7076225,-3.4235642,-15.961157,-9.7786875,-4.2839084,-12.0627985,-6.3007336,FAKE
0.39157245,0.02677719,2922.682641206309,2257.203202481636,5109.975918856534,0.1889981356534091,-295.98367,55.9525,7.214744,36.420387,-19.390915,-15.209326,-17.885118,-7.552962,-12.236617,-7.9276166,-10.64766,-1.3035603,-7.0846405,-7.138251,-4.7784033,-5.4734554,-11.425898,-1.9570584,-9.898531,-5.241886,FAKE
0.3798976,0.024043314,3041.3462650681486,2213.33634789224,5108.75244140625,0.19643332741477273,-317.8981,48.24261,14.707447,41.79221,-2.6093256,-6.405144,-26.463316,-9.429638,-9.981469,-8.581966,-9.144477,-1.892353,-4.0472417,-5.091859,-9.929971,-8.111822,-14.540326,-4.398935,-13.669894,-6.7352724,FAKE
0.43144345,0.016314223,2108.9734425789943,2188.564663645929,4226.135808771307,0.09386097301136363,-368.65417,99.60173,-12.778228,29.857634,5.377699,-1.6821221,5.0750656,11.620674,-1.8223405,7.056579,4.043854,5.1620865,-3.148638,-1.336172,-5.229324,-2.3822863,-8.506999,0.24441546,-9.107169,-3.0572755,FAKE
0.5000281,0.018191563,1457.5458107426844,1711.8342309902034,2832.5949928977275,0.062744140625,-322.82672,153.60353,-19.295067,23.162342,-1.4165874,-12.687862,2.5582163,-1.4917182,-4.839594,2.1276007,-5.1384406,6.5315967,-9.163104,-6.1756916,-3.87527,-5.210619,-6.427791,-1.1047285,-5.9830794,-0.4570915,FAKE
0.3450737,0.024078978,2489.094757398001,2316.146544044992,4722.867653586648,0.1294278231534091,-300.17337,90.32414,-9.623427,8.955835,-15.838892,-17.867409,-15.940431,7.8852005,-8.913337,10.785507,-5.946398,-1.7470753,-11.881959,-7.4125047,0.46370503,-12.9590845,-7.5793076,1.2617713,-9.867415,-5.856738,FAKE
0.42057776,0.023705453,3905.15549140618,2324.591214617351,6286.716530539773,0.2709295099431818,-298.88586,24.195824,12.224128,16.583483,-25.466438,-4.024487,-21.277956,-6.585108,-12.755034,0.057144966,-4.3321004,-4.897988,-8.070346,-2.6007102,-6.290425,-7.6203694,-10.378452,-6.2804856,-14.053299,-6.1340375,FAKE
0.39126796,0.0138164675,2917.6284966200624,2544.1050661112436,5600.590376420455,0.1532870205965909,-404.74512,61.783504,-9.96426,25.932093,0.35281196,-17.95467,-17.115067,-0.55668366,-4.2277527,4.053715,-3.0808809,5.1602216,-5.9269423,-4.4342647,-1.0106826,-7.8174253,-13.88522,-6.934852,-13.697363,-7.5941577,FAKE
0.46767575,0.023563726,3093.4247876384584,2310.1058365902413,5420.24980024858,0.1990633877840909,-304.77768,54.239384,-20.115221,17.13932,-5.120974,-4.2601657,-13.376041,0.6158598,-9.757635,-1.7450519,-10.33998,-3.6571035,-12.600732,-9.192667,-6.931931,-8.951324,-14.526361,-3.3681948,-9.796596,-3.66799,FAKE
0.41767928,0.025454808,2967.6804660736216,2266.8371818076835,5000.35233931108,0.16782448508522727,-284.95154,47.70427,-0.8165451,56.449234,-6.629343,-18.287895,-15.746015,-2.785494,-12.968647,-7.6502028,-10.967175,-0.8028122,-14.081219,-6.585742,-7.3386292,-14.600592,-13.167782,-5.9012666,-12.407941,-4.5222073,FAKE
0.47145697,0.023086624,3822.9720973925887,2522.8668461899792,6486.632745916193,0.2148770419034091,-336.75992,25.34043,29.594374,36.286354,2.2597277,-3.9057877,-18.925938,2.96509,-11.660822,-4.6006594,-5.2335224,0.6318713,-8.43415,-5.8792796,-4.1432223,-11.420728,-10.849385,1.3844233,-10.535847,-1.2281699,FAKE
