chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.3230093,0.08497574,2319.9958623510242,2111.6611590972343,4327.684437144886,0.12005060369318182,-259.21777,78.55645,-28.437014,2.343593,-28.754114,-11.851504,-8.659046,-13.562668,-17.624775,10.981771,-15.564391,-5.626209,-9.4118395,-11.343762,-10.596206,-17.319012,-13.092068,-5.5392294,-7.3637905,-1.5014752,FAKE
0.4231755,0.003971901,1698.5462807781712,1767.665113716851,3107.1433327414775,0.087890625,-509.25986,125.23401,-40.211132,22.305658,3.1001284,-4.2136035,-0.15971649,0.22470947,-5.648783,8.547337,-5.5880785,-0.30571517,-1.9831699,-4.219698,-3.5608263,-5.1667438,-5.7445054,-4.140846,-2.2871826,-0.6044808,FAKE
0.43237737,0.03909528,1959.1958726648102,1719.6022398301445,2952.0063920454545,0.12959428267045456,-454.82703,48.612404,-18.004944,-0.6345282,12.820978,-3.3781707,-6.22255,2.723364,6.8137608,10.625933,4.1126423,3.1256464,-3.0016851,-0.26615763,2.8988502,-3.4238143,-5.1403666,-0.40873888,1.1658771,1.589706,FAKE
0.2691178,0.117455095,1548.276334770357,1621.9846545130267,2581.292724609375,0.06582919034090909,-276.99222,94.852295,-12.124289,0.08742345,-2.5408132,-16.610958,-19.203981,-18.003792,-16.09305,-1.336135,-16.03934,-5.065087,-14.289591,-17.176582,-8.580988,-18.582733,-15.325979,-3.136351,-9.455655,-5.202446,FAKE
0.19617127,0.17318341,1780.4438505907192,1929.7384802655054,3402.7354847301135,0.07594992897727272,-204.80028,88.51651,-28.67636,20.34905,1.1743697,-42.063564,-24.380432,-12.229395,-21.568285,0.42600372,-22.78153,-2.3294606,-10.107014,-22.268768,-8.958087,-20.36959,-13.021211,1.593888,-12.371037,-5.2956576,FAKE
0.29561785,0.09143748,1354.7368829654688,1567.2859949965334,2224.2820046164775,0.0701904296875,-269.8793,130.98082,-24.94679,-5.897893,-2.014392,-19.913063,-18.215067,-26.40266,-15.201058,5.959195,-16.161701,-4.9776125,-6.5681233,-18.469328,-9.401492,-18.921076,-16.6052,-1.7319576,-7.7713428,-7.3906856,FAKE
0.27479583,0.12924166,1390.5092657760886,1645.357409755355,2333.905584161932,0.05662952769886364,-234.67471,120.50121,-31.6148,-3.844317,-13.145898,-23.207102,-8.107651,-14.328985,-23.849129,2.405965,-17.604607,-1.5757141,-9.484109,-21.568941,-6.826385,-20.139397,-18.67296,-4.090038,-12.887478,-3.6781569,FAKE
0.25671467,0.08790429,1238.3348119465284,1559.0979935931005,2162.1293501420455,0.04769620028409091,-299.95438,132.2631,-13.941092,2.5259213,-2.205597,-29.27881,-10.829975,-9.715424,-20.986605,-2.7677474,-15.327497,-6.8822994,-10.256397,-20.905464,-6.9654765,-18.189524,-16.720436,-7.0241795,-9.597813,-7.1112523,FAKE
0.28210092,0.077519044,1515.2913642447493,1777.6327113102207,2787.5710227272725,0.05759499289772727,-294.24435,112.74797,-11.627059,24.249983,1.7442948,-26.410118,-21.033907,-13.7357,-16.445553,-0.62533647,-23.297863,-9.80573,-10.845379,-16.308971,-8.315208,-20.645903,-11.113784,-3.8017488,-10.968042,-4.266585,FAKE
0.24242058,0.07877744,1889.3844419070826,1993.6180204677592,3684.3799937855115,0.08174272017045454,-285.0924,108.43442,-6.2963867,11.340789,1.032756,-26.593233,-18.85002,-9.262394,-17.169209,-0.6416476,-15.770532,-6.64148,-7.589037,-12.580443,-11.393983,-22.736828,-15.806839,-4.3281956,-11.089596,0.7569931,FAKE
