chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.43497115,0.054200664,2288.5377081483603,2118.747811307327,4407.699862393466,0.12180397727272728,-261.87012,95.99856,-35.34304,20.304285,-20.219347,-7.0881424,1.3734407,-16.164452,-13.312616,2.4977198,-4.3611555,5.3283696,-2.3087547,-2.7922537,-4.648831,-4.0919375,-9.731712,-0.9494011,-0.27308092,-0.010674417,FAKE
0.5466029,0.0051114997,2062.9879805774112,2520.7774134565702,4604.190340909091,0.07127796519886363,-393.17313,108.05584,-3.8181117,13.439657,1.4054649,2.931726,5.7072043,0.54849625,-1.098281,1.3112082,1.0222849,9.9014435,-3.4683914,0.041755404,-1.1580176,3.0077896,-4.131561,-1.709224,-0.2029119,6.344119,FAKE
0.59329975,0.036666308,1892.6758655008916,2274.6013084560504,3937.884521484375,0.08062189275568182,-365.85794,117.77603,-9.874488,11.607102,8.71592,-5.9779086,2.4893136,-0.72498935,-6.208052,3.6732635,3.6684935,5.162423,1.2324462,0.61369896,0.5207353,6.8176236,-0.6668182,-5.2270703,1.3192844,5.944367,FAKE
0.31551206,0.08482481,1494.3631408848507,1795.0233408872527,2864.4054066051135,0.05447665127840909,-280.13107,131.37059,-16.75937,17.10602,8.487998,-10.205146,-4.9532824,-10.345875,-19.961845,-2.1902223,-6.9093385,3.1191657,0.53334486,-2.2255085,-3.243467,3.2292817,-4.0547442,-8.692499,-1.9604001,1.332562,FAKE
0.25039753,0.12129771,1708.997321991463,1654.8220570857848,3099.313077059659,0.06939142400568182,-211.92099,116.785736,-46.461338,31.167217,37.402046,-17.185446,-19.276798,-20.520647,-29.545643,3.0890517,-12.33034,-2.9995437,-3.4760177,0.47655913,-4.3420544,-0.7842012,-6.7763186,-6.061072,-4.6328382,2.898414,FAKE
0.3535651,0.07289575,1386.9411749110266,1736.1883189290377,2663.9998002485795,0.05831631747159091,-287.35498,152.45813,-15.142915,1.8152504,8.338981,-13.346795,-6.7141795,-14.773704,-19.816208,0.052848402,-0.45362103,0.77148134,3.0733347,1.152921,-6.8317876,-5.4157696,-1.0021279,-7.1021533,-8.730177,1.2654917,FAKE
0.28908134,0.09915988,1391.8190287170041,1624.2015925846179,2661.5528453480115,0.056207830255681816,-238.92165,141.4138,-28.738274,15.971972,8.078411,-23.278254,-6.1564274,-8.317755,-23.396608,-0.55956364,-13.690313,0.879816,3.772373,-1.5372647,-4.936034,-2.7745168,-4.7599225,-4.3793406,-2.2097719,-1.2043567,FAKE
0.2869654,0.07150573,1233.4700414017657,1600.8575858471006,2218.6540083451705,0.044855291193181816,-301.24924,144.85689,-9.673322,24.929352,10.78415,-16.107498,-8.334935,-7.126946,-21.608007,-5.9421124,-7.3284755,0.53309196,-0.73661005,-3.5632627,-4.002365,0.6734949,-5.284024,-7.117015,-1.3869249,0.46423215,FAKE
0.31843448,0.05984132,1489.0837118833992,1789.4252016801872,2935.6117942116475,0.0574951171875,-303.29434,124.23017,-15.12074,38.137333,26.64345,-12.103486,-11.905139,-16.795805,-22.95754,0.9013229,-9.450532,-3.6293983,-4.3218064,-0.19932757,-2.9376757,2.507924,-4.0483813,-5.004456,-0.7728039,-0.66942257,FAKE
0.3312823,0.062921554,1845.6912446763347,1909.6259707961124,3579.89501953125,0.09568093039772728,-278.24805,120.998344,-10.051,35.084835,10.875989,-11.293392,-10.145822,-18.490026,-16.799932,0.21756667,-4.9791875,2.1834986,-3.4917238,1.962672,-1.032448,4.9156756,-8.432496,-11.227854,0.10659406,1.196555,FAKE
0.6609629,0.0042409557,2216.393399342002,2576.246439060506,4752.965198863636,0.09568093039772728,-392.42072,99.024315,-7.7616453,18.874517,18.972343,3.8486269,-3.8638918,0.3474467,0.76789284,4.1763134,0.9837423,7.260707,-0.44131792,5.5600224,-0.45888862,5.8167653,-1.5468618,-0.07999601,2.5467658,7.8522234,FAKE
0.29318652,0.015812002,2201.8908246393494,2519.190048064483,4770.583274147727,0.09736772017045454,-390.39456,101.28889,1.5490383,13.13263,8.776977,-0.2821612,-5.037754,4.132116,10.27835,8.475518,-1.6224176,-4.2879477,-6.1079755,2.9937754,-0.2549139,3.9224901,1.3715926,1.5240997,1.8512288,-2.2643592,FAKE
0.43421188,0.05590616,2349.8494388911963,2160.501248155374,4392.7734375,0.12371271306818182,-286.0824,93.74409,-28.61448,25.225746,3.5455651,-7.7087674,-11.1331215,-14.198686,-1.5816903,9.470138,5.2295017,4.9551573,-4.910281,0.9935955,-3.1383271,-1.1654286,-9.265638,-4.6587057,4.697098,-1.308885,FAKE
