chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.31881607,0.063065216,3190.076771821248,2411.271348868044,5688.436057350852,0.17461603338068182,-258.96713,32.877308,-31.570631,-1.1170074,-52.27452,-6.316663,-4.1946344,-14.778686,-17.518578,5.935988,-5.9368715,3.4789305,-2.1864212,6.9490952,-3.4102142,-2.9419122,-6.3148685,-1.1994478,-6.6952133,-7.54984,FAKE
0.44324473,0.0027336127,1931.9696344836784,2107.661878387076,3634.7068093039775,0.09153053977272728,-482.6468,110.81697,-29.54197,10.496579,-7.220256,-6.0980744,-7.000134,2.5894778,-7.4131346,7.228148,-6.355763,8.234924,-0.64723974,3.0672426,1.9812204,4.031908,0.28518018,-0.01034357,-1.3644465,-1.6774713,FAKE
0.39976612,0.035508335,1966.5605349432692,2039.745473180981,3459.994229403409,0.11333673650568182,-412.76315,75.41115,-14.535102,-14.057099,-2.7192647,-6.060515,-11.581787,-0.34569347,-2.5419881,8.615762,3.5625618,-6.1762805,-3.7205863,0.21916023,4.04658,7.7124834,-2.9512994,-4.1286726,0.5640221,-3.6992843,FAKE
0.26218587,0.08208466,2103.432738718824,2200.220699686647,4191.389049183239,0.07725941051136363,-277.74988,73.36913,-2.222278,-10.241505,-19.306908,-4.0862727,-19.343145,-16.081522,-22.036242,-9.1550865,-13.798144,-12.342481,-7.8681397,-7.8985424,-6.499193,-0.59762955,-16.39483,-5.7966747,-4.8806276,-8.445136,FAKE
0.2046019,0.13034706,2918.4074354598756,2552.5937468838247,5626.528098366477,0.13022682883522727,-193.35597,19.357283,-20.127455,8.226064,-4.0734706,-14.068055,-35.204796,-20.276009,-23.947868,-10.873862,-24.465149,-6.7150664,-8.528792,-8.488594,-6.866808,2.392051,-16.375618,-5.0478725,-9.2919,-9.529644,FAKE
0.2895503,0.085567385,1973.7658745090905,2317.3592344100985,4258.435613458807,0.08501642400568182,-267.87488,92.92614,-9.980251,-22.997375,-21.674446,-9.573818,-29.4216,-12.756354,-27.660973,-3.6755602,-8.353064,-11.481161,1.3247322,-8.47362,-7.7412777,1.2735964,-9.829935,2.2246807,-6.4752765,0.474782,FAKE
0.24489148,0.10688272,1892.193382706999,2124.614521447001,3595.800226384943,0.07951216264204546,-234.32866,81.72981,-15.571128,-12.517154,-29.997608,-7.3301425,-20.659517,-3.5811172,-26.236958,-14.491766,-17.614508,-13.848608,-4.815388,-9.06213,-6.9147296,-2.226467,-16.567095,1.6581455,-9.252344,-6.011623,FAKE
0.24057665,0.077027746,1755.9774698866713,1986.4198284350202,3193.520840731534,0.07329767400568182,-297.41562,96.69683,-0.29908773,4.806272,-20.625029,-15.169718,-23.777338,-8.6122265,-25.172834,-14.288451,-13.571288,-10.800849,-8.369904,-11.314396,-9.531249,-4.2472477,-12.724279,2.2387373,-4.4361477,-5.876639,FAKE
0.26113364,0.07181199,2007.4644074824557,2313.2152203603173,4170.100541548295,0.07260964133522728,-293.52374,77.81009,-0.2858409,15.626845,0.912716,-6.522774,-27.809992,-16.77668,-27.15935,-12.488288,-16.55851,-16.504906,-7.8897247,-4.2562966,-6.6498065,-4.630839,-11.473196,3.8525634,-10.653819,-6.075744,FAKE
0.30774605,0.07081508,2571.8224476399255,2224.2207132195513,4365.85693359375,0.14740545099431818,-283.68283,73.15262,2.1901631,5.996655,-9.2911625,-11.691776,-25.05236,-17.574568,-23.024206,-9.087187,-12.136557,-12.742047,-7.5013685,-2.3181264,-3.681292,-6.3262315,-13.075352,4.578996,-8.314477,-5.104316,FAKE
0.44184002,0.0020391718,2556.548866962255,2484.016769845937,5469.188898259943,0.13685191761363635,-462.41367,86.05499,-15.366629,17.443747,9.539712,4.9983106,-19.79759,6.8645144,-7.4082336,4.54854,-12.26741,-4.9183526,-5.9311604,5.297037,1.150365,4.93046,-0.39261273,3.6094978,5.792959,2.5768213,FAKE
0.2242766,0.015679037,2117.1803825455754,2074.9904604987396,3647.186279296875,0.10840953480113637,-445.26843,91.17928,4.5002894,-7.497708,-5.2702613,-8.69471,-6.5751553,8.757655,9.529687,7.8220363,-0.5526274,-10.494701,-9.184307,1.2768998,1.3387039,1.9464275,1.8532723,2.4241605,-6.199292,-7.820816,FAKE
0.37872598,0.034349747,2946.4608204990427,2303.7011894720486,5223.025235262784,0.177001953125,-324.10086,51.007202,-23.03177,3.8410494,-14.985894,-14.093891,-22.613998,-11.843893,-9.107356,5.0235853,-4.6259847,-5.10249,-6.028387,0.8341034,0.0023686616,-0.9164362,-6.509027,1.4049186,-7.3508816,-7.3562574,FAKE
0.25957105,0.09645631,1938.5431298046385,2182.8378377417457,3608.5243918678975,0.07728160511363637,-245.31874,90.47515,-9.991556,-0.0022053286,-12.845416,-16.605076,-22.70279,-11.46663,-25.369421,-11.102718,-18.302986,-7.725391,-5.8500414,-9.295915,-10.754281,1.1659825,-13.637811,-3.3094368,-6.4716372,-5.5739436,FAKE
0.25719434,0.03964744,1486.1167530475034,2054.6034978062644,2955.676824396307,0.03770862926136364,-405.60654,84.17988,13.762091,26.307152,10.9931555,-5.256456,-16.092253,-8.812913,-17.441916,-8.747643,-19.885485,-11.411297,-8.459005,-8.198831,-5.783598,-3.9491966,-10.767646,-2.6976855,-7.2362537,-4.360889,FAKE
0.32999524,0.07677916,2008.246107804174,2117.506974540901,3652.569580078125,0.11240456321022728,-337.05765,80.24279,32.71718,6.582351,-25.047365,-13.092167,-11.850905,4.9899144,-24.396772,-11.604021,-14.671847,-17.145702,-3.4209058,-9.578002,-3.4189532,3.2916918,-4.831458,-1.0098803,-4.6891575,-1.7541317,FAKE
0.40857542,0.002243981,1546.6025661900037,1915.5183203490822,2992.870538884943,0.07456276633522728,-509.26193,134.19872,-11.745636,5.088245,-23.027828,-6.1354246,6.7066264,7.227713,-6.1545897,7.460361,-0.90951633,-1.9409813,0.026281627,8.764244,-1.0166055,-3.670389,-4.253416,2.3143835,-4.880293,-8.902265,FAKE
0.43838423,0.010910154,1792.0018269174172,1673.2370098670683,3265.9507057883525,0.09565873579545454,-343.22736,115.84156,-67.69624,-16.103756,-55.908607,-14.0172415,-1.3578204,13.614366,-1.376766,15.733371,2.7427676,-0.83572143,-4.5640864,5.2917256,-2.5350187,-3.6881864,-9.455553,-2.921195,-2.0769446,1.0218184,FAKE
0.5941295,0.010868613,1862.4330581011689,1424.6321588636304,3119.1334117542615,0.1220703125,-325.99747,114.913574,-107.879265,-11.37334,-41.927032,-7.7576785,-9.060368,10.276044,2.5239847,16.233168,-2.2057905,3.6223023,1.6140553,0.6452498,-6.5074387,-3.0429003,-10.1319275,-3.4973478,-2.2083197,1.017549,FAKE
0.4843265,0.011469882,1870.5275689482798,1559.4159169656843,3175.902765447443,0.10948597301136363,-325.75558,106.11018,-95.476364,-22.532875,-42.27409,-7.2712603,-2.7112315,15.226694,5.8685336,14.142922,-3.900814,4.3291817,-3.5286677,-0.60245067,0.150779,0.5820271,-7.8166537,-2.6393518,-0.24291134,-5.6085706,FAKE
0.44257057,0.007801808,1871.4801719009074,1631.3795641410334,3180.7966752485795,0.10905317826704546,-361.4818,109.313446,-82.923164,-16.683771,-34.859867,-1.1393703,0.21356006,14.731946,5.9026456,14.789841,0.06591043,-0.9227377,-13.684079,-8.889551,-4.4657254,-2.4586153,-9.362092,-2.7081003,2.1392715,-4.292665,FAKE
0.44088832,0.0027718467,2211.1554658348255,1948.048034044613,3833.8889382102275,0.14073597301136365,-426.19705,98.49746,-61.197647,0.13008311,0.5882647,9.720637,-10.522447,3.3757784,-3.324199,13.158175,1.4307727,0.008641839,-8.462663,-1.9609834,0.4134156,0.57107526,-9.614767,-5.7751346,0.87913644,2.5912516,FAKE
0.33820286,0.06352054,2693.3370584317704,2268.048200495519,4876.781116832386,0.1498690518465909,-340.2061,50.207863,-6.1650777,-3.6326423,-8.139163,-6.6306896,-11.601527,-7.4672456,-15.257236,-8.68302,-11.764106,-1.7297,-0.8113636,-2.9176917,-4.349999,-0.3574047,-11.064421,-0.9621828,0.49721524,-7.3264556,FAKE
0.2486744,0.12026362,2346.2760656198775,2223.186640227566,4223.933549360795,0.10000887784090909,-252.41289,59.28746,-4.550351,-9.303578,-20.112963,-16.73302,-30.295097,-7.5405383,-28.723482,-7.952362,-11.916413,-5.66034,-0.7222078,-8.19855,-8.260522,4.0523043,-14.394186,-3.7048986,-7.1631,-4.817621,FAKE
0.2692447,0.07369912,2121.635168257496,2255.125155785082,4056.317138671875,0.07822487571022728,-284.6892,70.14247,1.0866227,20.1454,3.0983198,-6.6728168,-21.925829,-18.60273,-22.646431,-15.22077,-21.82234,-11.693167,-9.665214,-11.52353,-5.3820977,0.47978437,-13.196382,-2.7531083,-5.8870335,-5.1464467,FAKE
0.30371442,0.0022374003,1724.0981392036927,2235.550748261484,3674.8368696732955,0.05626331676136364,-514.6313,120.78374,-1.1372145,13.957137,3.8218338,-1.6535922,-5.0003543,3.7476225,-8.265741,-0.48026657,-6.4037523,2.799568,-3.8369074,-0.23870777,-5.739374,-2.9808385,-9.5242605,-1.5416459,-2.3969038,-7.221692,FAKE
0.36397022,0.0033984736,2047.4690093289153,2186.52715872446,4076.382168856534,0.08872292258522728,-443.42282,103.787056,-24.537678,5.1172442,-16.487827,4.569678,7.3563275,12.922088,-12.817634,-18.032598,-18.324354,0.6689193,-5.7201443,7.504816,-5.193229,-4.7577047,-4.963916,5.576826,11.062331,-5.0191474,FAKE
0.3544323,0.054755628,2855.882199092747,2442.2348385993564,5411.930153586648,0.1524991122159091,-351.00656,54.88648,12.855555,1.2239172,-10.998922,-2.6203966,-9.187866,-10.833468,-20.899435,-13.090665,-17.976656,-2.09518,-6.2949123,-6.901467,-2.8893309,-2.1288872,-7.2584915,3.9599683,0.99572545,-9.712898,FAKE
0.1981211,0.13062109,2501.1691121645677,2471.791404042882,5244.313742897727,0.10788796164772728,-216.77916,45.86646,-5.5161114,-7.0753145,-26.993483,-11.794236,-32.592884,-17.789438,-30.022758,-12.399307,-16.846804,-8.941926,-7.115176,-5.1576424,-6.5563464,2.1953351,-17.111769,-0.5333721,-9.127845,-10.631873,FAKE
0.20987643,0.07668813,2066.542883033847,2458.3632532246957,4232.00850053267,0.05826083096590909,-308.81485,56.88011,-1.9868032,6.6077194,-2.8789263,-14.302171,-18.388859,-19.951735,-20.462986,-13.440656,-26.75479,-7.5489726,-8.026384,-14.760342,-8.20483,-1.2039022,-15.312446,-7.7301517,-4.438758,-14.715168,FAKE
0.33722857,0.09564689,2968.89713680736,2251.241281835921,5235.994096235795,0.17942116477272727,-233.39122,52.04768,0.7187774,-15.556652,-23.580322,2.598951,-20.125727,-15.335556,-31.980743,-4.268836,-13.123918,-11.798614,-1.1047851,-8.313162,-11.920361,-1.4732888,-9.175698,1.0236878,-14.22178,-1.6525089,FAKE
0.25230044,0.062411238,1814.5997788474012,2107.309411251514,3251.268976384943,0.06710537997159091,-373.15564,61.571056,-9.685235,3.0535982,7.8447814,-4.5938854,-25.696175,-20.86065,-7.9391727,-1.026482,-8.763878,-2.6998425,0.6523224,1.5942801,-0.18597302,-0.4084777,-8.050898,-3.937362,-4.6630497,-8.656721,FAKE
0.34661302,0.06775894,2461.227569155546,2201.755126278321,4335.759388316761,0.14683948863636365,-325.1416,44.81427,8.001323,7.0303874,-13.58515,-3.5418577,-11.817416,-10.814952,-11.7752075,4.0854864,-2.3641195,-4.6533146,-7.0539765,-0.001981941,-2.6273437,-0.029489664,-7.8889556,-1.3084798,-3.5428033,-8.82645,FAKE
