chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.40299773,0.04445623,3832.0789518215315,2576.0356203027486,6592.585893110795,0.2604092684659091,-287.4984,19.392899,-14.920223,7.9873857,-29.550636,8.335221,2.053671,-12.868501,-7.9955974,10.040895,-11.516935,-6.5147643,0.24355741,-0.6699455,-8.732049,-8.898433,-13.099628,-2.2629347,-8.879492,-0.34878862,FAKE
0.60532486,0.0011910927,3577.837613199181,2922.45196376482,7292.414994673295,0.2323330965909091,-475.62186,49.48802,-11.725956,8.939605,-0.2264793,7.4828157,3.725046,5.4098477,-3.4336023,6.521576,-1.8217756,3.8400154,4.0163994,3.9441757,-4.92522,1.9267147,-6.4228244,-0.1312859,-4.928161,1.1241231,FAKE
0.50797385,0.028040504,3224.414096850739,2742.797566404198,6528.965065696023,0.20946155894886365,-441.55997,48.228504,-15.438145,10.007588,8.345928,-2.1747222,0.43551958,3.8039057,-1.369117,6.6376038,1.0391438,-0.8871258,-2.6158342,1.1875958,1.454343,-0.7634956,-4.9429293,-4.007379,-4.130631,-1.2011012,FAKE
0.28461578,0.075612016,2774.080078894151,2662.7118168555144,5592.270729758523,0.12355735085227272,-269.63187,57.34813,3.9783187,11.107665,-9.320355,-10.649479,-8.011172,-14.825985,-13.402546,-2.1182666,-13.28169,-0.7125236,-13.095817,-9.259692,-4.944587,-13.341733,-11.598237,-7.349049,-15.842813,-5.153493,FAKE
0.21789283,0.11192975,2993.9376551819555,2657.0413907092434,5526.447642933239,0.12562144886363635,-191.07626,31.546358,-3.1365702,34.09505,-1.2383109,-31.455687,-13.387287,-19.161179,-11.796233,-5.9028883,-21.307623,-4.544197,-14.953577,-5.963571,-8.046692,-14.957444,-10.114817,-3.0837412,-15.894424,-7.207298,FAKE
0.34255242,0.0708325,2376.2875327762918,2519.546000310143,4569.198885830966,0.13392223011363635,-258.08688,81.0571,-3.6769655,-0.7531338,-13.614468,-16.416853,-13.114742,-20.841871,-10.820168,5.3721194,-9.776654,-1.9080453,-10.403096,-9.200121,-8.206618,-9.740478,-10.604864,-5.1243677,-15.127014,-9.232078,FAKE
0.28719282,0.08831196,2360.975192362644,2441.9982264819714,4452.968528053977,0.10198419744318182,-219.65665,66.395744,-4.2210116,10.891201,-20.922874,-17.190672,-1.3811898,-14.76987,-12.249719,-7.0084567,-17.67751,2.4083521,-14.4934225,-7.483171,-10.66793,-16.147621,-13.239835,-7.36996,-13.666711,-3.5039322,FAKE
0.27231702,0.06436313,2332.3134292214663,2365.2402793938763,4380.293967507102,0.10041947798295454,-282.93585,73.97903,5.2083755,23.024975,-11.920516,-22.633766,-7.5560865,-6.871224,-19.170084,-4.251144,-10.350959,-0.21780382,-13.3686075,-9.1258745,-7.2910857,-13.951324,-11.6690645,-6.678946,-11.648883,-6.362564,FAKE
0.32074,0.06204048,2609.1115071939903,2532.4187037481224,5058.589865944602,0.13518732244318182,-278.3593,54.805557,13.051386,40.230587,-3.3425612,-16.21151,-15.870881,-17.646925,-13.549154,-7.325583,-14.860302,-4.267561,-12.516267,-5.1693773,-10.427479,-15.752732,-9.622208,-1.8901821,-15.60076,-4.428731,FAKE
0.34899142,0.05449994,3080.448915055301,2491.2359798782995,5539.661199396307,0.1682461825284091,-262.44943,56.087894,12.307999,27.425978,-14.606823,-17.068398,-13.220806,-9.569761,-16.034502,-1.2975065,-10.350759,-4.26916,-9.053634,-6.06689,-11.1738405,-16.366179,-11.29687,-3.9354644,-15.808938,-1.5650234,FAKE
0.54551363,0.0012022423,3792.108007788291,2684.8537500363545,6953.511740944602,0.2654807350852273,-475.66074,28.483587,-19.377348,27.867634,3.9132788,11.839768,-6.791469,7.3579755,-1.5873172,8.165276,3.9153435,3.6275132,3.7899096,9.0193815,0.4297144,0.015295939,-7.64856,-0.23304829,-1.1188104,3.9795172,FAKE
0.20730646,0.015540036,2729.1857820860287,2516.8636038308864,5515.681041370739,0.12305797230113637,-434.53683,74.00945,-0.42792675,2.5882902,-14.156127,-14.993669,-5.2330384,13.5538645,6.455118,5.768576,-1.4395854,-8.1631,-8.488178,-1.638714,-0.55086935,2.9234543,1.7936105,-0.26618782,-6.168251,-6.3449984,FAKE
