chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.38270932,0.034720417,2810.7741435063112,2514.4896112249803,5539.41650390625,0.15849165482954544,-230.72813,72.83391,-24.006895,-15.422767,-19.843332,-2.7963927,-21.388014,-14.358856,-13.584052,-7.7035108,5.592037,-1.9687762,-12.463441,-6.065289,-12.680575,-4.3711762,-14.243343,-3.7439027,-10.065868,-2.0559568,REAL
0.5966304,0.0034478218,2409.6299233272784,2296.160480126772,4519.036310369318,0.1412686434659091,-392.85684,89.97354,-47.29031,-16.553751,-4.8864117,0.08338397,-16.662428,-12.913879,-10.214738,-3.3665304,-9.231336,-2.0808594,-5.7438717,-3.6321096,-7.269351,-4.6365247,-9.868163,-3.5423505,-3.8009684,-0.84385926,REAL
0.4740048,0.01490475,3006.9189013569835,2687.0544392976876,5879.543235085227,0.16351873224431818,-349.7881,71.787674,-15.676325,-15.046337,0.15829615,3.6868331,-15.996883,-21.409597,-16.422617,-6.9485946,-16.111351,-4.1951184,-15.605097,-6.890652,-0.6350758,-9.749244,-12.253326,-0.7631081,-6.4344177,-4.083296,REAL
0.32897902,0.036059435,2422.632354841823,2369.685029957556,4358.760764382102,0.12937233664772727,-268.03397,96.37145,-4.602465,-4.2221255,2.935498,5.6859784,-17.600554,-24.786802,-19.477634,-10.097288,-5.387101,0.32072148,-12.869457,-6.109741,-4.415412,-5.409911,-10.657826,-2.7748852,-10.6118145,2.241969,REAL
0.32340786,0.026129162,2400.4524934122837,2196.9217725231483,4042.85888671875,0.13550914417613635,-308.79562,100.74077,-10.172993,-9.842426,0.46617362,-0.38174,-22.20938,-16.387535,-17.062819,-12.48607,-7.564885,2.7932703,-12.694978,-4.0395246,-6.344478,-10.762012,-8.802324,-6.953691,-12.779099,-3.4714684,REAL
0.3848,0.026824702,2036.8735326247138,2102.892176703067,3874.9977805397725,0.099609375,-293.11005,106.53152,-35.37211,-7.436287,-12.473856,-3.941333,-14.020637,-18.486662,-18.119595,-7.5954604,-3.7667398,5.1811113,-12.3173065,-5.7109747,-2.90193,-4.428439,-12.655737,-5.8433547,-10.600454,-4.24937,REAL
0.58928216,0.013363391,2140.903241599767,1899.2427514908748,3461.46240234375,0.13441051136363635,-276.45847,96.51043,-76.30295,-24.06068,-12.948581,-9.633794,-13.454245,-8.461007,-10.881326,-0.69274324,-9.674621,-4.6926346,-8.993118,-8.518284,-6.3251653,-5.6416755,-8.534839,-4.309135,-6.165481,-4.4849644,REAL
0.45395413,0.025497146,2382.472237089522,2168.075442565369,4303.214888139205,0.13313432173295456,-263.25174,90.148415,-43.7973,-9.969279,-5.6442847,-2.7655632,-30.543505,-16.577791,-10.595535,-7.013984,-12.882077,-3.3135238,-10.997761,-0.5617943,-4.017893,-6.151177,-11.266578,-2.786997,-6.339633,-4.4173794,REAL
0.40458828,0.011443733,2392.626813190128,2372.38267065681,4770.093883167614,0.12107155539772728,-334.46237,87.52533,-27.4635,5.2496414,-8.040048,-3.9039252,-22.31982,-19.129763,-13.438607,-2.0824404,-9.328071,0.350836,-9.457148,-4.198448,-9.930828,-10.168966,-16.884827,-6.2260013,-5.8249745,-5.780784,REAL
0.55631703,0.00520136,2124.059485407505,2246.254148981521,4121.895530007102,0.11313698508522728,-362.7975,104.64883,-34.53142,-9.576584,-12.82518,-9.027345,-18.880272,-15.711785,-15.858242,-2.5920935,-10.071136,-6.155734,-14.450591,-8.55903,-7.9405794,-10.016868,-12.350745,-3.0687761,-7.988911,-2.9818802,REAL
