chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.3605105,0.13931769,2591.5420267690574,2025.6569899998847,4398.89082475142,0.16912286931818182,-168.54007,85.384445,-22.6866,-12.207198,-17.481598,-7.425432,-16.131704,-12.261669,-18.944221,18.987295,-7.3733397,-6.669206,-10.322122,-11.716065,-6.222073,-11.38673,-9.317405,-4.8137393,-8.244024,-5.6319284,FAKE
0.57654583,0.0031625452,2423.564003004208,2240.0210317978363,4574.337491122159,0.14307750355113635,-402.67752,86.76203,-51.262184,-15.225281,-8.162276,5.1614523,-17.642387,-12.2940035,-12.464413,-4.1970057,-16.133501,-6.312868,-7.3090587,-2.7604148,-4.9631743,-1.6825145,-6.2433224,-0.51613855,-2.5142012,-0.9702116,FAKE
0.4789975,0.040303852,3060.759106130319,2616.411033914224,5864.616810191761,0.1729403409090909,-320.7026,64.46247,-9.768094,-11.798609,-8.20777,1.0628849,-15.316458,-10.044016,-15.10176,-2.0719717,-12.96435,-10.885014,-10.573978,-4.9111266,-4.8171024,-9.115457,-9.734272,-3.088993,-8.436298,-4.82299,FAKE
0.3676597,0.12794104,2293.223006019722,2004.450442373118,3963.8222434303975,0.13536487926136365,-168.80011,101.70708,-16.110094,3.1440547,-0.85001063,-11.899551,-14.28075,-17.948076,-20.015985,5.5507565,-22.797697,-8.965235,-9.948992,-10.298832,-9.1673765,-3.5086899,-13.121679,-7.546486,-7.2937284,-11.116009,FAKE
0.41044945,0.10117752,2359.3763123639355,1870.025580752543,3892.371160333807,0.14516379616477273,-207.38521,104.62439,-11.41713,-2.8844118,-7.785738,-9.504611,-9.104493,-9.284223,-16.821148,2.0084994,-20.261429,-10.336101,-6.260224,-6.5176907,-8.504739,-0.0899831,-11.333826,-6.0632215,-9.436819,-8.971905,FAKE
0.42457014,0.093518995,1982.3942224702498,1929.5527348257403,3575.979891690341,0.11503462357954546,-255.38751,116.85266,-31.070532,-3.2403557,-15.822689,-16.46567,-0.19130646,-16.059742,-19.343428,16.556269,-6.608198,-8.618192,-10.370621,-2.5854223,-3.9129713,-4.700271,-10.33764,-8.630229,-8.186234,-7.748575,FAKE
0.5282038,0.009340528,2146.711976881721,1976.4355461863308,3902.1589799360795,0.12638716264204544,-313.2491,101.3213,-54.27383,-7.992146,-37.575294,-14.509472,2.268077,-1.088922,-15.844872,-6.014673,-13.763281,-3.6252265,-3.590766,-1.8075157,-12.89982,-4.734444,-4.1915936,0.027071493,-10.422787,-6.2460423,FAKE
0.41799927,0.076550975,2502.2392242786523,2044.9247930718645,4428.009588068182,0.14650656960227273,-238.90767,86.03475,-35.72077,0.2525734,-13.693206,-21.361631,-13.546079,-6.6838284,-12.989911,-3.2045653,-17.453812,-9.751967,-5.3337255,-4.2365932,-8.661403,-6.6826525,-5.390371,-5.2361875,-9.8007765,-7.4086514,FAKE
0.4707236,0.032118734,2727.170165964224,2414.073510858287,5405.812766335227,0.15859153053977273,-306.85452,80.95548,-23.90271,6.459146,-13.40596,-12.629419,-14.9678335,-9.872005,-7.6949816,9.342819,-5.578301,-13.360239,-12.821117,0.55943954,-3.2155547,-5.6790776,-3.0270348,-1.0121261,-10.074048,-5.615562,FAKE
0.53417313,0.005452749,2622.059646587176,2479.9514714516085,5436.39970259233,0.14914772727272727,-382.91718,85.007965,-24.196674,-1.709388,-13.722086,0.42223957,-7.4306073,-10.4712715,-17.525436,1.7575058,-12.107724,-17.596405,-12.934479,1.2869091,-5.7500854,-8.461775,-2.8893087,2.1381342,-11.21466,-6.4237933,FAKE
0.41237924,0.07027983,2137.7427185957717,2055.643776670499,4081.765469637784,0.11161665482954546,-247.93506,109.30244,-9.8707485,17.411882,7.0945587,-10.004628,-10.319564,-1.3894715,-15.372143,4.652263,-7.2335224,-12.545548,-11.193166,-0.4402559,-9.805375,-5.6076565,-6.7355633,-3.056049,-6.9122486,-7.3796277,FAKE
0.43104565,0.052734975,2323.638823331166,2083.357794023262,4149.79081587358,0.14800470525568182,-253.98415,106.732376,7.348776,20.682726,10.027703,-6.4257693,-16.053644,0.6686799,-11.267791,1.1840068,-6.532271,-6.997041,-4.928164,-0.67899394,-8.5495,-3.1832008,-5.109178,-1.2122293,-7.216869,-5.307249,FAKE
0.47733498,0.039023384,2008.0258650329126,1969.8607797235754,3770.0234153053975,0.11496803977272728,-308.65067,124.3289,-6.2590456,18.291693,6.5688853,-9.29412,-9.798241,-3.4857376,-13.815409,-2.6496687,-4.3606863,-2.8020353,-3.5626214,-1.9817082,-7.212976,-0.7775475,-2.386754,-2.3886697,-5.687671,-4.583245,FAKE
0.44572365,0.01758647,2019.5530829076085,2137.1653529525684,4109.905450994318,0.09812233664772728,-378.28085,119.15666,-18.452858,-0.21031521,-9.036796,-14.630316,-6.9181747,0.32152596,-9.079885,0.94879985,-10.2468815,-1.3350381,-3.799829,-2.301689,-7.0437984,-3.2553694,-1.2240019,-0.16569266,-5.746698,-3.977549,FAKE
0.46054932,0.07037845,2422.710393375691,2181.868319526657,4604.435036399148,0.1441650390625,-311.0078,88.90758,-27.5286,-8.361271,-29.351086,-14.94411,-3.324247,-9.942766,-17.759941,5.0342336,-7.2068315,-9.181581,-5.8495865,-9.178439,-11.289571,-7.295759,-0.95424944,-1.1527101,-8.407031,-5.5176764,FAKE
0.4019295,0.015431575,2489.1040856760487,2328.469373279242,4850.598699396307,0.13083718039772727,-433.8276,87.50013,-2.0323243,5.5731235,-5.822288,-1.4298452,-19.875513,-12.28403,-9.56198,1.2961193,-10.621137,-17.244087,-10.8832655,-3.3554358,0.020845039,-7.663524,-6.6682878,-3.4371893,-5.836275,-3.143141,FAKE
0.4602466,0.05494592,2064.700492509662,2245.249331479299,4288.043767755682,0.08994362571022728,-372.95184,89.81094,-14.575619,11.81506,2.8035455,-20.96793,-10.800109,-15.710633,-10.63475,-4.9358716,-18.568819,-9.261281,-5.680422,-5.439008,-4.0136766,-5.5244036,-5.5712504,-3.506676,-6.9916897,-3.8217561,FAKE
0.4992781,0.038547337,1667.469209646643,2119.190121797141,3551.755038174716,0.06423117897727272,-377.7014,125.916824,-9.87493,7.049148,3.2581544,2.2326102,3.7172625,-7.1225224,-7.485144,10.228784,-1.8997799,-2.7807562,-0.44318387,-0.8288204,-2.1807172,2.4023187,-3.421939,-1.566124,-3.9624496,-5.901648,FAKE
0.5834503,0.0012882919,2469.0674486417506,2473.217983395472,5005.246249112216,0.11732066761363637,-487.50204,93.94494,-15.113312,6.588269,-7.038955,-1.9160037,-11.814324,-10.120187,-15.1096735,-6.6735516,-8.998072,-7.162604,-8.581389,-3.0562027,-4.4943395,-0.98146725,-6.6819806,-3.171843,-3.025768,-1.1168567,FAKE
0.5052082,0.0012869737,2151.9742210917448,2338.972535798923,4517.32344193892,0.10392622514204546,-493.70276,105.72602,-20.858505,6.051685,-6.698546,-1.9549252,-13.477924,-12.796015,-14.997843,-6.8908114,-10.574567,-7.360431,-7.0970244,-4.4491143,-2.0881789,-2.8008566,-3.620896,-6.320522,-3.0516999,-3.4739745,FAKE
0.45309314,0.06257428,2744.927445722198,2241.3746257816883,4936.48681640625,0.18135209517045456,-255.28218,84.92292,9.720204,20.440538,-2.8056307,-4.126842,-11.1533785,-6.7598968,-13.79918,0.4915535,-15.557029,-14.684399,-5.8134427,-3.426056,-9.65126,-1.9305596,-6.899689,-5.4449344,-6.2002254,-6.357902,FAKE
0.5107394,0.040636778,3320.0532159619934,2303.381596498033,5800.995982776989,0.22632945667613635,-292.98965,57.989525,-0.24908768,6.3433886,-19.377092,-1.1754882,-13.151813,-7.213562,-10.197512,1.7030956,-7.1047425,-7.3252153,-5.775128,0.7960236,-4.4306164,-0.76115894,-4.5830474,-3.237455,-5.618869,-6.379698,FAKE
0.43952653,0.0608336,2634.3182462028617,2182.1925725682568,4698.398104580966,0.16414018110795456,-238.78491,83.898964,10.072559,43.11645,19.082945,-5.407471,-13.277832,1.418735,-10.430062,-1.5170913,-13.803272,-13.853983,-9.697049,-4.641305,-10.045246,-3.8720582,-3.3236659,0.2908177,-5.6592116,-3.0725305,FAKE
0.4719629,0.027142787,2562.2985130666393,2239.3949203759694,4862.344082919034,0.16774680397727273,-390.18613,88.81104,-13.197317,15.771175,-11.266753,-5.209631,-8.264,-5.682216,-11.1181345,4.769719,-11.560608,-7.943982,-3.8594828,-1.3396136,-7.202851,0.03159256,-3.195675,-4.815891,-3.015899,-6.6689577,FAKE
