chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.3221606,0.15015809,2561.7515516576236,1956.8698587879478,4209.496515447443,0.17092063210227273,-181.51459,85.31836,-38.962234,-8.59082,-11.03132,-19.107536,-19.029253,-11.81973,-17.134432,12.7896385,-15.522132,-6.1834226,-12.35151,-11.84372,-3.2991006,-24.631176,-14.121396,-5.1818867,-7.5517025,-4.9560146,FAKE
0.57628703,0.0031805334,2448.2730354482965,2210.3461435518175,4532.00517134233,0.14604048295454544,-403.80188,84.22678,-55.30344,-13.128503,-8.252056,3.6967583,-16.029766,-12.656003,-13.112345,-4.3325167,-17.88011,-5.5524616,-8.266941,-4.4825807,-6.3568273,-3.9197874,-9.099585,-2.538529,-2.423269,-1.333614,FAKE
0.45320284,0.06863098,2663.5717649458593,2524.2229193035973,5295.455100319602,0.1395596590909091,-313.074,66.89012,-9.792087,-15.671571,-3.7928126,-10.111752,-21.002602,-9.770398,-14.418618,-2.6153536,-13.148523,-8.469416,-8.871807,-4.756432,-5.8644776,-10.463481,-10.288776,-3.6913679,-8.122001,-4.5926113,FAKE
0.26316094,0.1609794,2164.8023987122933,1991.4136023346516,3835.846502130682,0.09659090909090909,-170.06396,95.6647,-22.2941,6.6516004,-5.007921,-21.224075,-28.319954,-15.368404,-18.487389,-1.531707,-19.373247,-8.8172,-12.781773,-17.015331,-8.752499,-16.884424,-17.566647,-2.6196244,-9.649955,-10.5554285,FAKE
0.28655022,0.112910084,2299.388107426637,1907.8168311280579,3710.562411221591,0.13576438210227273,-205.70761,96.054886,-24.3961,0.89084435,-0.40161002,-21.46212,-13.742551,-14.421528,-14.8865595,0.54297394,-19.434776,-3.6027322,-11.161406,-18.258028,-7.694064,-16.28491,-11.679447,-5.330497,-3.1544924,-6.0855055,FAKE
0.33613744,0.09586866,1944.8556810556345,1827.597210962489,3464.6434437144885,0.10716663707386363,-255.22652,104.45947,-50.52793,-2.2202775,-3.2094958,-20.437098,-10.716885,-14.295734,-12.349839,7.584883,-15.7880125,-9.87589,-9.988948,-11.5334015,-3.0747178,-24.81303,-17.504843,-1.9871678,-4.612285,-3.2693682,FAKE
0.5355285,0.009896926,2145.380465027047,1828.9116695401274,3674.102783203125,0.13498757102272727,-307.4448,96.191605,-75.762665,-8.997046,-30.619246,-16.542128,-6.9906545,-3.3017342,-11.767362,-10.395741,-20.662193,-3.7798302,-6.413425,-5.399737,-14.351002,-5.4574013,-8.810151,-2.282881,-6.8060603,-5.4212337,FAKE
0.39728886,0.08435979,2409.5187139391887,1980.1866721665183,4094.000244140625,0.14711692116477273,-231.74644,85.40852,-42.608727,3.460038,-10.551673,-28.189142,-23.405107,-0.36321592,-12.160501,-9.601057,-14.841767,-4.994807,-4.461895,-13.40883,-7.404019,-15.846267,-10.265881,-6.9447083,-10.963981,-3.3891783,FAKE
0.40533015,0.03514448,2686.864133163154,2345.3510774063284,5275.634765625,0.15044611150568182,-310.6895,73.021866,-34.889572,7.816037,-5.723028,-13.900341,-16.003643,-6.55156,-10.070774,4.7235446,-8.729031,-2.8469467,-13.791333,-10.8953085,-7.96154,-22.910769,-17.234074,-6.643837,-5.667404,1.409903,FAKE
0.53341573,0.0050563966,2508.9642049389427,2302.400248980731,4728.740345348011,0.1482821377840909,-381.36475,80.006905,-47.428368,-4.8013515,-0.26665527,-1.3736392,-14.462022,-10.106632,-10.917602,-2.7056284,-15.918793,-9.546943,-13.276099,-8.950519,-13.646081,-16.832846,-17.927443,-6.4400835,-3.8276637,2.9915266,FAKE
0.30661058,0.06824204,1962.9393169224013,1988.0315873325935,3530.4665305397725,0.10185102982954546,-261.5092,114.065285,-9.923049,2.6249676,6.2102556,-17.772758,-24.652327,-11.843265,-15.245416,-2.2546446,-19.99411,-4.1728945,-11.369264,-13.903172,-9.403646,-20.691078,-12.396719,-4.3276467,-9.017948,-1.6929364,FAKE
0.33873183,0.05507252,2274.764655692456,2040.4871280967461,3839.761629971591,0.14304421164772727,-270.83435,109.183464,4.359596,9.788174,8.258012,-12.9219,-23.614246,-4.307289,-17.359678,-3.8154404,-15.611588,-4.7887425,-11.985844,-12.8977995,-9.939925,-20.337517,-16.528425,-4.5290365,-8.724847,-1.665298,FAKE
0.33983758,0.03927491,1807.2121209563693,1794.7130319810328,3294.580078125,0.10369318181818182,-330.51685,130.31754,-9.3558235,14.221735,1.2808475,-15.462826,-19.213535,-11.379091,-15.656937,-2.1204097,-12.007328,-3.6049676,-10.1105995,-16.975294,-8.933567,-15.829346,-16.326061,-4.9467993,-4.540476,-4.66255,FAKE
0.39620203,0.023358403,1839.1391773747812,1978.9615433371612,3676.79443359375,0.0888671875,-382.07297,123.032814,-26.024464,-2.5457754,-11.043439,-18.371239,-12.221125,-6.067259,-5.7226844,-2.5466774,-18.331482,-3.9922912,-8.692547,-13.415362,-14.247092,-15.794702,-8.356776,-2.6526802,-4.9175005,-3.5190763,FAKE
0.37909546,0.086891785,2237.5949346153457,1875.5988007768917,3967.247980291193,0.14673961292613635,-287.72147,87.52187,-52.328873,-1.8907043,-15.010516,-24.865118,-15.825802,-12.233125,-10.560256,2.7318017,-15.387332,-1.3620272,-10.381571,-11.571472,-5.338995,-16.674355,-10.870768,-5.884511,-6.301546,-0.64609027,FAKE
0.31984836,0.016590526,2349.828019773937,2227.6731980666573,4650.927179509943,0.10984108664772728,-442.15155,91.80716,-20.108797,8.948295,4.142744,-9.9336405,-21.96907,-12.901215,-11.349613,-3.9290316,-16.896324,-16.520905,-15.279214,-6.7151475,3.9082124,-10.902115,-6.8712163,2.6369648,4.9440866,6.2746234,FAKE
0.42144063,0.053166583,2048.890219232487,2220.876411357735,4129.72578568892,0.08339621803977272,-378.6916,82.914764,-13.596679,11.0900345,-1.3301024,-24.536743,-12.370267,-10.624488,-14.561252,-7.5390224,-15.46449,-8.726057,-9.238678,-7.79713,-3.174962,-12.093305,-7.543143,-5.1548734,-8.078373,-0.16256747,FAKE
0.40176576,0.04007923,1584.4241434043504,2112.513750240025,3148.007479580966,0.055963689630681816,-388.06866,118.140945,-9.284443,7.0920577,13.678003,-7.0229063,1.154912,-4.0755277,-6.054971,6.7134733,-4.8698807,-0.8919045,-5.106889,-9.631237,0.46249244,-6.3545365,0.48012257,1.2427671,4.8769374,3.1763437,FAKE
0.58915156,0.0012865975,2480.169506973045,2470.2336041528333,5018.704501065341,0.11727627840909091,-488.05704,93.27133,-15.95372,5.964832,-7.8522983,-2.588034,-12.633187,-10.797062,-15.91954,-7.377203,-9.8109865,-7.833441,-9.412458,-3.75092,-5.293184,-1.6744832,-7.4721956,-3.8580167,-3.8369644,-1.8190179,FAKE
0.50617737,0.0012849913,2165.69438968768,2339.2098492793693,4536.899081143466,0.10394841974431818,-494.4153,104.74175,-21.864046,5.1014943,-7.769546,-2.8906431,-14.571234,-13.700296,-16.04519,-7.8400373,-11.602492,-8.363517,-8.079624,-5.472086,-3.0934312,-3.77191,-4.6605773,-7.285504,-4.1238084,-4.403847,FAKE
0.3410475,0.062097874,2734.4533245025195,2288.060197496029,4855.492609197443,0.16614879261363635,-259.04492,78.48796,7.6944957,13.105399,-3.5389473,-9.671659,-23.17777,-11.008349,-18.263163,-6.072952,-19.533493,-5.066168,-9.172276,-9.949378,-8.777068,-16.982445,-10.768795,-1.7340512,-5.735535,-3.8631613,FAKE
