chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.3651445,0.1004903,2233.9953730173715,1809.1575428766707,4036.007412997159,0.13539817116477273,-194.32431,106.92956,-46.9866,21.288116,-7.652171,-8.086066,-2.6461747,-15.492587,-13.254345,0.4761649,7.4888616,5.2678437,-6.128477,-5.2356834,-9.574101,2.6910605,-2.9424365,-8.4870825,3.492392,-1.556998,FAKE
0.5806167,0.0038545325,2400.2704213222137,2437.4598578135224,4775.477183948864,0.13129216974431818,-377.233,94.154076,-31.443586,-3.7820563,7.3889284,9.517762,-5.7335157,-6.1742673,-3.6376112,0.5796891,-8.953973,0.10331853,-3.120791,1.3294529,-2.752268,0.9533499,-4.8458347,0.93254876,0.08228627,3.1791992,FAKE
0.4881353,0.044709787,2572.011427155272,2546.78832304945,5422.696755149148,0.13328968394886365,-308.42374,83.00208,-14.728357,6.2572284,6.5001698,5.9485607,-6.154979,-11.493946,-11.682385,-3.0880277,-6.034119,-2.262308,-6.029482,-1.0583872,-1.6445161,1.35185,-6.7671466,-5.006943,0.16990934,0.74634796,FAKE
0.33802518,0.121545866,1982.6389567270396,1697.7768149600001,3593.597966974432,0.10330477627840909,-186.3833,119.76526,-42.728542,25.300371,14.900156,-10.027004,-11.093948,-18.645836,-27.93503,-2.1566644,-9.970266,-0.07587294,-3.4197104,-1.3399516,-7.089477,3.1280622,-4.577831,-6.862834,-3.6298342,3.430033,FAKE
0.37489706,0.1019913,2140.620747381139,1780.2727928070003,3805.5042613636365,0.13250177556818182,-211.74892,120.82883,-36.577244,7.981303,12.488819,-16.159391,-12.440734,-7.283958,-21.920494,0.29308012,-7.104202,2.4065533,-5.7613664,2.907318,-6.588953,0.5291599,-2.0486455,-4.448553,-4.5507007,3.8596,FAKE
0.40972832,0.078561306,1830.2273470759515,1868.4498264368585,3608.035000887784,0.09554776278409091,-252.58693,129.47743,-40.250984,15.144476,-2.7370768,-9.654652,5.970917,-13.309351,-15.858679,-0.99506533,6.9263873,6.2821956,-4.066959,-2.5684395,-4.5050507,5.3699603,-4.09689,-11.130956,-2.4428847,-0.17195918,FAKE
0.570153,0.0120077105,2049.965523737419,1917.1968030073667,3488.8682972301135,0.13097034801136365,-275.53436,112.61526,-56.243053,0.94618535,-6.5556183,-3.565883,5.7715497,2.192446,-1.1749699,4.2650394,-3.5214307,3.956591,-0.050843064,3.5956688,-4.8957963,4.071488,-3.4625847,1.2498652,-1.5687488,2.012621,FAKE
0.417129,0.07824348,2314.5178142906275,1954.07525462512,4028.4218528053975,0.13515403053977273,-222.9376,100.89763,-46.108646,13.786709,12.389144,-12.740327,-9.615783,-11.096091,-8.940078,5.2563043,-9.266431,-0.124901965,2.2691514,3.9722745,-4.301603,5.2108808,-6.431144,-2.6985,0.1586894,-1.2336254,FAKE
0.57971275,0.037378747,2283.630355944459,2276.358248094495,4496.769020774148,0.11845259232954546,-280.83755,100.55318,-30.018177,20.696877,11.867251,-7.081405,-3.320984,-7.820869,-8.054786,5.6778073,0.6117258,5.732407,-4.2281795,1.5318764,-2.5235913,1.7173556,-3.4280558,-3.51962,-2.0053,2.2660606,FAKE
0.66976064,0.007362427,2289.9416191695377,2433.3161169711957,4628.659889914773,0.11910733309659091,-339.83524,102.32644,-22.220764,7.0702543,5.865544,4.753544,2.20415,-2.6828063,-5.1664677,3.3325033,0.3187799,6.15179,-3.4885788,2.074217,-2.2988994,1.2230495,-3.7207665,-1.2847838,-0.34930056,7.006184,FAKE
0.36302686,0.06828692,1820.989222245267,1860.1777542705581,3488.8682972301135,0.09845525568181818,-251.79745,123.12947,-17.272474,27.002367,19.157228,-5.79284,-9.981057,-18.424736,-15.265039,0.48442796,-6.3404,-0.6318212,-5.9381957,-0.77330774,-7.8591323,2.2775183,-1.6225506,-8.024438,-2.6050417,3.871299,FAKE
0.34322375,0.054220784,1962.2755396769955,2001.3627595059406,3738.702392578125,0.11722079190340909,-265.9828,116.480255,-1.0391201,31.64218,22.055567,-3.667324,-12.577404,-15.034595,-13.205291,-3.0612485,-5.3245573,2.7177763,-5.866118,-1.6408858,-5.004868,5.875926,-7.116518,-5.763676,-3.4989588,2.4869406,FAKE
0.41086093,0.03996956,1754.117738123964,1955.9506451959103,3493.2728160511365,0.097412109375,-305.64355,132.6315,-9.050101,22.98102,23.143581,-7.4212956,-7.562837,-8.262351,-16.05746,-2.4067602,-6.372699,0.05269662,0.9167214,5.1514015,-7.5441866,3.7175894,-4.3772817,-4.814254,-6.808818,4.0437284,FAKE
0.45391366,0.020939792,1896.8981874477338,2190.424183350513,3954.7685102982955,0.08811257102272728,-343.63684,124.473274,-12.126673,8.210389,9.924929,-3.323966,-1.9545064,-3.9256048,-7.0542707,3.1811104,-5.109373,2.6468236,-3.0351744,1.407268,-5.7020464,0.5759801,-0.99455106,-3.0302465,-4.560985,3.6618803,FAKE
0.3670811,0.06040484,2180.1379429806893,2012.7141302943535,4145.1416015625,0.11997292258522728,-278.28473,107.762665,-45.738857,19.189344,-3.7902436,-12.210126,0.58873755,-9.017177,-9.49292,6.5524793,0.96490186,4.9405684,-1.0309108,-2.1713579,-6.954017,-2.925682,-3.376427,-3.3317375,2.2458255,0.9620833,FAKE
0.34441814,0.016023101,2408.2977181155693,2510.945896078469,5260.708340731534,0.09641335227272728,-385.05566,93.04994,-1.656268,15.689944,10.728409,10.259038,-3.7847803,-4.348279,-8.930094,-5.0479474,-6.4535084,-6.180035,-10.101312,2.6355803,-2.8231323,-4.38125,-5.5901904,-3.4631317,-4.342381,3.6887815,FAKE
0.45934376,0.053374615,2170.578476218888,2358.1143776802783,4853.535045276989,0.08588201349431818,-353.96326,102.80698,-17.029955,23.592354,21.309832,-14.861099,-10.99587,-16.346203,-12.511655,2.05017,-11.374459,-4.3063006,-0.6353481,1.4717834,-0.8273649,2.5353255,-5.3811736,-2.1494582,-0.7903177,-3.0371985,FAKE
0.47178072,0.032506187,1856.3817157860358,2289.1128977834624,4146.609774502841,0.07456276633522728,-355.55804,118.68318,-13.173626,13.711603,13.322123,1.2179443,4.1973004,-2.516929,-8.71782,0.43191835,-0.1058166,6.9857526,-4.319775,0.56310254,-2.8586266,3.2179482,-3.0239959,-4.425327,-0.47037727,4.778004,FAKE
0.58835316,0.001310099,2514.197344470754,2529.0904007510603,5196.842817826705,0.12101606889204546,-484.20352,92.20905,-13.271705,6.448006,-6.18152,-1.4352586,-10.864789,-9.366108,-14.567941,-5.6832128,-8.681015,-6.863892,-7.9989886,-2.1138859,-4.4760013,-0.30850258,-6.4503984,-2.6674082,-2.8095548,-0.63047844,FAKE
0.5069971,0.0013475325,2263.783569729244,2494.1660327005634,4916.666481711648,0.10415926846590909,-485.30295,101.02425,-14.026241,4.9341197,-3.106523,-1.3785163,-10.449437,-10.7730875,-13.377247,-4.919966,-9.380982,-4.9796357,-6.3591075,-1.9538193,-1.9925923,-0.2560374,-2.6586688,-4.3650813,-2.6011965,-1.27804,FAKE
