chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.34327224,0.10221274,3506.9364681688767,2381.589302945595,5932.152765447443,0.21565385298295456,-168.97588,28.375591,-23.031778,-0.62514424,-20.669329,-7.8849535,-10.746518,-9.62181,-10.776597,7.7030087,-6.9656825,-13.015652,-15.086127,-5.50882,-7.6456833,-17.209362,-4.87602,-4.9150867,-13.424046,-5.638106,FAKE
0.5738369,0.0030446455,2663.780714868478,2397.5833738062197,5119.51904296875,0.15753728693181818,-399.09393,74.285065,-48.918945,-14.627232,-3.7241163,6.884859,-11.711804,-10.055469,-10.088144,-5.351755,-14.606637,-5.792519,-7.5010085,-1.3464643,-4.6471996,-0.7932909,-6.66201,0.42058304,-2.2642994,-0.066577986,FAKE
0.4653102,0.04694519,3627.1069636564425,2788.932827139432,6817.950439453125,0.21287952769886365,-310.2384,40.161045,-3.721248,-4.151818,-4.360684,-6.295646,-16.076418,-9.199769,-14.244321,-3.5813134,-10.2533455,-6.2101364,-7.530372,-0.9892221,-4.2818394,-12.338456,-9.4592,-3.372597,-10.997103,-4.563199,FAKE
0.27147457,0.123380534,3029.5645184551004,2331.677371648019,5205.65185546875,0.17847789417613635,-169.87604,46.058475,-0.5135728,20.783184,-10.776627,-14.833358,-23.254353,-16.4049,-13.5268955,-8.175121,-14.539063,-7.273798,-16.227922,-5.792712,-10.104667,-15.319866,-13.853588,-8.429844,-13.655514,-9.123763,FAKE
0.34613982,0.092695944,3192.972148845904,2257.497015995452,5163.074840198864,0.1848477450284091,-202.68626,36.29857,-4.2274027,12.698539,-9.656674,-15.045856,-12.815344,-4.216882,-10.043639,-2.0848558,-11.937974,-7.1819324,-8.984964,-12.157987,-11.505836,-12.330242,-15.20989,-6.070714,-10.96918,-7.7791014,FAKE
0.4139258,0.06682697,2973.8780708389295,2438.5524929385006,5430.282315340909,0.1748934659090909,-244.68202,47.796932,-35.386593,6.4394145,-19.908384,-12.385553,-4.6635146,-2.396918,-13.957453,8.990249,-4.9370427,-11.239399,-10.0059595,-5.1769876,-1.5601822,-14.53695,-11.321469,-3.2846644,-11.716165,-3.4651392,FAKE
0.48991314,0.008700294,2318.054524194429,2086.4735316040346,4116.512229225852,0.13128107244318182,-318.28088,87.32058,-53.16534,-6.9058843,-40.940273,-22.459589,4.5179434,3.7898011,-16.003344,-14.183251,-16.774275,-2.401581,-3.682603,-4.5902185,-15.026211,-5.1019855,-2.4975283,0.5692939,-11.557326,-6.029727,FAKE
0.40129614,0.069087915,3106.184664227829,2296.2651735827476,5259.729558771307,0.18189586292613635,-226.89813,46.46949,-27.977154,12.269647,-21.98525,-27.13136,-8.900112,2.0144596,-9.3387,-8.1496725,-11.678098,-0.8508457,-10.130824,-6.631737,-10.031409,-13.972881,-7.0135226,-8.367696,-13.217553,-3.9363642,FAKE
0.4566759,0.030609822,3652.1806753186543,2579.5457855129907,6416.89453125,0.24570534446022727,-296.4235,33.99135,-16.101494,12.664243,-19.263731,-2.0659742,-6.018669,0.9040972,-7.392238,1.404168,-3.8291185,-5.888963,-14.235403,-1.7948688,-7.468585,-12.363091,-11.632542,-4.069293,-10.196208,-1.5689338,FAKE
0.5364713,0.006700444,3137.2669366196815,2568.41131394739,6097.322221235795,0.20177112926136365,-373.7169,54.446274,-35.85848,1.3828355,-6.284892,5.6245365,-0.8116171,0.44566202,-15.38287,-5.950084,-14.441291,-13.713501,-13.037594,-2.3933437,-3.2501485,-7.7928057,-9.462014,-3.7305322,-9.728393,-0.8693662,FAKE
