chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.40049672,0.07572114,2836.1230865811285,2365.6868143325696,5109.241832386364,0.16123268821022727,-175.14412,66.56229,-16.933638,3.1039245,-12.868562,1.3526047,-11.239394,-17.484787,-16.589445,-6.0142155,9.795631,-6.5235896,-8.548833,-4.8622494,-4.03195,-0.9671127,-17.228138,-3.5947154,-8.132969,-8.430936,FAKE
0.5695486,0.0031622343,2431.566653776636,2320.55927749667,4654.352916370739,0.1441317471590909,-395.31644,91.904396,-40.879044,-7.238161,2.0216255,11.605951,-7.4639287,-6.560241,-4.614458,1.3144075,-8.918697,-0.32254517,-0.15611054,1.7567867,-0.29367706,1.9452595,-4.2446346,2.144499,0.12183931,1.5666577,FAKE
0.48417115,0.032652244,2902.9643872738275,2587.939968518162,5599.611594460227,0.14983575994318182,-314.964,66.13984,-12.855393,5.855575,-3.3218648,9.093183,-5.2450743,-11.1855955,-12.039954,-3.6216586,-4.88425,-7.4898987,-6.701155,-1.1417718,3.0365982,-0.16523089,-11.33565,-0.53960097,-2.1660254,-5.8010826,FAKE
0.34255284,0.09552231,2501.6664977402893,2276.631674709221,4360.228937322443,0.12947221235795456,-181.00485,85.638626,-14.472167,10.333068,15.068299,-3.3086889,-11.228779,-18.52236,-23.098063,-19.786736,0.51681286,-11.538297,-8.687243,-6.811191,-2.2738445,0.32911742,-12.852729,-7.817457,-8.893577,-6.490994,FAKE
0.392504,0.07069765,2556.1346321923434,2207.203805786985,4248.892489346591,0.14922540838068182,-213.95143,84.78893,-8.963504,0.29279172,7.6209736,-2.6981857,-9.48648,-9.410009,-14.0402975,-15.45603,-4.060592,-10.183799,-9.601447,-3.0174499,0.26768452,0.18803881,-12.899926,-7.0142484,-10.106388,-7.7204394,FAKE
0.42604184,0.051862158,2311.2967174059654,2311.1805452418043,4300.767933238636,0.1315585049715909,-263.90866,97.31666,-20.668213,3.491056,-8.463303,-3.3851547,1.7692819,-11.314696,-9.419925,-2.047373,10.623371,-3.4454763,-11.32744,-2.8773265,0.6915872,2.2659876,-15.711399,-4.7403784,-6.2298527,-4.300502,FAKE
0.48763287,0.008546072,2183.303273863947,2037.2381978833391,3951.3427734375,0.1248779296875,-323.39383,101.66956,-43.13879,-1.4362786,-39.44295,-14.380191,15.960233,5.905246,-12.699231,-7.271303,-8.156232,2.1571825,-0.76304,-0.9825464,-9.578419,0.67536837,-1.2199907,2.862211,-7.2903047,-1.9985183,FAKE
0.43608183,0.05829623,2622.9845359940127,2338.0456816375354,4646.52266068892,0.13910466974431818,-237.1269,74.82787,-27.373169,5.0851445,-4.7916956,-8.026026,-4.4262733,-7.1662602,-8.390662,-6.59886,-2.3792202,-8.011073,-3.1870432,-0.55142075,-1.235711,-1.8964913,-9.506588,-2.8160894,-7.340836,-6.6143107,FAKE
0.4981391,0.023572993,3240.123061705897,2710.9040038281137,6233.12821821733,0.19270463423295456,-317.88965,61.22731,-13.957386,17.56105,2.8161604,-2.3928835,-2.847345,-10.181318,-7.975411,5.4729505,5.537287,-6.4762707,-3.2162423,2.3130367,4.486319,-1.0545617,-10.132035,-0.115512006,-11.159728,-5.722664,FAKE
0.5149973,0.004569091,2672.5244907780752,2577.7486128921573,5531.586248224432,0.15234375,-385.8844,83.849434,-16.799788,7.6211705,-5.3686175,7.4051437,7.065658,-1.883402,-9.981415,3.939917,-2.8020456,-5.9934373,-8.580441,1.8242714,-0.16303033,-3.242794,-4.133037,0.51818514,-6.7497973,-1.1300774,FAKE
0.37689874,0.046090845,2353.34124179272,2534.524314218625,4524.419611150568,0.11714311079545454,-253.92032,95.040985,8.534048,9.253176,13.728257,-0.9286301,-10.887795,-16.483223,-14.346371,-8.351968,1.3814721,-8.157273,-10.04884,-2.49883,-2.5531418,-2.167308,-14.089987,-6.9036136,-6.2390027,-6.563681,FAKE
