chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.38548404,0.0061264858,3462.7796954320206,2450.8964817651945,5857.76533647017,0.23545143821022727,-472.3583,54.39484,2.5622854,11.78547,-7.420888,-1.1315488,-5.4227524,-9.21405,-18.031143,0.42160466,-7.199798,-3.9496062,-7.94471,-4.955777,3.3349845,-10.259266,-12.017917,-2.1168642,-10.199619,-6.933414,REAL
0.3601859,0.014503182,2906.8736852227603,2491.8380855966516,5641.943914240057,0.1476717862215909,-349.01932,67.61539,8.020358,13.9029045,-23.415895,-7.476208,-13.062506,-14.377329,-20.022303,-2.3269117,-8.528749,-4.2098575,-9.441833,-14.926294,-10.923283,-13.048276,-17.44445,-5.5700707,-14.978638,-7.666207,REAL
0.43708754,0.032177377,2701.1351826918212,2517.402275347477,5284.443803267045,0.12778542258522727,-318.33606,67.05964,-18.361065,23.25999,-10.921897,-26.794037,-21.05585,-20.77438,-7.695155,-6.219726,-10.7517,-0.0373019,-8.291449,-7.552895,-7.3984294,-8.946327,-12.23957,-9.95539,-11.582922,-10.820726,REAL
0.5040011,0.006349966,3321.217689984908,2710.8953785417943,6557.349742542614,0.19334827769886365,-328.3845,51.113297,-22.236431,2.678567,-21.644073,-4.910612,-22.040625,-10.051264,-13.030007,1.1817517,-0.78069234,-5.4865613,-11.220157,-5.632907,-10.813862,-6.1438003,-11.206864,-5.7587786,-8.694739,-7.282765,REAL
0.55671424,0.011421282,3601.792152134578,2639.6972704839345,6721.785111860795,0.2362948330965909,-245.55371,31.525293,-43.46903,-5.728726,-21.058062,-3.2305198,-20.710503,-2.6076562,-9.44175,-3.1294188,-3.0907385,-2.9039164,-11.0414505,-6.918688,-11.745722,-6.196971,-10.331326,-5.591146,-10.690729,-7.39803,REAL
0.659746,0.010376925,3462.5845625798956,2548.4412702866616,6383.86064009233,0.23216663707386365,-260.62976,36.296707,-44.75311,0.9492992,-14.990681,6.9631424,-19.631365,1.7714219,-8.585562,-9.988952,-7.8457065,-4.781282,-11.617799,-7.0298543,-9.068569,-6.666194,-10.604142,-5.5275574,-10.7449045,-7.6853757,REAL
0.26324546,0.03287315,2697.8046319108234,2533.6574804262614,5583.951083096591,0.09654651988636363,-273.95856,52.169693,-34.114536,1.9883977,-17.747805,-3.1313028,-23.964422,-11.316123,-15.06509,-15.043407,-15.732301,-8.7611885,-13.355777,-7.925934,-1.8466728,-0.12835082,-3.2993135,5.020051,-5.1688786,-1.986444,REAL
0.60019034,0.0028755488,3799.6636333736938,2890.5306938517047,7342.08817915483,0.23322088068181818,-398.09183,37.780746,-12.75798,4.231602,-7.802475,7.809775,-15.723634,-6.7918777,-10.470635,-7.3402867,-10.235412,-4.9094825,-10.530587,-10.702179,-12.588444,-8.856182,-12.631678,-7.212474,-10.16515,-6.753563,REAL
0.53531325,0.009863548,4422.675567695846,3098.667297351303,8163.286243785511,0.2716397372159091,-420.14172,20.453133,24.556658,12.3790245,4.3250866,0.9194324,-18.11557,-4.72048,-13.705963,-9.12158,-13.613406,-6.693266,-9.023236,-7.765175,-12.322234,-8.709316,-10.175981,-5.5345054,-15.256888,-9.747682,REAL
0.4030168,0.023179052,4891.514039825285,2709.9802160209374,7785.476407137784,0.32323109019886365,-325.3156,-0.7046259,37.180363,9.203121,-2.595697,4.9002876,-22.800402,-8.560525,-17.13071,-7.135631,-7.854096,-8.244345,-7.818735,-2.0148332,-9.452933,-9.286378,-11.779537,-6.1066804,-18.221077,-13.237579,REAL
