chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.43119448,0.035945352,2584.1645144775302,2365.842545326838,4494.566761363636,0.14377663352272727,-352.28604,80.30266,12.747687,8.017306,-5.0292387,4.5617976,0.11082658,-3.5031226,-11.152409,-7.9573345,-4.1349497,-0.15969352,-5.942674,-9.894617,-9.646583,1.8813081,-10.839927,-2.4473195,-3.8260527,1.8597691,FAKE
0.36993545,0.04268271,2400.795186894828,2393.8992564139307,4261.371959339489,0.12589888139204544,-294.33023,91.1389,29.718153,14.885421,-6.7003174,1.4164109,-6.733307,-1.0504531,-14.049054,-12.362207,-5.8188906,0.57107157,-9.421241,-1.8950578,-5.7202735,-3.1731963,-7.522102,-3.0091605,-5.031887,-0.29359943,FAKE
0.43816078,0.05547693,2731.3176876243706,2617.525624167804,5528.64990234375,0.1416903409090909,-302.9636,81.280785,-0.48864773,13.186267,3.6298606,-5.1940517,-19.606419,-16.189316,-12.466686,-2.4429004,-10.409096,-2.114252,-3.9639213,1.0669303,-8.833581,-0.779543,-6.2187877,-0.71866643,-3.558729,-2.4325414,FAKE
0.5072774,0.005684185,3489.6970847925954,2875.9310764099896,6977.981289950284,0.19622247869318182,-336.02527,54.530666,-1.9802047,4.320426,-25.763578,-0.28986052,-12.181134,-0.06828046,-10.72568,0.09841473,1.0991653,-0.16822077,-9.088215,-2.3925216,-8.000705,-2.4641526,-8.310594,2.0944865,-2.3528464,-3.5737984,FAKE
0.55280674,0.010886817,3521.5391609762987,2671.511860135773,6784.916548295455,0.22505326704545456,-251.12784,39.601334,-40.174923,-7.1968904,-16.690783,-1.4208097,-20.465307,4.4359164,-13.000995,1.678738,-0.5486222,-1.6061769,-8.740301,-4.950104,-11.036447,-0.4664469,-12.258991,-2.6166499,-7.624257,-6.063634,FAKE
0.65858054,0.011140048,3372.283032074252,2581.898778727862,6407.596102627841,0.22291148792613635,-261.10715,42.929375,-39.72553,0.46619928,-9.885986,9.502077,-20.114952,6.027176,-7.7873693,-8.073807,-5.5888977,-3.3116286,-10.118044,-4.1392307,-9.860156,-2.5008376,-10.175067,-3.8622231,-7.0752645,-6.451625,FAKE
0.26667127,0.1003809,1984.6287339585435,2345.166754205728,4159.333939985795,0.08436168323863637,-251.29115,84.747734,3.4935281,10.06386,-4.7080774,-6.2458615,-32.06045,-9.280995,-8.808163,-12.586681,-10.910961,-2.9954882,-18.494093,-1.7758508,-15.312268,-7.940438,-9.68823,-7.1109004,-6.493794,0.61654955,FAKE
0.61382806,0.0026501147,3935.1091348435743,2979.7365312774714,7637.925026633523,0.24480646306818182,-399.82666,37.854313,-3.1932373,6.6753845,-3.2268674,12.67721,-10.004637,-0.75668526,-2.273121,-4.9627533,-8.643318,-0.60750747,-5.5703235,-4.3805075,-12.455902,-3.3934882,-7.7450237,-4.421713,-4.5686727,-2.0324345,FAKE
0.5270698,0.036026068,3759.49803504212,2892.748522168254,7196.004971590909,0.24168812144886365,-364.89853,32.645424,19.073492,27.708158,-0.3917897,12.08637,-13.858689,-9.234817,-6.1780977,-8.859728,-7.4701953,-4.81004,-10.21952,-5.664557,-7.6157146,-2.2772815,-10.155922,-3.3996887,-2.9409943,-3.4179282,FAKE
0.38657245,0.07325511,3502.2160468562693,2295.9771553399714,5716.086647727273,0.22336647727272727,-245.30562,32.01122,17.59509,26.891003,-11.385122,16.088629,-15.727441,-15.061353,-12.87652,-10.68079,-10.796022,-5.764721,-12.78118,-3.947058,-4.195198,0.61435074,-9.6053915,-3.7009661,-2.2331583,-1.1003579,FAKE
0.37336788,0.08723368,2106.4910418319178,2236.270086334278,3991.472833806818,0.11304820667613637,-233.91237,102.0248,2.9156861,8.444909,-2.6064646,-7.881668,-15.153173,-11.674258,-12.983356,-13.180561,-7.7934985,10.804478,-7.8532853,-6.809193,-9.532723,-6.3966155,-11.628337,-2.8112252,-8.394717,-2.3493497,FAKE
0.3144692,0.099883296,2564.8592421389044,2063.498145351476,4187.963312322443,0.1619873046875,-229.7051,62.210384,-8.386797,13.5811615,-11.453556,1.7055442,-22.840425,-15.13501,-11.818195,-17.9972,-9.725964,-6.087802,-11.503788,-1.329189,-9.0693445,-3.2429802,-12.014779,-6.796348,-9.281595,-6.5443892,FAKE
0.56945807,0.03287904,4044.1546160477887,2441.150113458981,6567.871648615057,0.3265047940340909,-353.51477,4.7887497,-8.547534,29.776396,-7.4038653,3.1867378,-8.245047,1.7560233,-8.022576,-1.3447312,2.4534986,-1.7232448,-5.4975457,-1.5317506,-9.536994,0.24672085,-4.7431793,1.2638644,-1.2239472,-1.0381665,FAKE
0.38618237,0.046577178,2950.4260550451468,2388.349123665496,5202.470814098011,0.17561479048295456,-333.07056,61.089355,13.265512,21.247929,-4.894663,8.834899,-11.63235,-8.625742,-10.619742,-3.1340482,-6.078331,-3.1215708,-5.9568133,-5.61662,-8.543899,-2.512863,-5.837015,0.46845588,-4.4498076,-0.22175618,FAKE
0.45512703,0.06192184,2936.3766472827356,2396.4462146668916,5200.513250177557,0.18654563210227273,-301.71756,68.694405,4.041333,14.52436,-5.785007,-1.343195,-7.0929713,-6.8680816,-11.355511,-3.5673552,-5.0595546,-2.3308828,-8.091358,-6.1866717,-7.4391675,-1.7244849,-10.3133335,-1.492896,-1.2443814,0.24266325,FAKE
0.42201754,0.04965869,3386.2209182750853,2340.8807022201613,5706.054132634943,0.23164506392045456,-273.5717,35.08516,18.845436,32.961052,-10.266499,12.769788,-17.999708,-12.484693,-13.885888,-9.486617,-3.8602624,-4.097231,-12.56007,0.11476269,-3.7485747,-2.5050929,-7.707066,-3.266673,-3.3663218,0.83348334,FAKE
0.50612813,0.03164911,2876.8223022063326,2629.069790862533,5326.776123046875,0.18516956676136365,-382.45773,76.58391,10.912438,20.78878,16.350187,2.4540224,-10.620381,-13.393456,-11.351012,-0.8433388,-8.198926,-2.6099193,-4.011469,-3.685232,-10.182563,-2.8249457,-7.4528456,-0.10715747,-3.1632042,0.31249487,FAKE
0.3973689,0.05044392,2371.379133109664,2331.964893935335,4222.465376420455,0.13390003551136365,-261.8327,90.5639,15.161722,15.738954,14.878658,11.864884,-18.384148,-21.774506,-12.098817,-3.3222785,-10.39705,-6.6326847,-5.623568,-1.5944177,-8.750424,-2.9000425,-9.264595,-2.4033518,-8.881162,-0.20289664,FAKE
0.41017497,0.04340459,2805.0385258319266,2512.9736600595747,5215.194979580966,0.15797008167613635,-276.23434,61.22421,13.726456,36.45921,10.665922,0.292216,-17.246935,-9.983646,-8.330032,-2.508109,-10.944859,-7.5620556,-7.909816,-5.569939,-12.777105,-6.0469255,-10.257954,-2.542058,-2.3446367,0.7347517,FAKE
0.4844169,0.016383365,2998.5936856570897,2656.858020840599,5839.168479225852,0.181396484375,-372.55304,63.36726,2.9960487,12.947425,-2.872461,3.9133453,-10.2006645,2.6134057,-11.803991,-0.97378045,3.0815146,-5.352967,-8.971717,-1.5172589,-5.8843994,0.022204107,-6.5234084,-2.147193,-0.9062517,0.40576732,FAKE
0.5113938,0.06027873,3399.144650779493,2553.6307091053,6250.256902521307,0.2331875887784091,-277.947,42.053905,11.398904,27.610271,-14.483176,7.1687455,-11.459634,-9.48609,-14.916256,-10.274044,-9.41909,-3.032431,-4.2267566,-3.7990847,-6.725679,-1.9823178,-7.856143,-1.1838657,-2.5510778,-1.2023015,FAKE
0.30469435,0.11375486,1485.286898805275,1997.4452696530884,2666.9361461292615,0.07340864701704546,-238.56119,126.58252,11.339575,7.7617626,-4.180895,-10.542049,-11.676032,-15.241806,-21.0459,-1.5096799,-18.063313,-5.466822,-10.129487,-9.308195,-8.13993,-1.0689486,-13.552478,-3.2580857,-9.733842,-1.3941343,FAKE
0.36113462,0.057782378,2038.5148962428095,2149.4559078098637,3587.4805797230115,0.10798783735795454,-264.4181,110.62869,14.853201,4.5210342,-6.298024,-2.6326451,-14.569208,-4.975212,-8.888425,-7.850879,-5.485154,3.1924682,-9.395573,-9.760423,-14.080059,-4.4500575,-10.869373,-6.0569873,-7.4313965,0.14627108,FAKE
0.44334012,0.03432672,3221.6984617393896,2814.6595953261763,6625.375088778409,0.20429021661931818,-345.1222,61.771523,-9.114293,5.0986843,-1.4783486,0.59684175,-9.398307,-5.6707616,-10.648309,-0.28741193,3.415354,-3.3088174,-11.493615,0.3275129,-8.239989,1.1231055,-5.823233,2.076009,-0.68434596,-3.2417054,FAKE
0.3382095,0.056982454,2204.0076157988497,2364.0679439261035,4229.072154651989,0.12007279829545454,-327.35645,90.88994,18.214802,16.999672,-12.959341,-2.485285,-2.0852447,-3.756132,-10.263908,-1.9233906,-5.317785,-10.712722,-8.464603,-3.6656578,-10.280853,-8.614529,-8.288153,0.8531123,-5.8554454,-3.955172,FAKE
0.41832465,0.06900683,2612.655583342236,2492.2676402958464,4943.827681107955,0.13798384232954544,-305.26907,88.56441,4.8713613,10.977775,3.5412788,-6.6874194,-12.191733,-7.1732697,-12.799728,-6.3798385,-5.8074107,0.99520034,-3.3005388,-7.5885177,-7.9444737,-2.6316407,-7.7229877,-1.0391773,-10.164872,-3.6649337,FAKE
0.32521623,0.08239772,1840.921815639664,2138.0162793875897,3470.760830965909,0.08144309303977272,-272.94016,102.600655,5.889976,28.475317,18.907318,-2.6160147,-25.178682,-18.37198,-10.575227,-0.72742325,-12.46474,-7.548079,-3.0662072,-8.267179,-12.175364,-5.3885913,-11.044688,-3.9675665,-4.9979258,-4.181039,FAKE
0.47458053,0.0025237666,3755.12451535229,3060.217669906396,7570.878462357955,0.21633078835227273,-451.15564,46.159912,20.291634,19.607077,-2.461155,9.84883,-11.110625,-5.5819635,-10.33643,-1.0831758,-2.8211453,-3.208448,-7.1571293,-2.2228296,-6.966403,0.035900693,-5.773959,0.5059512,-3.2175362,-0.74084413,FAKE
0.357758,0.11329028,2521.6651477430796,2240.7546452385072,4497.747802734375,0.16753595525568182,-234.68068,87.7687,-7.065425,-2.5031269,-13.613941,-2.194527,-10.611121,-16.572802,-10.541646,-4.4535403,-7.406956,1.3974346,-9.610878,-11.870213,-7.9944844,-2.6437721,-10.129973,-1.8592956,-4.2452083,-0.79846805,FAKE
0.31256694,0.07037221,1585.6025508700086,2162.496290324219,2386.025723544034,0.07649369673295454,-283.51813,123.8238,37.07222,6.6490855,5.873137,-3.1943495,-9.821707,-9.450799,-16.147184,-8.666564,-13.686378,-4.8838143,-5.219082,-1.496059,-9.100814,-7.8410497,-11.212922,-0.84039134,-8.546703,-3.3042943,FAKE
0.39078367,0.06009749,1936.2474612984106,2056.6310133435577,2980.3910688920455,0.11058460582386363,-233.81825,124.64372,5.654928,-12.431256,-4.918775,-1.8916442,-2.0451775,-1.2479901,-8.613166,-6.757513,-9.5935335,2.777606,-4.463301,-9.260114,-13.349499,-6.4159713,-8.446219,-2.9536757,-6.661107,2.634916,FAKE
0.37641746,0.066975884,1813.380188020484,2279.9733565382867,2887.1620871803975,0.08561567826704546,-285.41055,119.16,32.344456,-4.4947815,3.7998605,-0.945829,-4.1657443,-4.3222537,-6.976479,-0.0485539,-5.0777683,4.5731764,-4.176298,-0.5622557,-8.880066,-4.685831,-7.899834,4.2908015,-6.0848384,-0.24767217,FAKE
0.32516813,0.1298086,2065.835139423362,2062.651189209939,3388.543146306818,0.10960804332386363,-196.52293,95.52004,19.967894,25.901655,-8.840303,2.1351514,-7.220052,-8.71942,-12.80249,-4.8355317,-20.957186,0.6623891,-5.8482056,-7.5011,-3.608353,3.795723,-13.732846,2.4267733,-8.635698,1.6075196,FAKE
0.31556627,0.07834058,2004.1834027373552,2119.737248971214,3118.8887162642045,0.11760919744318182,-231.83105,109.76939,22.1406,6.68607,3.4142387,-1.0851469,-12.808224,-10.996385,-8.741111,-7.440655,-14.072192,-3.0135381,-1.8371648,-1.0152023,-8.506354,-6.082179,-9.976146,-3.9981432,-12.92355,-2.4879696,FAKE
0.5684474,0.0043092514,3123.7118577779734,2809.2415766890404,6365.508478338068,0.18878728693181818,-370.5067,68.20162,0.81641674,17.242165,-7.9091845,5.3372197,-9.452018,-6.351065,-13.1777315,-0.7114054,0.19459315,-1.5828786,-6.110382,-1.3580074,-5.762556,0.40080774,-6.5125413,0.35120726,-4.3420534,-0.03319266,FAKE
0.45870405,0.047189258,2441.500637778473,2349.5484570186645,4345.791903409091,0.14408735795454544,-271.37964,87.095856,7.7381916,12.161661,-5.511422,2.047423,-11.595625,-7.7912526,-7.734862,2.6206734,-0.22162972,-3.92889,-9.065728,-5.286377,-7.570702,-2.6670303,-10.600097,-5.159754,-2.0331986,0.42486945,FAKE
