chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.37918103,0.008197801,2754.2933805421458,2299.847710717739,4692.036021839489,0.1742831143465909,-493.32587,86.346794,5.876337,-0.26051027,3.6861656,-1.6908062,-17.56544,-6.736003,-17.628736,-3.1225479,-9.337472,-5.203866,-9.830507,-6.909297,-6.8782682,-15.049152,-8.974178,-0.055884972,-7.9658813,-0.60069215,FAKE
0.31901282,0.010833903,2434.919931706548,2294.242862150771,4474.991122159091,0.1420565518465909,-446.86453,97.96076,8.197259,-1.609475,-9.436616,-12.370324,-10.666553,-17.196638,-20.79643,-3.580922,-15.009971,-3.086509,-13.00335,-6.942091,-14.747329,-13.917937,-13.568444,-5.7607126,-9.510672,-0.057381544,FAKE
0.35168672,0.014420486,3310.3300120920508,2386.374696033503,5792.921031605114,0.2114590731534091,-470.6959,57.427578,-10.502706,8.0916,-9.559017,-19.247812,-29.742739,-17.83536,-9.356938,-7.391284,-14.0207815,-0.32339212,-7.4288316,-6.511974,-12.576266,-11.4702215,-16.687977,-2.245024,-13.068744,-1.1888106,FAKE
0.48953974,0.0052744304,3737.714158918944,2848.395487545527,7161.258212002841,0.2113037109375,-373.3039,40.99976,5.44454,-0.75438577,-47.604992,-8.381753,-5.414535,2.622121,-14.13227,-1.9744861,-2.1026475,-4.4570346,-9.953831,-2.1572075,-16.644567,-13.533909,-10.833149,5.23558,-6.3159637,-11.14486,FAKE
0.54641217,0.010801138,3496.107674746694,2662.976320367811,6753.350830078125,0.2224454012784091,-254.09352,38.845387,-42.93868,-9.667954,-18.54498,-3.9168856,-22.797905,2.7106893,-15.676217,-0.23010755,-2.8040633,-3.8792336,-10.5613165,-7.268128,-13.239556,-2.0516517,-14.782493,-4.30816,-9.601538,-8.251104,FAKE
0.66003495,0.009940143,3328.160655048369,2532.204662803524,6284.269575639205,0.21738503196022727,-268.26688,42.7723,-46.11516,-1.4592777,-12.626812,7.9379897,-23.297144,4.6850133,-10.793244,-9.914492,-7.4778295,-5.0601935,-11.364086,-5.7420897,-11.502567,-4.0220013,-12.599164,-5.902529,-9.316224,-9.133605,FAKE
0.2360379,0.025764458,2415.112525695084,2363.7401814499967,5089.910888671875,0.09394975142045454,-320.53836,67.17724,-35.971786,-5.430078,-3.0352669,11.706208,-36.460896,1.6499107,-9.684862,-15.510075,-12.588688,-8.12701,-16.305016,-1.0400466,-13.153858,1.7585915,-0.9192658,-2.2449434,0.5753637,3.8239877,FAKE
0.59260356,0.002488023,3794.1760814678814,2962.895672651813,7527.322665127841,0.22798295454545456,-414.0842,40.531357,-8.9469185,-0.4589038,-4.336277,7.921132,-15.528046,-3.710749,-5.757629,-9.912027,-13.671613,-4.204378,-10.099421,-9.351454,-16.672157,-7.638959,-12.068096,-8.360983,-7.12067,-6.281946,FAKE
0.48349953,0.008813608,3676.639540559096,3056.3076074116475,7334.992009943182,0.21734064275568182,-447.42902,45.562683,22.943567,9.386123,2.4475794,-0.57454133,-23.024818,-1.4205581,-14.806762,-6.0849895,-14.316288,-3.8620348,-10.6341715,-9.033012,-14.299726,-10.199594,-9.900257,-5.6923685,-9.712134,-7.837076,FAKE
0.35473967,0.013373697,3517.0725313432704,2436.511210769123,5688.925448330966,0.2337646484375,-412.9031,54.739098,24.623436,6.054962,2.6280763,-0.0037151685,-29.89928,2.5054848,-16.521914,0.59280133,-14.407239,-2.8293676,-6.5241933,-6.037991,-8.093591,-15.259277,-10.050924,-3.9027467,-7.682066,-6.722494,FAKE
0.22425082,0.023937678,1988.1734773462865,2015.217567259773,3720.3502308238635,0.09048739346590909,-388.13278,105.56238,-19.537336,-0.23389205,-11.0629,-25.730352,-19.172016,-19.635487,-19.390875,0.40282014,-11.0898,-1.0356712,-13.008468,-10.284394,-1.4437547,-19.816996,-17.379238,-3.110797,-7.339816,-4.291569,FAKE
0.22991545,0.02320298,2561.7075215565,2084.9334852218294,4278.99003462358,0.1514004794034091,-387.88058,67.8208,-8.749855,12.30351,-13.973013,-23.981752,-25.24436,-14.923566,-24.405901,-4.6922193,-18.337585,-10.784531,-16.00406,-14.372356,-10.9134445,-12.216595,-2.964396,11.895404,10.730797,14.196338,FAKE
0.49641868,0.009308423,3222.9894656908787,2236.3969921832263,5728.076726740057,0.21916060014204544,-476.57117,47.258133,-23.017351,21.313917,-20.985624,0.12298116,-14.518643,-4.633943,-11.453891,0.8752372,-14.058468,-2.1601598,-2.5621195,-8.869632,-5.249496,-10.416914,-8.942658,-3.6611373,-2.876298,-6.2066817,FAKE
0.31254613,0.00832871,2490.4732741390076,2219.1617025683404,4641.13935990767,0.12113813920454546,-505.10446,89.10587,-4.858879,8.320249,2.5662432,-5.9993687,-26.083345,-10.717221,-12.15512,-3.6722145,-11.05281,-1.0716709,-12.00177,-8.28539,-7.8772106,-14.734278,-8.806286,-6.272037,-3.3891275,-5.9588184,FAKE
0.35417476,0.012573618,2499.923349969502,2141.2485084911277,4405.742298473011,0.1434326171875,-460.88303,86.38514,-8.450601,5.664704,-7.722392,-11.435976,-16.886026,-9.922561,-17.68208,-0.61980325,-15.382308,-3.68238,-8.444066,-11.424926,-13.056012,-17.451946,-10.988701,-6.2237015,-3.9675689,-5.3806186,FAKE
0.3540349,0.007985896,3773.198479893452,2401.953153535733,6145.771928267045,0.26939808238636365,-426.84024,47.653004,17.413456,12.2525425,-6.295304,-1.7063134,-32.973885,-5.145074,-20.23688,-1.513338,-16.376654,-4.7812443,-5.897394,-6.463363,-12.08997,-12.63173,-10.276618,-1.28635,-10.516331,-1.2646766,FAKE
0.4360667,0.0084058335,3005.639525926259,2461.912854675931,5481.913063742898,0.20033957741477273,-470.14297,69.39036,-2.0371556,22.852846,-1.8832783,-10.500874,-18.881554,-10.548051,-19.940807,-5.6139402,-14.419657,0.9584633,-13.091116,-10.9181,-16.3192,-8.3628025,-13.128516,-1.4833083,-6.518909,-2.2857363,FAKE
0.3590269,0.0117196655,2271.7895623570525,2184.3895020489053,4164.472545276989,0.12148215553977272,-420.87762,97.91618,-0.49832413,10.083707,5.89034,-13.153118,-33.036556,-11.940685,-16.358778,-6.64729,-18.230478,-3.9486535,-10.243709,-10.988735,-9.518612,-10.328098,-20.374876,-0.58721644,-8.229307,-6.686998,FAKE
0.31115028,0.0117133465,3009.7212721252176,2541.6678365253233,5429.792924360795,0.16890092329545456,-430.38718,62.965736,17.073872,19.420849,-0.4872932,-14.282608,-19.773703,-5.526979,-21.196747,-1.723413,-18.899992,-3.8596544,-15.467869,-15.286978,-16.220905,-14.878653,-16.778013,-4.1725993,-8.176739,-2.6117005,FAKE
0.41916442,0.006280121,3389.1046877480167,2887.6919598874474,6601.394930752841,0.19300426136363635,-459.37585,53.308483,9.765503,-4.159544,-9.659049,-7.788126,-17.594717,-3.3326156,-15.5873575,-2.7073476,-7.208827,-9.039015,-5.118999,-5.937502,-13.108039,-6.618198,-15.697528,-5.990704,-3.0420387,-3.9346404,FAKE
0.41701195,0.007959727,3728.456727660159,2788.1690754879805,6951.798872514205,0.25352894176136365,-408.63907,44.04867,14.760024,3.1186063,-14.755497,-1.4963932,-25.044807,-5.3161845,-24.622643,-4.9045825,-9.881641,-6.0973287,-11.17651,-8.435803,-10.329914,-11.026384,-14.284493,-7.4651318,-6.1279597,-0.6867494,FAKE
0.2348082,0.019844098,1659.9038280571183,1962.4104327422212,3187.8928444602275,0.058416193181818184,-390.31766,107.97059,-25.826027,3.5943856,-7.0356765,-23.669264,-16.505785,-15.836139,-22.307499,-0.96130127,-17.862019,-3.3025515,-11.057384,-12.140552,-9.778044,-14.040796,-18.32354,-2.4652255,-14.010433,-6.9494143,FAKE
0.32461798,0.01010808,2548.414950766805,2357.5167205845883,4708.430619673295,0.14307750355113635,-407.3639,94.07093,-0.94016147,-9.896089,-6.0812454,-13.291088,-22.278158,-2.955046,-15.68486,-0.45186484,-8.287052,-10.040985,-18.642647,-8.400028,-18.096966,-13.8351755,-21.274488,-1.2749104,-3.494874,-5.1965876,FAKE
0.4632399,0.006558581,3937.178719960269,2874.769805169727,7471.532093394886,0.2893954190340909,-459.80612,37.495213,-13.157128,3.0634997,5.4473906,1.3604726,-16.6382,-7.0535846,-7.3145876,-0.9870238,-6.7557554,-0.6536235,-11.718091,-2.4419699,-17.854641,-16.015364,-21.450676,-3.4085646,-1.8835601,0.38647833,FAKE
0.35635054,0.016603695,2349.0046216539854,2568.5931426774046,5050.759610262784,0.11209383877840909,-447.59668,96.11883,4.784921,7.481376,10.234439,-9.687651,2.3644373,-4.6926694,-2.257418,4.9104414,-9.323021,-2.0477579,-7.5261264,-12.28274,-9.119703,-19.393187,-16.450788,-8.286851,-6.4591217,-1.684462,FAKE
0.37096566,0.01789164,2573.2442299418976,2334.02315436674,4925.964910333807,0.12482244318181818,-420.03763,86.91015,-13.21832,9.289446,-7.3395815,-18.638975,-12.597327,-13.124329,-17.967619,-5.7167554,-10.11233,-3.9381063,-5.816532,-10.340671,-7.985466,-12.323126,-13.927826,-5.5286427,-9.512798,-6.780176,FAKE
0.24472375,0.015868725,1996.8464859740548,2114.6331649804074,3898.977938565341,0.08359596946022728,-433.90353,93.68078,-14.59552,23.114302,1.6431994,-19.667574,-30.373554,-12.462161,-11.522666,-13.501594,-12.164992,-8.201528,-11.36434,-11.792953,-9.018711,-12.939872,-18.440758,-2.102911,-9.471078,-1.5151485,FAKE
0.41772166,0.0014004415,4145.260123374064,3081.214066418476,7881.88643022017,0.24134410511363635,-505.84735,37.09987,28.644316,7.724977,-21.34381,8.498965,-10.926685,-14.985568,-23.036108,-2.262744,-3.7142103,-13.831806,-13.964679,-5.0814624,-12.108799,-0.5469663,-7.9499164,-5.055054,-4.7909923,-4.8127437,FAKE
0.3518841,0.021734066,2612.453577001931,2155.6242238762356,4589.753306995739,0.16400701349431818,-384.453,84.55017,-21.552818,-7.9585185,-16.128748,-18.152632,-22.280134,-11.160239,-17.775812,1.602071,-12.687331,-4.65772,-6.818086,-14.701193,-10.387783,-16.520649,-12.740707,-2.166925,-8.522101,-3.097206,FAKE
0.25247797,0.01626347,1681.4747161346293,2110.3784735140525,3110.324374112216,0.06885875355113637,-411.01663,112.13005,2.0067747,1.5407097,-8.339898,-19.277893,-16.254372,-20.70356,-17.637815,-11.402324,-10.462709,-10.135818,-7.91263,-13.225124,-11.580731,-8.916294,-17.664324,-3.1017585,-8.955791,-2.9937165,FAKE
0.30276144,0.012718611,2062.4800144133787,2122.088522575958,3553.7126020951705,0.10076349431818182,-382.33524,112.13122,-12.708783,-14.704318,-3.8587418,-17.593037,-12.960592,-10.391688,-13.8693,-5.7638187,-9.263801,-5.357517,-10.545335,-13.051591,-15.780035,-11.345249,-22.466457,-0.57830954,-4.268564,-4.042948,FAKE
0.29297307,0.020005299,1293.3215105133656,1890.2571673448058,2246.7939897017045,0.0362548828125,-424.1699,128.28075,19.875942,12.849872,7.6458054,3.0459793,-3.2496986,-3.2610726,2.4224708,11.052773,2.544359,3.594058,2.4643464,0.008094923,-6.5775223,-1.9276258,-13.483974,0.4607791,-3.51907,-2.3131573,FAKE
0.24653183,0.027133988,2146.0510847953815,2133.7521836413666,3699.0617231889205,0.0826416015625,-364.56525,100.861664,11.94519,18.013443,12.156632,1.4338099,-5.512331,-0.62512994,-12.010794,6.8782244,-0.44258574,12.501571,-1.8289021,-2.2943945,2.8313818,-15.459427,-5.243555,5.6586623,-7.9297853,-2.3583522,FAKE
0.29993746,0.020538192,1858.9088674377638,1746.2760760989127,2934.8777077414775,0.11122824928977272,-400.20178,118.93273,-1.7393886,6.7496033,1.4539874,-12.563352,-17.99338,-8.897486,-16.056908,-8.286248,-12.200446,-1.0089562,-7.06066,-10.08443,-10.071468,-12.363101,-15.244651,-4.245321,-3.854065,-4.4520535,FAKE
0.4893504,0.0023430097,3637.151827972938,2608.314457406343,6558.328524502841,0.2459716796875,-451.49753,22.937605,-15.957474,16.737516,-36.754044,-25.828276,-27.896803,-10.536286,-18.106316,-12.384204,-16.824745,-11.613149,-4.7518125,0.58690065,-12.451309,-12.6343355,-18.205156,-4.736269,-4.693677,-3.9134748,FAKE
0.39926183,0.017435785,2351.5499078582757,2137.0176389601174,4159.578635475852,0.147705078125,-398.94885,95.50346,-0.7790569,5.3606486,-7.5639663,-8.399758,-12.506474,-4.85318,-4.8079114,4.1493344,-13.816,-2.5638895,-6.239603,-6.6608167,-12.06421,-17.637182,-11.412431,-5.9252443,-4.463663,-0.37463796,FAKE
