chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.3961648,0.0072417627,2480.495161910427,2253.0104069067324,4578.986705433239,0.1482266512784091,-495.35046,91.72725,0.5919445,17.550198,5.761438,7.859218,-3.287366,-7.8068805,-10.989319,-5.292271,-4.1139703,-1.0404829,-2.4811547,-4.164246,-4.7060275,6.750162,-4.829614,-7.3899093,1.7180902,0.70065606,FAKE
0.38736516,0.008309264,2149.7298820457936,2216.332641815577,4358.271373401989,0.11500133167613637,-449.27814,110.209816,6.050366,21.663572,1.333036,-2.7872186,0.43101758,-6.793095,-13.826547,-8.270334,-3.2537484,7.201376,-8.798339,4.1982884,-6.561545,5.8398,-8.488035,-6.8948054,-1.1265326,1.8994209,FAKE
0.44485685,0.012857356,2901.3233873088043,2486.54320189053,5751.322798295455,0.1559170809659091,-439.95215,90.41385,-8.849257,14.146305,6.0976834,-2.4586546,-15.030435,-12.524298,-6.6594005,1.4789373,1.8569686,5.4008136,-0.2979765,5.209087,-8.714657,4.3567686,-10.045993,-1.414605,-3.7746413,3.4082544,FAKE
0.49169448,0.005314818,3608.7024023485487,2874.036465560659,7078.061745383523,0.2048672762784091,-360.3702,51.509293,6.700084,3.7694895,-37.656868,-1.5604599,-2.8008292,4.579602,-12.87815,1.1872693,6.7752,3.8194137,-9.915773,-2.5547884,-6.9777756,-1.6097183,-9.073474,2.5957868,-1.6360623,-2.6850874,FAKE
0.55142295,0.0107978545,3492.3876055355595,2665.1919590030298,6753.595525568182,0.22101384943181818,-252.83145,40.754887,-41.098534,-7.8984785,-16.517027,-2.0719676,-21.020912,4.5517898,-13.834269,1.606167,-1.0349298,-2.1745868,-8.833058,-5.481128,-11.55498,-0.3204274,-13.036566,-2.561911,-7.8887606,-6.622431,FAKE
0.6596918,0.009928972,3333.7256169423167,2534.63630936213,6285.982444069602,0.21781782670454544,-267.50314,43.4609,-44.92027,-0.05168984,-10.870344,9.648553,-21.136745,6.437727,-8.957232,-8.331224,-5.903595,-3.655081,-10.027253,-4.6545653,-10.459826,-3.2760274,-11.74732,-4.813621,-7.9899693,-7.666557,FAKE
0.2634749,0.015357811,2606.7395082414446,2443.832786233835,5575.142045454545,0.10391512784090909,-325.15015,69.14316,-32.245125,1.3020258,6.578052,17.410004,-33.238117,6.92187,-7.82303,-12.102136,-6.164397,-4.7152452,-10.649853,3.7753112,-17.837635,-2.2288027,-10.693561,-13.244629,-4.095628,3.007808,FAKE
0.5962746,0.0024950963,3766.778565971583,2971.3095735813654,7513.619717684659,0.2271395596590909,-411.35077,44.17276,-5.6081576,2.5501697,-0.7109156,11.216597,-12.47663,-0.65407807,-2.956542,-6.9604855,-10.30617,-1.432436,-7.2551665,-6.301286,-13.849157,-4.714535,-9.127891,-5.949361,-4.6645174,-3.7097673,FAKE
0.51266193,0.0074991253,3412.9855948605527,2907.954961412399,6960.852605646307,0.2040682705965909,-448.68347,47.993725,14.204517,22.636904,0.74246526,12.228639,-10.561629,-6.8089223,-8.489964,-5.7879143,-6.838474,-2.7623174,-9.1451235,-5.9634356,-9.445699,0.3153696,-9.325903,-5.5272427,-1.4212966,-4.1443963,FAKE
0.3873387,0.010094601,2917.9296879283647,2223.3719588218196,5117.806174538352,0.16966663707386365,-431.24753,68.815125,3.6387773,24.723616,-0.072253875,12.171539,-5.412044,-13.095577,-11.856146,-3.9151542,-3.2492068,-0.84650666,-7.765862,-2.7971132,-1.6047591,4.567112,-5.759152,-6.83938,-0.99539655,-1.1072215,FAKE
0.3119089,0.013958455,2026.9664994680481,2031.040534067427,4157.376376065341,0.09669078480113637,-414.9119,119.39908,-22.52381,23.449797,4.9695563,-14.948432,-7.1410246,-10.033826,-17.3123,-7.352672,2.124395,6.8686523,-2.7041569,-1.8659419,-9.917583,3.5561454,-4.9114947,-10.55138,0.630672,-2.2261548,FAKE
