chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.41534474,0.033821464,2415.34080896171,2202.709179109656,4463.49043412642,0.1279296875,-368.56888,88.53739,11.414883,14.059661,-6.7691774,13.554837,-5.7481847,-1.8276404,-7.221593,-12.024231,2.0740314,-2.6763847,-8.645543,-4.980065,-10.029438,2.7986696,-4.204974,-3.3328726,-1.242034,1.6895294,FAKE
0.37187704,0.040334,1870.2872501001148,1980.8162324425787,3373.6167214133525,0.10009765625,-311.8923,122.50827,16.869606,15.661976,-9.740475,0.7169586,-11.737034,0.79715693,-10.680349,-6.8439713,-4.2770143,0.6598998,-4.781689,-2.4208632,-8.815388,0.84882563,-7.3761935,-1.1950618,-5.6769977,-2.2863815,FAKE
0.43598518,0.05661033,1974.460191486401,2288.148764253096,4480.863813920455,0.0799560546875,-318.50226,110.60984,-3.948799,16.256657,3.8439257,4.4481897,-24.432823,-16.801237,-7.728926,-0.22674274,-2.52088,-6.4886384,-5.217675,4.856335,-7.9566727,2.5198388,-5.5659103,-0.58053917,-2.7535284,0.69399035,FAKE
0.52831304,0.0056614247,3306.0380458415852,2872.0606575971938,6796.661931818182,0.17969859730113635,-345.64474,63.00712,7.4078307,8.444469,-26.103731,5.040817,-3.87109,4.407448,-8.919633,4.161624,6.241812,3.22485,-7.9871306,0.55132955,-5.4557047,-0.9065779,-7.1052456,5.054399,-1.2116915,-3.8984938,FAKE
0.5470426,0.010823182,3481.414011489991,2666.833752322366,6744.297096946023,0.21884987571022727,-250.41534,44.020126,-37.848537,-4.6543593,-13.47972,0.98491484,-17.979488,7.4718003,-11.003021,4.3171606,1.643443,0.39726374,-6.4493318,-3.176068,-9.235321,1.9182525,-10.937016,-0.56650764,-5.922262,-4.748882,FAKE
0.66708976,0.010448938,3283.8557302652775,2545.8156207320603,6262.981068004261,0.21477716619318182,-262.334,48.645958,-40.001377,3.2078545,-8.251952,11.749951,-18.489525,8.645621,-6.339028,-6.062418,-3.82121,-1.704995,-8.262791,-2.7512724,-8.078207,-0.9857941,-8.930764,-2.2370405,-5.6570954,-5.710076,FAKE
0.255445,0.08674615,1621.5798341616166,1979.347222538627,3157.7952991832385,0.06630637428977272,-270.09885,107.55979,-8.314398,9.67208,-8.186901,1.1717772,-35.305367,-3.1544516,-6.740398,-12.349957,-9.289639,-5.485671,-11.362733,-5.141854,-12.913024,-3.4354827,-11.277095,-6.437421,-3.3868692,-0.86853594,FAKE
0.5884862,0.0026096546,3691.1712308371702,2976.6457842648183,7429.199773615057,0.21832830255681818,-405.29684,48.995,-0.49712276,9.502721,2.9272897,14.477139,-7.4056478,2.9097261,-0.32591876,-3.4926355,-7.7392426,1.1004237,-4.4340854,-3.203488,-10.848403,-1.7357548,-5.832449,-2.520875,-2.5865538,-1.2823921,FAKE
0.52339345,0.022473661,3883.6340778278386,2931.100046449076,7457.095059481534,0.2300137606534091,-379.31494,39.07499,22.000679,18.506262,2.44083,15.923481,-12.974766,-4.9487033,-4.847732,-3.5729265,-5.8999224,0.3512408,-9.008619,-5.6978164,-11.261206,2.8593976,-4.605836,-5.3719897,-3.0680444,1.0530149,FAKE
0.40463454,0.05453747,3588.825773776603,2268.0282177572685,5724.650989879261,0.2229891690340909,-268.65475,39.931583,24.34289,17.53661,-6.826914,22.545961,-14.64717,-10.591109,-10.288204,-3.3452032,-8.319729,-0.40096223,-11.032836,-5.955155,-8.7876425,0.9394186,0.5545268,-2.6476073,-3.1663141,3.493657,FAKE
0.34786826,0.06653783,1736.55679074536,1939.0551631020119,3105.6751598011365,0.08455033735795454,-267.13052,122.711555,-0.7408096,9.62114,-3.5795639,-1.2635907,-17.70413,-10.555144,-13.760614,-9.562472,0.33536682,-0.6904219,-3.009597,-6.4410825,-8.992794,-1.3194844,-8.789333,-1.8415382,-4.286781,-1.1239133,FAKE
0.29690844,0.08752,2534.67258026387,1932.316711426235,4226.62519975142,0.15128950639204544,-234.1001,75.61778,-11.514047,22.716255,-10.020151,2.3614821,-21.581633,-13.240842,-11.405929,-3.7114408,-9.692975,-4.1093063,-7.667952,-4.8443255,-9.36943,0.34216115,-7.199175,-3.5479987,-4.68169,-4.210475,FAKE
0.5278353,0.041958462,2771.76391487295,2275.5958980350138,5292.51875443892,0.16930042613636365,-358.60608,53.987526,-18.183275,26.759943,-2.0030177,-1.0515326,-0.8535868,5.5698586,-2.6396682,-3.6076891,3.2230718,2.468694,-3.727968,-3.159133,-5.739971,0.043794457,-2.4154084,-0.4937992,-1.2206024,-1.8259003,FAKE
0.44174027,0.03399308,2447.332204008598,2189.106322948843,4517.078746448864,0.10722212357954546,-358.28445,82.966484,4.3121777,19.895536,6.1195035,13.501169,-6.632573,-2.8251932,-11.35211,-4.056898,-2.7437153,-0.7790653,-2.9042704,0.5294215,-7.145052,-0.4470553,-3.6036093,-0.11885896,-4.6485972,-2.4861991,FAKE
0.46844536,0.049911093,2297.1260530508753,2121.49347358129,4262.84013227983,0.12517755681818182,-321.35385,97.78902,5.2083526,13.768402,-7.3652067,-0.09849644,-10.59529,-7.910751,-10.440438,-0.65897137,-3.5743933,-2.8410254,-5.8178897,-2.292542,-7.3712893,3.44743,-2.480591,-0.98112893,-2.8299463,-0.2759781,FAKE
0.48576215,0.038912136,3290.7308324856976,2256.7042188542,5529.873379794034,0.2243985262784091,-284.70032,54.302067,14.811898,23.501703,-9.812934,13.987451,-15.36152,-8.064811,-13.922602,-3.2659461,-3.0648177,1.1830652,-9.179269,-0.32904193,-5.441775,2.3069437,-4.705328,-0.39772484,-3.0093162,0.24005426,FAKE
0.4729881,0.027111216,2323.8097664743696,2432.924070376473,4799.702037464489,0.11137251420454546,-405.96912,99.52469,16.994997,24.07832,9.110882,10.765789,-8.833083,-8.042084,-12.726312,1.5730866,-4.0657506,-3.8897803,-3.5424256,-4.046371,-9.41665,2.9521844,-6.4304867,-0.3813782,0.30416676,-1.4905896,FAKE
0.38649192,0.048128676,1949.3187648373462,1930.1878905563085,3556.4042524857955,0.09595836292613637,-281.8259,119.13748,0.4494693,15.958209,6.228832,8.498177,-19.331106,-14.824701,-17.670025,0.5025478,-5.9672318,-3.6104858,-8.018762,-3.1079605,-8.746046,2.9158204,-5.745963,1.1551995,-7.136621,-1.8072877,FAKE
0.39633444,0.031727627,2572.893323090555,2289.064923074233,4789.180131392045,0.1346435546875,-298.77222,82.577225,9.805315,27.957293,6.6485305,7.122743,-18.59711,-7.866888,-5.5351014,1.2608865,-10.069863,0.46424025,-9.1904745,-2.8782222,-7.5817037,-0.7212217,-7.1884885,-1.9427644,-4.634299,-2.4347272,FAKE
0.4828969,0.010288746,2712.89337343673,2709.91221833236,5620.655406605114,0.14141290838068182,-408.46,87.2902,17.986614,10.488062,7.6970677,6.298401,-9.884582,9.176688,-10.877936,0.8027586,10.576344,-0.8443121,-2.8272648,2.9414177,-4.987013,0.59056354,-7.516957,0.53568804,-2.1810265,-2.6177545,FAKE
0.50674915,0.03994548,3466.0466927610064,2695.65234754973,6624.641002308239,0.22206809303977273,-297.88562,50.354,18.088581,16.290686,-7.9966097,11.881698,-10.394878,0.9404564,-9.839509,-5.7243114,-8.986108,-2.4501855,-4.9900136,0.39515677,-5.617404,-3.5713189,-5.1208014,-3.7527916,-2.4925492,2.2020464,FAKE
0.30628332,0.09548907,1265.0971038033354,1647.389094477611,2212.53662109375,0.0555419921875,-251.65523,146.19633,-9.682652,6.7145457,-4.428514,-1.5986174,-22.4731,-17.40038,-16.382053,-7.007356,-4.409546,-6.9543276,-7.9354296,-1.3783015,-11.120116,3.5593984,-7.3470564,0.66327643,-7.8907604,-3.62547,FAKE
0.42162186,0.037255276,1996.5961646598835,2019.022827776405,3563.989812677557,0.11191628196022728,-294.7295,125.11911,7.880498,5.0974207,-6.8248057,3.1035783,-22.724781,-3.6245909,-7.1539783,-4.6854053,0.5785165,4.725414,-7.1195693,-0.09448032,-14.90895,1.3233314,-9.043565,-1.4393376,-4.339553,-2.640468,FAKE
0.5483452,0.033650953,3116.089084264664,2942.6483428542274,7004.40840287642,0.16065562855113635,-365.54822,68.39157,1.2832519,8.531821,6.949564,9.193469,0.37577203,-1.5555313,-5.3065357,0.3781026,6.516527,1.885187,-6.162149,0.78672767,-6.797459,0.84133154,-6.282315,-2.9495575,-2.2708166,-2.2718463,FAKE
0.41931313,0.04384645,2130.782044871427,2304.319704800733,4277.277166193182,0.10630104758522728,-344.5068,105.748215,-4.9567738,11.8607645,7.1010404,5.36369,-1.1054145,-3.1443121,-4.9820247,0.23595501,1.1441488,-7.475313,-4.5979247,1.9657063,-6.9607396,-2.2901857,-4.91645,-1.4874313,-6.3190074,-2.2226686,FAKE
0.38609067,0.063964956,2401.237330747641,2362.0060009410495,4909.325617009943,0.10354891690340909,-322.10913,98.50832,3.8685133,18.571697,-3.7200048,-1.8653344,-11.376759,-11.442099,-11.644665,-7.245566,-0.83661693,-4.133856,-1.1763362,1.1238201,-9.5189085,-0.16856597,-6.236127,-2.212599,-4.940127,-3.9324617,FAKE
0.34752026,0.062205516,1537.6398691249553,1858.9720248851393,2849.234286221591,0.050714666193181816,-289.76926,124.20672,-8.146304,22.330778,18.91207,4.6869082,-23.103407,-18.53757,-6.3203487,1.0054768,-9.80846,-10.244361,-5.664161,-3.7073822,-14.246198,1.7399635,-5.904268,-4.6166205,-1.3845313,-3.702138,FAKE
0.5100082,0.0020142645,3425.46154840345,3031.204237124591,7241.27363725142,0.17156427556818182,-474.19073,59.411915,29.748756,18.197802,-3.2121475,16.308596,-7.206003,-4.3775997,-11.078975,2.6215127,-0.10459473,-5.855148,-6.7298107,0.44049585,-6.788193,2.6809456,-4.5668206,-1.110407,-2.0228066,-0.7571388,FAKE
0.3800982,0.09372742,2608.431311686228,2281.947291757244,4843.747225674716,0.15669389204545456,-241.24141,90.39177,-4.105459,-0.17870122,-19.790031,-1.6758586,-10.328773,-17.178444,-11.822511,-1.4472903,-0.8307592,-1.9249928,-3.9207716,-4.32803,-12.835137,1.1972084,-9.973793,-1.0456296,-4.223912,-1.0093545,FAKE
0.30409387,0.06002094,1264.7215858211584,1735.573963662248,2140.3514515269885,0.05736194957386364,-297.1328,150.83266,14.1982765,5.155114,0.8836519,-0.9508947,-22.670143,-7.658174,-13.0420265,-8.875749,-4.425533,-9.42665,-4.0319967,-3.7085226,-8.8530245,3.7864192,-8.908757,1.3555031,-7.237001,-2.675226,FAKE
0.34225923,0.05823569,1592.417737794119,1722.131828438546,2591.814630681818,0.08823464133522728,-257.1792,149.18181,3.7430456,-5.625816,-14.430881,-3.1836905,-18.442032,-4.0599647,-8.338978,-5.56144,1.799963,0.00557932,-3.4258003,-1.3487443,-11.635735,-2.9291222,-13.729763,-1.2964208,-10.034303,0.98526955,FAKE
