chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.39177224,0.01141595,2465.0071452868547,2215.6056405062536,4410.636208274148,0.14865944602272727,-493.85245,74.63185,15.775891,11.28297,-7.5028057,18.556053,-5.1228666,-2.1234848,-14.104822,-8.283407,-0.31578323,-7.8245134,-7.8749557,-8.602358,-1.6497035,1.2278638,-6.2620316,1.5694991,-3.1815848,-4.2864213,FAKE
0.3940984,0.010939364,2231.2086917613806,2105.5586835443305,3842.208584872159,0.1429110440340909,-452.77072,107.98501,20.258615,7.627597,-13.481032,12.390705,-7.543137,0.44760868,-15.611029,-10.699719,0.50327533,-1.2089764,-8.265534,2.41081,-5.870607,2.6250887,-11.624283,-3.142131,-6.445592,-8.099265,FAKE
0.44627073,0.011770927,3063.7352323586315,2517.6985863894065,5865.840287642045,0.190185546875,-456.26224,73.7074,1.4215016,11.695189,-11.142008,0.8746225,-27.378283,-7.2768235,-10.371562,-8.052772,-1.955275,-0.99291056,-5.613612,3.2541955,-8.7395115,-1.4150165,-10.164836,-1.2570478,-11.058135,-6.017393,FAKE
0.48992574,0.0052924785,3683.8906371810426,2850.778032578099,7114.766068892045,0.20759721235795456,-365.80096,45.703598,2.3050482,-2.284475,-43.60113,-4.420742,-5.0435505,0.2395419,-17.247574,-1.224882,3.9048617,-0.5426989,-13.236837,-4.5089645,-9.701828,-5.1047497,-11.327332,0.8907495,-4.8740635,-6.6401825,FAKE
0.55130374,0.0107952515,3494.422043186023,2664.187978943465,6754.084916548295,0.22135786576704544,-253.04732,40.50142,-41.319088,-8.144025,-16.87626,-2.3480055,-21.236107,4.301503,-14.150897,1.3216939,-1.2330029,-2.4208715,-9.078618,-5.749448,-11.814145,-0.6079599,-13.355945,-2.9426231,-8.254082,-6.9472914,FAKE
0.6644717,0.010021821,3309.472269709037,2533.7361716053,6278.396883877841,0.21702991832386365,-266.0032,45.734097,-43.575085,0.61802346,-10.808076,9.705568,-21.354382,6.7528353,-8.733644,-7.9470353,-5.6557164,-3.2948334,-9.656207,-4.0375423,-9.774253,-2.3865118,-10.965209,-4.298118,-7.653092,-7.387232,FAKE
0.2697835,0.020180192,2459.8886925867964,2389.5866062408636,5253.122780539773,0.09957608309659091,-319.9291,68.71894,-35.372173,-8.725887,-3.227355,13.215282,-33.013577,9.282326,-5.9430904,-13.728545,-9.606571,-9.596798,-13.510022,0.10479422,-18.970772,-3.628382,-14.048071,-17.362007,-9.787481,-2.8789659,FAKE
0.59004384,0.0024851665,3785.076657761767,2966.4596795456305,7524.386319247159,0.22739479758522727,-412.6514,43.529644,-5.8834076,2.0085943,-0.9894617,11.169357,-12.6444435,-0.17723514,-2.785486,-7.295627,-10.613385,-1.6645042,-7.312676,-6.313455,-14.275189,-4.743401,-9.022236,-5.9498754,-4.3235207,-3.8446534,FAKE
0.5186418,0.00815229,3720.5156011383674,2976.1602460852964,7349.429043856534,0.22303355823863635,-439.91464,40.221134,22.883095,18.138773,-4.4405155,16.38128,-13.173556,-3.3845673,-5.0800767,-4.60017,-6.606426,-2.019595,-10.99756,-5.682839,-6.3270707,-4.0892334,-9.5828285,0.33114472,-2.9637246,-7.2981844,FAKE
0.4275778,0.012107772,3472.4039226743716,2233.164586303024,5589.334383877841,0.22092507102272727,-419.42862,42.891335,22.779716,13.919077,-14.313065,19.425463,-12.962582,-5.2100253,-9.039394,-4.5223727,-3.832245,-3.1348946,-10.952895,-1.911394,1.541094,-1.1475425,-8.144888,1.6136558,-3.0733492,-8.494935,FAKE
0.33967796,0.016133191,2055.7868412652115,2046.2896250242886,4143.918124112216,0.11469060724431818,-412.5557,108.32817,-12.601231,16.394722,-14.853031,-0.38702524,-17.243763,-6.071233,-21.496305,-13.886781,0.35086128,2.358688,-8.741047,-7.669845,-6.8371425,-0.4460965,-10.727972,-7.4355245,-1.86278,-12.347507,FAKE
0.31516588,0.0154609345,2883.794561925926,2028.4298049665936,4638.937100497159,0.17348410866477273,-412.71466,40.004868,-19.13142,14.347977,-11.759988,-5.2802486,-18.74602,-7.676977,-22.12989,-11.5181055,-13.819042,-11.2815,-8.974196,-7.519374,-7.2353516,-5.027614,-12.017838,-1.982243,-8.064612,-11.206759,FAKE
0.4840712,0.009073206,2972.5593987777634,2359.4541204596344,5697.979181463068,0.1797762784090909,-492.52286,50.234634,-19.698128,20.682749,-11.907986,-1.3220638,-4.119491,8.512292,-11.096252,-3.0345335,2.2781198,-0.6403867,-4.7901616,0.25053862,-6.6529574,-6.2888975,-2.4797974,-3.941661,-4.2870665,-9.593209,FAKE
0.38586384,0.009205963,2437.3265270011825,2236.9789202068623,4624.98945756392,0.11647727272727272,-492.54016,83.01855,1.1299999,15.346805,0.5571004,12.097813,-10.130481,-1.4539136,-11.019951,-6.8071275,-3.3309135,-3.9669688,-5.987773,-5.7299914,-3.9897804,-1.5270283,-5.164875,-3.744909,-0.6547664,-7.36909,FAKE
0.3859643,0.011568094,2343.2947945315263,2024.3711299955582,4115.778142755682,0.1338778409090909,-465.66766,93.255615,-8.429524,8.093175,-15.758195,0.98346215,-8.185732,-0.70356727,-12.653876,-4.5380487,-0.36607978,-4.7490788,-6.5407686,-5.2433543,-8.293964,-5.051443,-4.8010006,-3.9688208,-3.7197456,-7.089323,FAKE
0.49368992,0.008763135,3572.671636643684,2331.3996437007677,6037.861217151989,0.2500221946022727,-438.24823,36.248947,23.057785,25.835747,-19.824913,18.922419,-13.47521,-6.7728925,-17.56415,-1.4704112,-5.825506,-6.8809876,-12.715531,1.8610386,-1.2315217,-2.3526497,-5.1505055,0.2775738,-8.551492,-4.209934,FAKE
0.44164017,0.008694002,2949.30339214313,2490.676212499706,5530.118075284091,0.19562322443181818,-475.09454,73.21912,6.1707835,23.101099,4.718545,4.8883743,-16.175812,-4.9280267,-20.168436,-3.4088454,-9.404125,0.9285228,-9.838347,-3.039225,-13.6883335,-2.6795294,-8.8386965,-2.3846953,-4.0859656,-1.4628396,FAKE
0.36294776,0.012857818,2081.4068576481864,2094.013846934902,3790.8225319602275,0.11337002840909091,-421.75342,101.11518,7.229637,16.697287,10.493681,15.262574,-21.95279,-8.903769,-14.114465,-3.4594033,-9.107299,-5.2278724,-11.519093,2.667623,-4.2140565,-3.4765015,-3.11557,-1.0531042,-9.861515,-3.7720125,FAKE
0.40421614,0.0090305,2984.029966087359,2514.1468140780503,5364.948619495739,0.17133123224431818,-436.0496,63.33937,19.538416,22.445894,7.383128,2.5863607,-9.24653,-0.68696445,-12.338849,1.1600475,-10.0168,-2.7298708,-8.045876,-0.4851054,-10.274381,0.14981987,-9.366982,-2.2213953,-6.8199935,-6.816455,FAKE
0.4219224,0.0045320285,3396.987810628275,2970.2651290179133,6736.956232244318,0.19623357599431818,-469.13782,58.556095,18.592505,-5.372122,-8.928418,-0.9918709,-9.215631,1.7208152,-22.622131,0.11507214,8.39511,-10.014367,-7.0408864,3.3382232,-5.501631,0.46892747,-13.499348,-2.8506002,-0.4695507,-6.3510714,FAKE
0.50811154,0.00941777,3609.773936657034,2632.1196160975346,6678.718705610795,0.23976828835227273,-402.0348,40.656162,11.553445,9.827218,-21.559126,12.006561,-8.800488,-3.4925094,-18.85081,-8.376121,-4.1576214,-6.3665023,-10.434642,-3.4039812,-2.9836235,-3.471096,-9.437616,-4.1463857,-4.0134416,-6.6126018,FAKE
0.2788278,0.01949261,1573.3132863254193,1804.6337370825938,2771.176424893466,0.08843439275568182,-408.86026,123.93506,-7.812338,10.023572,-10.25831,0.08100761,-19.679451,-6.088847,-30.033472,-8.471668,-6.237257,-13.345352,-4.254152,-0.6134016,-7.409233,1.7071708,-12.29639,-3.6275687,-9.325147,-8.277084,FAKE
0.3974398,0.010812199,2631.820784844756,2230.0558058393926,4458.10713334517,0.18009810014204544,-429.1787,94.71277,17.13221,-5.0181866,-2.95351,5.8568435,-20.126917,1.2604187,-14.495971,-7.820758,2.4137704,-2.2163887,-8.258298,-0.30023766,-11.557718,7.0848937,-14.197644,-3.85197,-1.4800491,-7.57281,FAKE
0.43685344,0.007577466,3693.329063990453,2878.6254257129967,7279.935524680398,0.2653142755681818,-451.9178,58.04631,-5.774004,-8.5953045,-6.492073,7.4091725,-2.9028447,4.3134246,-10.315597,3.232297,10.508312,-7.433934,-12.095539,5.980713,-4.7603188,6.6648183,-13.7165985,-7.521544,-3.6253958,-8.954037,FAKE
0.3322135,0.011134698,2443.449943515909,2514.462866527752,5003.778076171875,0.1055908203125,-452.8486,95.52575,1.4810871,-1.7518815,-6.8114076,6.7795568,9.479558,2.448704,-4.694774,-0.7197185,6.292871,-13.908279,-7.8841977,-0.6553676,-4.871726,-3.4233925,-9.836716,-8.386778,-9.072607,-7.805911,FAKE
0.3688058,0.014612505,2440.210951251292,2238.3848627972334,4779.881702769886,0.121826171875,-427.74014,98.85567,-4.125714,18.983969,-9.7832575,0.49426123,-14.104493,-5.2549424,-16.654589,-11.833145,1.5782474,-5.2083936,-0.58107734,-1.4148362,-3.7432199,-1.4838347,-7.2092986,-4.7577443,-9.639479,-9.485679,FAKE
0.28757176,0.013528507,2015.5962667953927,2202.8512104866527,3926.873224431818,0.07494007457386363,-460.21204,92.064514,2.233671,32.969463,15.378967,4.908643,-24.29361,-3.1952074,-6.880246,-12.024369,-7.131744,-9.746905,-5.382829,-7.61458,-8.562991,-1.4582213,-11.9820595,-1.1163967,-6.561244,-8.93269,FAKE
0.43028873,0.0014191025,4148.046470999971,3098.176164791429,7892.408336292614,0.22531960227272727,-505.7088,38.34284,31.76018,12.957538,-15.739799,13.730737,-4.5301037,-7.568487,-17.628447,2.7409449,3.1777208,-7.829925,-10.53856,-0.7893066,-6.3927946,3.7555015,-5.623059,-2.242668,-1.4359502,-2.2999935,FAKE
0.36885056,0.020714713,2631.4369639851934,2132.0337463521105,4648.480224609375,0.19132856889204544,-382.57068,79.98805,-14.073806,1.4150323,-25.187195,-0.04254103,-17.602537,-10.923817,-15.445948,-1.8324524,-0.22798477,-4.640764,-5.7798114,-9.420716,-4.3579783,-4.4760084,-12.141537,0.9558739,-7.073285,-10.4886055,FAKE
0.2924139,0.016833248,1621.527358840683,2077.5050716151973,2906.982421875,0.09916548295454546,-429.70316,123.42049,31.941908,2.0924025,-6.732105,1.8278304,-13.817706,-10.1874485,-16.08391,-20.509424,-2.399025,-10.914979,-3.708072,-5.074355,-9.7220335,-0.065553635,-14.534284,1.8412297,-7.1025834,-8.972164,FAKE
0.39770833,0.015031519,1850.8914281299635,2057.082120106423,2982.8380237926135,0.10274991122159091,-374.92703,128.47821,7.7353244,-15.45913,-7.5459247,2.2510118,-9.29383,-3.030158,-5.561085,-12.002726,2.9513159,-0.6350699,-3.2520683,-0.50994325,-10.700987,4.6826878,-13.668687,-6.240886,-7.108209,-2.5584211,FAKE
0.33547062,0.019843165,1292.612018137715,1906.4851275773256,2068.655672940341,0.030129172585227272,-428.70975,128.7234,32.035824,6.80848,-3.002947,13.197653,-2.959638,3.6887345,-8.456719,2.916342,9.838925,0.13631764,0.94154,6.9973636,-3.701581,5.1283,-5.184572,4.1515665,-6.313041,-4.509531,FAKE
0.31879205,0.023876334,1882.7108335719715,1955.064445732795,3278.674871271307,0.06388716264204546,-372.73172,105.18887,16.137794,26.446714,-9.07844,22.421856,-6.7111897,5.272735,-16.25135,-7.661736,2.0380561,-0.48369768,-0.28857362,2.7492592,7.8871584,7.458134,-7.9339156,3.3054354,-1.2862924,-6.170232,FAKE
0.3298659,0.019517329,1717.8720576950707,1683.057862224365,2685.043612393466,0.10246138139204546,-406.35837,121.68408,8.872904,14.430551,2.316062,13.679208,-17.562878,-2.023082,-8.908197,-11.536076,-11.048369,-4.546667,0.36258307,-2.598109,-4.838536,-1.461443,-4.6435986,-8.619119,-5.969483,-6.523744,FAKE
0.51961786,0.0023247786,3554.1515901508833,2656.4541901743314,6584.021550958807,0.23884721235795456,-437.99026,36.837063,-6.4266634,24.811317,-22.991379,-8.275816,-14.315603,-5.809052,-15.562722,-3.584054,-4.0268598,-5.235779,-6.0118985,0.7190687,-4.7310276,-2.5618677,-12.511774,-3.689737,-5.0531635,-3.0766706,FAKE
0.4610053,0.01865724,2219.489956562669,2004.344431692979,3841.7191938920455,0.14604048295454544,-400.05685,102.4292,4.0946975,4.8097954,-11.391781,11.53069,-12.355447,-4.753551,-1.4196328,-0.7336203,6.932525,-3.8143675,-5.7095995,1.0706977,-4.704495,-6.081799,-8.782203,-6.418048,-6.1727934,-4.4195604,FAKE
0.5000593,0.005456646,2777.5433970069175,2355.020422536782,5075.71855024858,0.1911288174715909,-497.8881,82.75359,-7.914367,16.56179,8.727601,10.494159,-6.346875,0.9396719,-1.485823,-2.877506,9.046722,0.71664023,-5.2254796,4.996777,-3.1969872,5.565561,-3.36111,-5.4618297,-4.1225047,-1.4472505,FAKE
0.55538005,0.0021552728,2879.009282892646,2897.0714294656154,6307.515647194602,0.1559725674715909,-525.11285,79.29315,1.8664603,4.2839446,2.1701934,15.142536,4.88446,-4.2568407,-2.793671,-4.3303304,8.837747,-11.172857,-6.4720306,1.1717117,-3.046778,6.0471435,-9.658386,-9.362931,-5.3167205,-10.839703,FAKE
0.35374922,0.020955969,2514.6277214462752,2093.413093804762,4603.45625443892,0.15424138849431818,-373.06677,79.50303,-9.300378,29.550474,-11.112496,-4.6952558,-20.259312,-8.197837,-16.003254,-11.85695,-8.769126,-7.300359,-5.1723433,-6.298824,-7.6234956,-3.754165,-13.477728,-1.381672,-8.851213,-11.709894,FAKE
0.34694815,0.017329546,2095.690125331742,1783.0975548213057,3363.094815340909,0.1382168856534091,-391.7704,110.84814,2.26476,11.43317,-10.892585,1.4793198,-16.510313,0.20902838,-21.81466,-10.943874,-5.170417,-10.363634,-5.138009,-4.7747188,-1.7145348,-1.0600694,-7.2153277,-1.3859614,-7.511632,-6.4901843,FAKE
0.3275155,0.016866947,1425.387655087622,1664.8188896439917,2493.691739169034,0.06329900568181818,-397.7456,137.61847,-1.1156535,20.28839,6.3051543,10.380587,-22.989927,-6.7950826,-8.601592,-10.653776,-11.573768,-6.6626525,-4.5492506,-3.694248,-6.4620166,1.7075034,-13.072253,-4.256301,-8.595188,-8.893948,FAKE
0.4516814,0.0068353713,2884.2855884163887,2479.902486240864,5379.630348899148,0.20991654829545456,-459.08517,89.299,-8.347075,-14.301963,-2.4919164,8.124124,-6.2161484,-2.2523415,0.3266404,-0.3002095,13.6613655,-1.5080044,-7.4273915,8.401878,-7.337376,1.8314617,-5.467627,-0.35010958,-4.4907737,-5.6389775,FAKE
0.30634168,0.01636034,1808.8409782708775,1687.9487202688629,3025.4150390625,0.09748979048295454,-421.0544,107.573685,0.7179485,36.554302,13.50112,2.3995252,-20.352516,0.090395115,-9.977972,-11.987029,-4.083322,-4.9052744,-8.866081,-3.014769,-6.7918763,-0.9585568,-14.643811,-7.0373454,-4.946282,-8.911366,FAKE
0.38646105,0.008697511,2414.5164819234506,2499.141598417045,4629.883367365057,0.11460182883522728,-483.55948,84.24944,29.58269,16.086182,10.402396,18.353523,-9.187022,-11.25657,-7.854651,-4.8742995,1.7070094,-3.0837336,-4.0206194,5.52021,-5.8089185,0.6207645,-8.164203,-3.7107544,-1.756803,-3.4396262,FAKE
0.49560115,0.0073883864,3319.6393752590493,2731.533253542594,5959.31396484375,0.24315296519886365,-446.2132,54.30684,-0.22276002,8.499416,13.103876,-2.3280833,-0.91099185,-1.4436661,-4.762644,-5.224413,1.2507471,3.6099968,1.1067387,11.335601,-0.28344136,6.067088,-6.136072,-1.0159732,-3.5697374,-4.6600804,FAKE
0.5388798,0.0017789382,5061.32520163263,3526.984756037391,9038.806707208807,0.44300426136363635,-563.06714,49.334324,13.32258,-31.357098,23.266857,-5.902934,3.0505602,-4.8928294,8.694167,2.37135,2.908398,7.3712444,-2.760675,7.995283,-11.8650875,12.1645565,-4.086832,3.177455,5.922072,-3.58097,FAKE
0.40220064,0.010007111,2636.0365054390913,2716.716553835274,5037.546053799716,0.12822931463068182,-492.21072,84.28884,6.7908907,-7.099529,20.937607,5.3272843,1.1791706,7.613034,1.6544007,-10.863545,4.5294657,2.5936506,-9.255945,1.6228124,-13.520659,4.4465666,-13.17951,0.027080178,-1.2777811,-9.361167,FAKE
0.3321449,0.016502423,2655.6548552725035,2015.2595307345318,4289.267245205966,0.15234375,-421.54407,75.54607,8.385646,14.777932,-18.681644,1.36519,-20.283726,-5.0545163,-19.315016,-10.083195,-4.980842,-8.744287,-10.612698,-3.230335,0.040474154,-6.794226,-5.9362216,-2.715996,-7.3928423,-9.008083,FAKE
0.31525737,0.010967445,2373.992682620489,2258.1193388602414,4636.734841086648,0.11925159801136363,-497.60788,76.56269,-0.696567,28.660686,2.259585,-1.8218696,-26.96233,-1.2517459,-15.419201,-8.264544,0.05975682,-7.7252107,-9.993402,-2.3249762,-10.833299,-6.60121,-16.860132,-4.7590146,-4.0859036,-14.094161,FAKE
0.29773954,0.017650478,1871.2853310259054,1813.2817116985368,3275.983220880682,0.09133078835227272,-430.0999,98.715164,-6.0417943,29.950861,-4.2526984,-1.6998402,-18.44676,-0.29113948,-18.348446,-9.974459,-9.7025175,-12.073685,-6.7536607,-8.724738,-5.181197,-2.7804742,-11.806823,-2.584142,-2.0857584,-8.951463,FAKE
0.36273926,0.009458493,2788.9449291158085,2107.241916580022,4673.43916459517,0.18410422585227273,-467.99237,61.402134,13.091944,18.325455,0.27896777,13.116342,-16.583227,-1.6844249,-9.229093,-7.954089,4.0502114,-1.2308992,-7.5713243,3.2101336,0.16512431,0.118736655,-9.989992,1.6599644,-6.1737256,-10.783683,FAKE
0.5292788,0.004818254,3833.9107733113506,2870.397587058211,6929.531582919034,0.25989879261363635,-515.7784,55.10425,0.6011081,5.7863717,21.08262,6.3248677,0.05318234,4.9589844,2.0608835,-0.7263558,-3.4171011,0.7397911,-1.3379657,4.8931065,-1.9301834,4.6503396,1.2966024,-2.297619,2.7306097,-6.061162,FAKE
0.41037866,0.0081588635,3340.2666906722957,2648.2261967445747,6098.54569868608,0.23297674005681818,-505.17908,64.92911,12.401999,-1.8491639,-10.084671,-6.0922623,-10.659726,4.6906543,-0.80237776,-4.7779875,7.0805893,-6.14059,-2.013143,9.011683,0.45049572,1.9098052,-7.428856,-4.7706013,-4.606136,-10.095913,FAKE
0.53229094,0.0007128803,4257.819914320688,2973.875267819073,7874.545565518466,0.3052978515625,-532.7817,27.889458,0.25993118,7.9098263,1.0698119,11.810477,-13.021649,-0.81814176,-8.490359,9.733204,7.9810514,2.0564272,-4.0692005,6.0178375,-1.9608327,0.80540484,-6.6795,1.6389205,-3.025772,-5.2268414,FAKE
0.35772675,0.019955412,2758.676263151998,2053.2054879342495,4684.20576615767,0.17833362926136365,-389.15335,54.737064,2.6952543,34.389893,-10.709578,-3.5568213,-21.36073,-9.931053,-17.127302,-15.931234,-15.88074,-5.939043,-10.802005,-8.502313,-6.1420445,-4.6487827,-12.342087,0.1012137,-3.646717,-10.467869,FAKE
0.46073854,0.008461958,2716.846057234701,2577.413232234652,5447.655695134943,0.1783780184659091,-508.38782,97.67922,20.468536,14.312064,-4.617212,-10.9063425,2.5697775,-4.367068,-1.4779594,-3.9391503,12.0792055,-0.66478044,-4.6451297,-3.023867,-7.130608,1.4832593,-6.33052,-5.357169,-2.1794858,-3.993258,FAKE
0.4247829,0.018019222,2555.107821638507,2120.011955491376,4575.07157759233,0.16584916548295456,-428.72354,94.75231,-7.755566,10.745696,-13.995102,-1.86659,-11.408162,-3.0186424,-14.489547,-7.38036,4.2466903,-4.380573,-5.613401,-1.8463421,-5.1557164,-5.9550786,-9.931595,-2.018761,-4.747689,-5.027956,FAKE
0.3365304,0.017837146,1740.111459293704,1691.4513936037677,3037.649813565341,0.09862171519886363,-381.1594,116.253105,-17.77385,34.01456,12.34636,-3.6881385,-25.497309,-6.615994,-15.93352,-11.873551,-14.558728,-3.2075386,-6.2931523,-7.7396865,-4.3154416,-1.8018192,-10.731093,-5.887528,-8.591921,-7.3065395,FAKE
