chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.43002677,0.038236793,2557.0082673330967,2554.954995790067,5004.022771661932,0.13051535866477273,-327.33044,82.079765,9.660559,-1.918125,-2.559015,9.206603,-0.6909189,-10.636596,-9.908941,-14.36976,0.62449056,-4.37549,-13.040165,-4.9168606,-1.4855428,3.7949042,-12.10546,-3.5783699,-3.6977751,-5.338107,FAKE
0.38402477,0.03785469,2351.2697454362933,2576.06677572799,4601.009299538352,0.12171519886363637,-292.27377,98.66285,27.296715,4.071614,-4.992372,0.53567827,-0.64208966,-6.749707,-14.075851,-18.219013,-0.39821818,-6.663641,-1.3004225,-0.9168155,-3.0178835,3.878083,-16.252274,-8.7091055,-5.0346994,-7.8549657,FAKE
0.37393188,0.04432908,2455.987317775902,2647.148015251524,5098.964621803977,0.10155140269886363,-331.7645,88.12105,-0.5944162,8.787131,9.062157,-3.860958,-17.904171,-12.984213,-12.009466,-11.452672,-1.0380414,-5.945023,-3.7372103,7.811533,-4.3584766,4.505806,-7.2894316,-2.2810903,-7.0456586,-5.6615663,FAKE
0.50070673,0.00544252,3475.039546953693,2864.2888392833656,6943.72392134233,0.19221635298295456,-347.4815,56.718967,0.08323295,4.3783,-27.363482,2.9278193,-6.483423,1.4619771,-10.02702,4.738641,7.6988683,3.3708513,-8.425408,-0.14877047,-4.054228,0.5684742,-7.8963075,2.6607063,-1.808746,-3.0487025,FAKE
0.5557146,0.010842186,3489.3718129752187,2667.46256331405,6745.031183416193,0.22386585582386365,-249.61366,43.81124,-37.51106,-3.8397775,-13.265796,1.2574202,-17.205416,7.513454,-10.457617,4.8073573,2.0891852,0.91092813,-5.8049703,-2.7517874,-8.722465,2.1280124,-10.518671,-0.10959867,-5.6835475,-4.2704663,FAKE
0.65108633,0.010920975,3277.969251242363,2550.38922543386,6261.51289506392,0.21715198863636365,-261.97244,48.78914,-39.047077,3.7648683,-7.501079,11.578403,-18.35975,8.11726,-6.154225,-5.826907,-3.0865405,-1.0198501,-7.1858964,-2.1067543,-7.53631,-0.46229494,-8.789174,-1.9109657,-5.3601794,-5.1150355,FAKE
0.2499629,0.0595974,2157.0781221095763,2497.144826477738,4776.455965909091,0.07685990767045454,-265.6592,79.5112,-4.8707952,2.3423274,-5.536548,-2.3360367,-28.542234,-5.1812096,-9.884994,-15.1782675,-7.724504,-14.420133,-3.3155153,-2.058446,-8.094783,-0.19163284,-12.660955,-10.170912,-13.025714,-1.7291604,FAKE
0.60255086,0.0025888097,3700.650598724497,2967.328515777878,7412.315784801136,0.22121360085227273,-403.7041,47.27827,-2.768544,9.890163,2.4219027,15.056714,-5.045647,2.4331992,0.3043619,-1.6007997,-6.366249,1.9992093,-3.3225014,-3.194198,-9.706916,-1.0969454,-5.2898936,-1.9583485,-2.6880653,-0.6887902,FAKE
0.5368802,0.023711795,3835.0885177281107,2995.4395021114774,7560.601251775568,0.22477583451704544,-371.71194,32.41044,19.854439,25.719454,4.6344457,13.717966,-7.776439,-6.8301525,-4.7172227,-5.5086675,-4.2660837,-6.240894,-5.6855617,-5.1699095,-3.6706436,0.055417906,-10.240516,-0.47834948,-2.1325665,-5.452992,FAKE
0.42718422,0.05641382,3796.971379386414,2496.9802186923207,6471.951016512784,0.23858087713068182,-252.06525,22.96236,18.396269,24.616676,-3.5408258,13.931559,-7.5768766,-15.468561,-12.992718,-10.042832,-5.4048886,-13.966519,-6.923104,-5.7971034,2.904484,4.7839804,-14.081317,-1.8405476,-2.410013,-7.191234,FAKE
