chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.35843134,0.047544133,3542.9940327410122,2472.2633928992227,6142.101495916193,0.22971413352272727,-183.50685,34.215317,-25.61051,5.232159,-7.124539,-8.482476,-24.919056,-7.2967696,-11.089128,-4.043385,-8.369213,-14.175573,-15.062232,-2.4114845,-2.1365266,4.6168747,-3.9398956,-5.6429725,-8.7392435,-9.369484,REAL
0.39888793,0.013979781,2956.4410929258524,2525.691815070276,5812.986061789773,0.17103160511363635,-350.51126,58.881863,-23.915743,13.723481,-7.139214,-10.243432,-27.205675,-5.890489,-9.681508,-6.24054,-9.138926,-9.554494,-8.560787,-2.2289896,-14.121047,-0.22875057,-2.5853472,-3.4798546,-10.985689,-4.4357147,REAL
0.27706626,0.028064448,2216.6728335178013,2266.4956991706986,4373.197798295455,0.10340465198863637,-328.82242,84.15872,-20.430117,6.658457,-23.550068,-14.379312,-13.899217,0.22851779,-11.543285,-17.251461,-4.212953,-9.122508,-6.528575,5.2038617,-6.3718967,-2.242783,-7.6584506,-6.2574573,-6.2731433,-3.5512536,REAL
0.35922194,0.035303373,2968.6411397858733,2467.4129686902756,5483.625932173295,0.1780672940340909,-265.03745,61.225735,-20.567955,-0.49879646,0.51174,-2.2842696,-25.355446,-10.878864,-11.484743,-7.742633,-6.021339,-6.477277,-14.361066,0.19226831,-5.031093,-0.9989466,-3.8267114,-2.9325278,-9.419311,-3.3164027,REAL
0.32933882,0.024873288,2111.408669731037,2129.4203791770456,3848.3259721235795,0.10512473366477272,-283.91092,91.65695,-41.41102,-11.1669855,-17.7292,-13.142875,-18.575684,-1.5237399,-9.654708,-10.293522,-9.240157,-2.3101869,-10.009682,-3.3536673,-7.186926,-0.0031988404,-9.301209,-5.6546063,-5.2617273,2.4988103,REAL
0.371932,0.055323943,1853.8810019904156,1655.6251464758861,3143.3582652698865,0.09917658025568182,-192.13062,91.60015,-99.63734,-40.10243,-62.189587,-22.418262,-20.765203,2.3350952,-8.970534,2.7385232,-10.7952585,-10.725265,-15.182013,-2.4071388,-9.044382,-0.21412557,-8.142656,3.168473,1.9850684,5.234227,REAL
0.47728178,0.04027119,1858.3501885385822,1603.9153127913376,3145.8052201704545,0.10422585227272728,-215.64,91.68865,-105.990715,-39.600025,-63.586525,-21.95975,-23.675812,2.40344,-7.975043,3.06506,-11.531417,-6.4227433,-8.629016,0.21893924,-6.6349087,-6.607857,-8.458543,0.18948227,0.44558555,6.8940196,REAL
0.5391145,0.02530363,1961.5709518101116,1735.990278986919,3417.9066051136365,0.11031827059659091,-244.99538,91.69485,-93.62995,-34.49509,-57.336292,-17.897211,-26.438148,-2.9752638,-9.982705,-0.16391566,-10.58912,-4.444111,-11.319752,0.6146929,-8.179254,-1.5394825,-7.2677174,0.9468948,-0.24236475,2.849476,REAL
0.4132774,0.016059138,2257.7022601712893,1976.1412430497264,3951.8321644176135,0.12729714133522727,-270.06393,79.52019,-78.05189,-25.341417,-42.423313,-20.799963,-25.07918,-6.2298903,-12.076306,-0.46525115,-9.7014885,-4.552815,-7.6302185,-4.2476583,-8.107448,-3.832319,-5.3331304,-1.9822755,-6.5524917,4.362776,REAL
0.5223155,0.012818838,2325.4371896679554,2039.7761263610528,4292.937677556818,0.13055974786931818,-276.9434,80.12806,-74.32484,-24.213057,-36.082912,-11.79123,-25.617573,-2.7186027,-13.960214,-2.773028,-9.908418,-3.8083544,-6.073044,-5.1558113,-11.215259,-3.2901115,-7.022757,-0.30235112,-1.3224952,5.19892,REAL
0.36683497,0.040662836,2678.4852282220572,2310.394727309695,4817.564808238636,0.14319957386363635,-218.51411,63.246586,-46.120125,1.7313198,-2.618411,-11.954321,-22.138903,-2.9501746,-9.479415,-12.232143,-8.704895,-4.3731084,-11.475608,-2.578864,-11.036967,2.1222806,-5.5643334,-6.2009215,-5.5931163,-2.727305,REAL
0.33721298,0.041292492,3230.0472770865968,2656.773297528445,6282.067316228693,0.17823375355113635,-241.15526,47.7183,-23.821527,-11.784179,-7.152748,-12.543899,-14.591309,-11.040538,-14.057245,-14.181301,1.9168038,-2.240897,-11.986637,1.39986,-0.4003396,-5.0468674,-8.899429,0.5587429,-2.2907248,-10.000085,REAL
0.408409,0.026059462,3381.112386615487,2266.4475781862807,5755.48262162642,0.21888316761363635,-278.26093,46.606388,-24.6813,-3.6399317,-36.39015,-1.7344681,-11.165636,-7.8170652,-17.241066,-1.9980642,3.3754838,0.68960464,-10.679001,-3.6026092,-13.287632,-1.3967084,-7.2288084,-0.35752714,-1.7160076,-6.685208,REAL
0.4375441,0.01882068,2890.6895417698975,2241.954011745552,5151.329456676136,0.18260609019886365,-249.54979,60.407547,-55.652367,-26.154224,-46.05878,-11.289112,-18.605558,-3.0734138,-4.496796,3.130374,-4.154725,-10.907327,-14.348107,-6.084781,-5.657982,1.3861768,-5.1883607,3.0703857,-0.9497511,-1.6160305,REAL
0.35779208,0.050609924,2231.065264680387,2041.6465792705485,4176.952015269886,0.12124911221590909,-199.60248,82.96462,-63.764133,-23.183327,-31.10216,-10.315345,-29.229626,5.2667055,-4.68084,-4.291575,-7.340332,-7.0168996,-17.24465,3.469815,-5.9623427,-6.0366917,-1.5737377,-8.773866,-3.630927,0.0463642,REAL
0.32374108,0.013376278,2043.442601549255,2008.8741991756158,3691.476162997159,0.09957608309659091,-309.62073,97.54758,-58.35129,-20.461124,-32.553387,-18.415976,-21.326561,-0.40642178,-12.542258,-1.7991414,-10.097502,-7.528133,-10.859134,-1.3961705,-4.241714,-2.651314,-11.833146,-3.907522,-2.5390272,0.7222633,REAL
0.40574268,0.027229743,2302.174759706695,2172.843181213874,4320.588267933239,0.11155007102272728,-276.50015,81.51152,-51.283768,-5.4720035,-11.823868,-12.023556,-28.234924,-7.2353578,-9.464286,-6.9305387,-7.998325,-0.4071743,-16.45516,-6.186524,-6.026485,-5.476771,-4.891822,-4.677706,-1.7121322,-2.5286722,REAL
0.27450672,0.033520684,2448.0563491543307,2445.0312005079945,4599.785822088068,0.0975341796875,-271.15555,73.75634,-25.773731,4.5874043,12.39692,-7.7205815,-26.629295,-20.414993,-7.5851483,-8.873999,-1.0365692,-4.348231,-10.8242655,-0.85474735,-5.8424525,1.0489463,-7.6867733,-3.700431,-2.3658562,-4.3535466,REAL
0.40141064,0.02169364,2235.344751192671,2395.762204461933,4410.391512784091,0.10225053267045454,-340.28992,103.76206,-15.848641,-13.318757,3.0406656,3.631054,-24.742754,-24.484087,-13.466833,0.05223738,0.56580436,-2.876943,-13.336685,6.2364745,-14.738892,-1.1850724,-5.7617784,-9.978312,-9.3364725,0.73337656,REAL
0.32631093,0.027613288,2653.743587733762,2669.5108693481498,5314.05195756392,0.12745250355113635,-282.75397,85.11175,6.647902,-6.7196,12.150895,3.2787352,-28.802107,-14.480546,-12.302853,-14.449646,-8.823285,-3.0610712,-5.60943,3.3391447,-14.667874,2.6002343,-9.02675,-11.953019,0.2558028,1.3410366,REAL
0.3099335,0.04326527,2041.3139191286493,2372.9912755681075,3784.46044921875,0.08255282315340909,-292.8944,104.16113,-7.3533587,-8.902766,20.03445,8.043256,-24.041212,-19.022753,-13.739051,-14.799705,-2.2209077,-8.421462,-9.719964,2.9474251,-7.383835,1.8501458,0.8827301,-2.605265,-12.329376,2.454592,REAL
0.35675493,0.030943107,2423.3262701084473,2430.79421567056,4676.130814985795,0.1472500887784091,-328.9679,103.352,20.210321,-13.003857,-18.623186,-5.1025167,-21.599333,-5.9611497,-10.4758625,-7.09749,-7.105125,-7.2436147,-3.6245146,-2.6403089,-7.555015,-4.1499176,-10.140282,-1.3474038,-7.555465,2.4983287,REAL
0.36081147,0.02615298,2285.430002848785,2653.9683986201467,5228.408536044034,0.08901145241477272,-279.0263,96.1606,2.4826035,10.12605,6.3797245,-10.399756,-24.581507,-12.666253,-4.6910253,-8.950836,-8.802289,8.271679,-10.858971,-0.8188028,-10.923745,-5.580531,-11.8907585,-5.001375,-4.1648045,-2.8430276,REAL
0.29157686,0.0378512,2627.2803287818165,2357.713491794878,5150.595370205966,0.1286288174715909,-223.54974,67.61179,-30.886786,5.0017557,-19.172356,-10.290534,-20.319702,-4.511868,-11.515547,-6.823643,-5.617794,4.336523,-6.015749,-8.226281,-15.03865,-9.564906,-11.280296,3.8517501,-2.2264364,2.501467,REAL
0.27334854,0.065769166,2332.1125214892713,2233.058198998003,4365.85693359375,0.111572265625,-178.14322,84.95886,-38.31829,-15.427148,-20.485603,-10.273682,-22.700138,-11.152981,-15.462353,1.0775508,2.245468,5.7762012,-1.0270442,-7.9204345,-16.30814,-4.9243197,-7.4467235,-0.18382864,-6.135197,-0.45653838,REAL
0.3672097,0.031314906,2244.6175835594336,2156.96869274277,4289.75663618608,0.10752175071022728,-223.63422,87.59716,-53.0958,-20.258497,-22.408876,-5.646992,-27.584597,-6.000659,-7.2740583,-3.609668,-6.176597,0.027098894,1.2463692,-0.6951673,-8.509437,-4.108017,-11.113524,-8.387725,-6.432497,3.5109613,REAL
0.44088382,0.015285406,2533.7995211636767,2132.3173595899602,4708.185924183239,0.14389870383522727,-253.26659,67.731255,-73.43892,-19.077238,-25.992981,-9.45705,-28.39441,-7.5264735,-12.687607,-4.5591288,-6.693863,-1.7354413,-4.807039,-4.039099,-9.296362,-5.8552914,-9.422695,-4.4335194,-5.101198,2.2852755,REAL
0.34413296,0.022884043,2637.9079303928306,2141.663790512379,4812.915593927557,0.14707253196022727,-220.05972,61.960148,-74.349205,-15.803925,-28.583727,-7.298976,-20.961393,-1.0016422,-3.9009414,2.4488986,-11.638553,-8.027653,-9.500523,-10.005317,-6.443249,1.6039337,-4.8355436,-0.5006724,-1.1253824,-2.4299843,REAL
0.36984015,0.025991118,2629.2067724114463,2123.5561546560084,4776.700661399148,0.14729447798295456,-204.86456,62.21163,-75.63129,-15.941648,-25.40327,-6.320596,-24.022888,-4.16724,-5.237042,-2.046597,-10.296845,-4.3008556,-8.987302,-8.96545,-4.837282,-1.514806,-6.6399703,0.44799516,-2.4225476,-2.9987686,REAL
0.3706584,0.028365515,2462.997954441109,2045.0651795299543,4451.010964133523,0.13805042613636365,-211.99165,71.437744,-75.651436,-16.514835,-29.975334,-5.8348784,-23.239122,-2.2086153,-10.572671,-1.3759743,-13.356482,-7.780908,-10.316607,-5.420983,-4.0562744,2.9934683,-6.0848804,1.0791368,-4.471613,-1.8718442,REAL
0.39396894,0.037608612,2602.113763807443,2257.32316596901,4932.082297585227,0.1271639737215909,-217.45103,62.050602,-57.832165,-11.427209,-12.507071,-3.9721162,-28.595808,-10.620242,-10.596192,-11.124647,-6.6568084,-6.5625076,-10.954202,-3.554263,-9.300622,-0.8625679,-7.7686253,-1.01771,-3.0662591,-3.5667243,REAL
