chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.36508444,0.10540045,3020.1312332134403,2144.604182072606,5018.215110085227,0.197998046875,-181.91595,53.22613,-12.946558,20.218716,-14.861237,-3.5536637,-27.332106,-13.005052,-14.162607,-4.961128,-14.414496,-6.0648756,-12.104672,-5.7900853,-8.062811,-1.8223442,-4.8343244,-6.489349,-8.372813,-8.966006,FAKE
0.41412827,0.045744266,2860.1595816879,2523.974018312489,5728.076726740057,0.16411798650568182,-353.13187,60.466587,-8.086581,24.341713,0.886416,-3.4746118,-16.746393,-11.085372,-10.880188,-8.360714,-7.133898,0.7272802,-4.8523197,1.5244033,-7.924501,-0.62575483,-3.3301153,-3.6151044,-2.421459,-2.6615958,FAKE
0.34069672,0.09741621,1940.0443368826577,2109.5149137103167,3663.336181640625,0.09504838423295454,-322.0306,100.73156,3.3413591,13.999749,-16.20362,-20.862377,-15.284658,-8.543026,-8.305551,-9.364422,-14.912793,5.182073,-5.820653,-5.989355,1.1647894,-7.553682,-6.397777,0.25725538,-10.835515,-5.405682,FAKE
0.37937692,0.0845188,2446.4717823461724,2120.5812161742215,4182.09062056108,0.16233132102272727,-255.5558,88.90553,-5.2275004,1.4474258,-6.0134993,3.8748848,-17.042889,-23.277077,-15.488132,-3.9174025,-12.803644,-3.7261877,-6.1326756,-4.241958,-9.181667,-4.980694,-6.090706,-3.8154795,-6.541322,-1.6899441,FAKE
0.30353332,0.040435728,1810.8403183238313,2180.324434717625,3715.945712002841,0.07262073863636363,-307.36957,105.80186,-3.471579,-13.991093,-23.658178,1.6809429,-14.067404,-5.176087,-7.7411714,-0.39811084,-8.251692,1.522265,-4.4190836,-3.2574525,-7.8017745,-7.825117,-7.805966,1.4292829,-2.526097,1.8348019,FAKE
0.3920813,0.054703858,1659.6003745125256,1597.6204826804599,2338.5547984730115,0.09151944247159091,-214.78908,110.01476,-79.843185,-61.48538,-57.107994,-2.3593984,-28.211037,-2.007839,6.864427,3.9660254,-16.058714,-1.3436906,-11.996952,-5.094342,-2.0555887,-1.8983685,-4.8085365,6.7280397,-0.4330824,10.0099125,FAKE
0.47737265,0.03844726,1902.4915384119386,1669.5037648630826,3229.735773259943,0.10506924715909091,-215.34702,91.114784,-98.00427,-39.221066,-56.34943,-13.580049,-17.537798,6.7966566,0.2150281,6.5564046,-7.579898,-0.9453997,-6.096792,0.24881645,-3.5453641,-4.70603,-9.4452915,2.904189,3.9573731,7.8130627,FAKE
0.500809,0.019302221,2207.873249346317,1873.89236559953,3857.135009765625,0.12741921164772727,-253.72743,80.3996,-87.58182,-27.997622,-40.761757,-3.735242,-8.519353,5.095166,-3.9715407,4.622665,-2.5884306,2.0196557,-4.538097,5.0323973,-1.0474908,-0.09467998,-5.960642,4.083161,5.13414,5.9412384,FAKE
0.46598122,0.012708264,2423.9345865212204,2100.576536391036,4376.62353515625,0.14054731889204544,-275.10873,78.08792,-65.42347,-15.002584,-35.669544,-13.558307,-14.386804,-1.9817612,-12.906833,1.9266922,-2.771943,1.2784895,-3.709932,0.8141996,-3.2185163,-3.0180242,-5.0517683,1.6504322,-1.8454918,5.981795,FAKE
0.48991543,0.009372822,2619.806891667599,2207.2361424881933,4966.584361683239,0.15416370738636365,-287.85034,72.87402,-59.661026,-8.4660425,-26.94348,-7.33342,-16.754162,3.6437228,-13.8655,-5.818243,-6.538272,3.473963,0.29830164,-1.3754338,-6.8904095,0.594576,-4.670668,1.1483972,0.54010147,6.8723316,FAKE
0.33136362,0.1013354,2172.610889167252,2025.869903983332,3847.1024946732955,0.11611106178977272,-218.65431,78.40618,-31.363928,15.0806265,-10.190276,-7.1323347,-20.668034,-15.236063,-11.143456,-10.13754,-13.293024,-1.99351,-10.514263,-7.150558,-7.3574553,-3.4519713,-7.6525693,-6.512087,-6.4566135,-5.2493134,FAKE
0.26699027,0.13884686,2187.578204541713,1902.9190903733281,3571.0859818892045,0.12596546519886365,-232.48488,82.26083,-14.665317,2.894483,-22.779036,-9.751349,-21.330688,-17.419695,-12.260848,-17.852455,-3.0529647,2.4817135,-14.26604,2.7987032,-4.8476167,-5.9322524,-9.376176,-2.0696852,-1.861278,-9.244831,FAKE
0.3745557,0.061870955,2761.8845902800094,1952.2467880363045,4358.760764382102,0.18613503196022727,-274.9171,70.577415,-7.5767207,3.8151557,-32.094055,-1.5554471,-10.80683,-5.9971023,-7.3944674,-7.5673833,1.7203945,4.9303575,-9.926086,-2.2637005,-9.722831,-6.245662,-6.0415645,-5.335228,-2.8480742,-2.238102,FAKE
0.4183622,0.02231449,2621.383378118613,1966.245509090719,4359.984241832386,0.1776123046875,-268.34662,76.737274,-43.466747,-16.668364,-57.40537,-9.065307,-5.839815,-2.0296717,-5.1827655,10.130154,2.7139578,-8.956816,-11.766754,4.697823,-4.6427226,-0.12328658,3.1799238,3.5741615,-2.9023707,2.7269568,FAKE
0.2896648,0.15799385,1509.3272695129278,1621.946502372098,2455.7639382102275,0.07582785866477272,-213.08978,121.74828,-36.67408,-21.219912,-36.810368,-14.61242,-12.333558,-13.297949,-9.379745,-3.5040078,-10.3315115,-3.5267036,-12.744506,-6.7031956,-4.561673,-8.259357,-7.41918,-2.0842683,-5.65872,-1.8504758,FAKE
0.27418917,0.0203332,2101.320940729224,2241.5910527606065,4422.381591796875,0.08380681818181818,-331.02,93.92227,-22.98216,-16.126097,-45.80042,-9.579955,1.450657,6.6497173,-9.29815,9.582885,1.3337026,-8.700291,-9.647847,5.5412364,-1.3651496,-6.9164796,-6.126065,1.5993611,-2.722925,1.6708924,FAKE
0.36500174,0.07513907,2096.9336450095675,2044.5697368070817,3895.062810724432,0.10929731889204546,-261.2045,94.623314,-39.790356,-0.038835958,-16.2214,-9.974822,-9.220838,-12.338003,-9.107058,-0.6054438,-11.232243,-4.2920756,-9.8510685,-8.232101,-2.3849645,-8.513592,-5.720283,0.8063182,-2.2255695,-1.9223647,FAKE
0.20375654,0.10559238,1665.706163023712,1881.601604796438,2964.975253018466,0.05264559659090909,-227.19325,103.1262,-29.076427,9.2555895,-2.9458833,-5.002686,-23.361633,-27.246319,-6.8924885,-5.2638187,-16.908417,-0.65787846,-9.981382,-8.891994,-7.2830033,-7.780044,-8.986027,-7.151794,-7.06439,-2.7272186,FAKE
0.4270545,0.06551376,2018.220195500947,2131.9869007309917,3935.6822620738635,0.09409401633522728,-309.8794,114.09145,-10.8422365,-2.728008,0.12807702,3.9448867,-11.572692,-24.74107,-15.298797,7.2094636,-8.018221,-3.8232405,-4.955343,-7.866507,-4.680264,-2.7676008,-7.4082456,-0.8756745,-3.9178817,-2.4997537,FAKE
0.3209474,0.059894346,1990.9360427969557,2173.4066923047126,3484.9531693892045,0.08613725142045454,-264.50186,112.95004,5.467301,4.8125854,12.930926,-5.1367006,-13.704955,-15.752555,-13.985264,-0.1065187,-17.762346,-1.1911727,-3.9772522,-12.224142,-12.716648,-7.6079698,-12.259893,-5.8055196,-8.667724,3.0923119,FAKE
0.3342402,0.08445822,1770.0470157846523,2062.159531642153,3342.785089666193,0.07666015625,-264.1842,119.95476,-8.669962,-0.75178033,17.631725,5.5212846,-6.476349,-32.157303,-22.477983,5.5930486,-16.526436,-4.2407494,-3.3406217,-5.5741954,-9.0708475,-4.139569,-5.214873,0.45685422,-13.3914795,-1.53419,FAKE
0.38397044,0.042237796,2024.2915346243708,2187.462474780404,3204.532137784091,0.11952903053977272,-318.12152,116.48205,13.024769,-6.9177656,-6.076817,-13.593329,-6.3098164,-4.4845614,-10.410346,1.595579,-4.5059013,1.2434407,-6.1722302,-2.0149558,-10.822227,-4.3528333,-13.086227,1.1715698,-6.2165513,-0.78445345,FAKE
0.41683838,0.03260154,1888.042007503153,2260.854646271533,3524.838534268466,0.08803488991477272,-298.50052,114.26575,-7.468712,16.695097,24.850935,-7.1101527,-17.013685,-11.675408,-6.918579,2.8156805,-7.2515883,-4.5230045,-4.6535325,-7.2987447,-9.794771,-2.3261652,-10.801812,-4.732945,-7.137694,3.457837,FAKE
0.34348089,0.046644557,2661.3161300574507,2324.812772419929,5206.875332919034,0.14829323508522727,-270.1926,59.10053,-17.82536,25.738289,-10.230855,-0.74518275,-10.988195,1.1054413,-10.246657,-3.1665986,-5.3621593,1.0307842,-4.012938,-6.860634,-13.070255,-4.934969,-8.387745,-1.2953163,-2.7900164,-1.1622914,FAKE
0.26265937,0.098703355,2170.3581942923083,2088.6183649955865,4008.3568226207385,0.10640092329545454,-201.16269,85.764084,-24.679811,3.629603,-17.893368,-3.632376,-26.991302,-13.955138,-14.504439,2.9470148,2.5582094,10.188865,-3.6871526,-14.339105,-19.64777,-10.609003,-7.7270694,1.7840009,-0.84827286,-0.60816956,FAKE
0.4298586,0.04577181,2284.30904116504,2109.2640921606476,4177.196710759943,0.12199263139204546,-230.78194,82.60625,-51.31285,-15.539749,-16.411541,2.0867503,-19.192741,-0.087798886,-0.26500133,1.7616519,-7.959088,-2.0472262,-2.4171953,-3.1131704,-9.923507,-4.243793,-10.818809,-5.007933,-3.0602891,7.665589,FAKE
0.48179054,0.0136619955,2706.4808232540836,2155.97794744184,4981.510786576705,0.16160999644886365,-265.50302,52.692013,-81.835266,-21.486448,-22.98615,-4.055952,-21.821371,0.029565476,-4.319516,3.7580411,0.9032635,4.6101456,0.31654432,0.5673864,-4.5339584,-0.90513617,-4.550641,0.07370489,-1.3624645,5.1142435,FAKE
0.34468558,0.021927416,2682.9528499890116,2140.9849153459018,4843.747225674716,0.14893687855113635,-229.44347,51.0636,-84.05602,-23.800354,-32.76952,-10.907769,-21.496323,-0.22215606,-1.1614939,6.7467146,-6.744608,-2.203935,-3.7775161,-4.3475347,-0.925535,6.7317204,-0.1303444,4.009779,3.3713303,1.4819736,FAKE
0.3640116,0.02566614,2660.1067483817837,2131.351458036138,4837.874533913352,0.14972478693181818,-214.64781,50.850887,-85.75038,-26.35626,-31.201056,-11.1694,-26.860077,-3.7641244,-3.5886796,1.6143768,-5.2574773,1.2379165,-2.4321067,-2.4568398,1.4685706,5.0631804,-0.90624636,5.6241374,2.3962176,0.83515954,FAKE
0.4399064,0.02279617,2591.8228151218814,2084.4898357044094,4657.778653231534,0.15735973011363635,-222.42563,59.984863,-81.6503,-20.189781,-31.065264,-9.306769,-27.191778,-5.6839085,-10.056664,2.155914,-7.0831676,0.33280355,-2.256873,1.6903801,2.3730636,8.819203,-0.10300842,7.536945,1.9140283,2.6203368,FAKE
0.3425683,0.08174733,2296.6869108693613,2028.5412808285494,4161.29150390625,0.12057217684659091,-226.11798,68.59562,-58.29238,-9.796892,-13.707913,-2.320482,-24.771955,-10.818379,-11.407844,-2.1880615,-10.26172,-0.58403623,-7.6723585,-0.04161711,-4.613479,-1.3221107,-2.0948477,2.868318,-0.40114734,0.99966735,FAKE
0.38776144,0.06605279,2609.5045795044043,2147.714679703471,4590.242697975852,0.16428444602272727,-320.7003,67.86144,-20.911098,1.2956195,-10.076255,16.032013,-15.180305,-17.748917,-11.165096,-7.2501864,-9.858959,-1.6712703,-4.1404667,-1.3670117,-0.257561,-1.362542,-2.700095,-0.3944931,-3.2946892,-2.0592752,FAKE
0.5105259,0.04690851,2762.4410929231417,2263.7590282211654,5111.444091796875,0.17646928267045456,-362.2283,56.243824,-46.413418,-13.010907,-3.8517196,10.355737,-11.944546,-14.367229,-5.069105,-2.4055283,-3.2988517,6.273026,4.0350056,1.4524366,-0.34256515,-0.9725018,-2.62863,-6.155643,-7.9643826,-0.103410594,FAKE
0.18056497,0.1477684,1269.8525735639694,1596.8970243295787,1891.7408336292613,0.051347212357954544,-259.7826,115.974884,5.1778593,19.024271,-33.283962,-28.961647,-14.076574,-15.44574,-10.731503,-12.594387,-14.290622,-8.377047,-14.735059,-4.528004,-7.5925984,-10.275321,-5.296287,-6.217014,-4.8636403,-7.2887416,FAKE
0.31643265,0.059903145,1520.9962588667915,1901.3748645420799,2837.7335981889205,0.06450861150568182,-329.1398,131.67581,-5.7895856,-9.005511,1.1022974,3.089876,-8.719036,-20.872948,-13.848939,-0.36864957,-13.519711,-1.0931522,-2.760424,-5.5085077,-8.511796,-6.2032504,-7.73198,-4.2017007,-7.929901,-0.4054117,FAKE
0.2603316,0.08490393,1126.6472303066273,1647.1075251992581,1698.6760919744318,0.04990456321022727,-300.1428,145.08043,15.619305,-3.7156515,-7.9307375,-15.862713,-13.365216,-11.529583,-16.735044,-5.4920125,-18.2281,-5.8536057,-10.833511,-3.8492203,-7.5089564,-7.478295,-11.747488,-5.22721,-11.490265,-2.5044177,FAKE
0.5773816,0.013973694,3245.895358911036,2635.7201437010654,5993.816028941761,0.19957386363636365,-391.92334,62.980564,0.08523355,11.026224,3.9419768,6.8779936,-12.794555,-0.7814718,-10.800241,0.5630135,-0.9733332,1.8993667,-6.1184006,-3.0756593,-5.3550906,0.5438791,-2.3323927,0.29637977,-1.8432819,2.651339,FAKE
0.37493828,0.08533976,2058.7346301153493,2222.684886555799,3781.0347123579545,0.10562411221590909,-319.1296,97.034256,3.954886,12.161304,0.0051128,-17.917545,-10.994913,-3.6974127,-12.971978,-7.6137996,-14.539072,0.5369596,-8.291412,-8.550328,-3.2182562,-8.017441,-7.41964,1.1684589,-9.560431,1.2438525,FAKE
0.36286765,0.05950347,1891.6040877434416,2151.2631110496513,3710.317715731534,0.10099653764204546,-332.63327,108.86162,-0.7821945,11.119628,7.513823,-1.8746442,-10.181083,-20.028246,-18.799345,2.4219437,-8.403194,-0.7147596,-1.9451176,-5.023284,-10.02594,-4.0750833,-5.4195147,-0.46678388,-8.209507,-3.4727013,FAKE
0.2524584,0.08480667,1534.8380192640152,2022.6523239899418,3040.096768465909,0.04908336292613636,-278.0243,103.94766,-1.3782657,39.599136,15.119102,-11.358621,-20.79463,-17.692705,-15.106241,-9.609473,-13.413553,-6.352184,-2.395163,-7.091327,-8.662889,-3.5688858,-12.885168,-4.2167835,-7.8609586,-5.516119,FAKE
0.37678856,0.05354773,2221.4652679957712,2227.0066102191845,3711.2964976917615,0.11556729403409091,-252.03047,99.3127,6.043437,9.883772,17.106232,7.190187,-16.14348,-19.860298,-19.65862,2.132061,-9.833265,-3.518499,-7.999586,-3.354246,-8.16526,-3.482445,-8.048592,-4.0685077,-6.8866076,-0.7957748,FAKE
0.46973664,0.035012536,3431.3065111586766,2446.2179830235214,5921.386163884943,0.22772771661931818,-310.78897,41.809933,9.66382,25.496813,-7.868126,8.610984,-14.451263,-11.579954,-16.630226,1.69469,-5.3168726,-5.3860884,-6.447623,2.894198,-7.2252636,-1.8508859,-1.2985538,0.22291587,-6.094981,2.2494838,FAKE
0.39868793,0.056762215,2342.1008758606604,2314.7226933290863,4194.080699573864,0.13505415482954544,-276.60934,94.302864,-0.3206007,4.6494527,-10.4107685,-9.87703,-7.873892,-1.6815376,-14.599295,-5.33922,-9.119904,2.0464303,-6.3114934,-4.036641,-7.9973555,-4.5367765,-6.289586,-0.17220138,-9.423565,-0.036708668,FAKE
0.3429117,0.029478826,2595.4701539849916,2401.5307143453533,5033.38623046875,0.12387917258522728,-244.42336,78.29227,-15.207999,5.249342,-22.202055,5.809479,-2.7047021,3.9078567,-7.0538206,-0.20246257,-7.793643,-8.921501,-11.694882,-4.037785,-10.422915,0.7965774,0.30593678,-0.38025102,-7.9490876,-3.686254,FAKE
0.32882395,0.07159606,1830.4611695240053,2048.7313858467633,3596.7790083451705,0.07854669744318182,-183.80934,108.90075,-32.364902,-6.481976,-26.731112,-6.3370595,-8.983938,-6.022502,-12.899567,1.1731725,-5.0670595,-4.9011517,-11.265732,2.044119,-9.116599,-3.964258,-8.333276,-3.7097557,-12.46936,-0.025300177,FAKE
0.4359766,0.06257058,2627.3353690266827,2158.0662422847695,4657.778653231534,0.16239790482954544,-156.93875,75.29571,-34.674496,9.554922,-17.529207,9.39106,-8.536887,-0.35148475,-10.096239,-3.5141268,-13.056647,-13.547273,-17.97687,-4.9152822,-8.602738,-2.9525604,-7.419705,0.73175925,-6.0407825,-1.4829888,FAKE
0.3945032,0.016968338,2998.5278496811316,2386.4484213931396,5648.061301491477,0.17701305042613635,-241.24977,47.912575,-55.457542,-15.662333,-23.46945,20.949125,7.856952,-1.6225492,-11.084453,8.086704,-1.8040943,-21.353468,-17.118431,5.4775124,-4.9113183,-1.429844,1.512999,4.8254623,-8.238474,-0.46091193,FAKE
0.35466003,0.11528833,2518.1713595876713,1948.20866271555,4125.810657848011,0.16106622869318182,-192.76015,76.44512,-34.15912,-13.835738,-27.67826,5.2997203,-7.2879915,-11.877533,-11.048252,-7.0747533,-9.259487,-3.9175322,-11.977671,-5.2711043,-6.111989,-1.6220746,-3.8122873,-1.4705752,-6.0738187,-5.9886994,FAKE
0.47577003,0.03512861,2997.764239769831,2376.5981016987466,5409.727894176136,0.20579944957386365,-345.31772,58.664036,-22.70829,8.663335,-8.250413,11.349448,-7.427844,-7.0338197,-10.604736,0.26566443,-8.382661,-4.7555594,-5.794591,-1.0866154,-5.1295223,-1.513503,-1.3488395,2.3831272,-2.6074991,-0.1772967,FAKE
0.3783922,0.094600745,1998.0160538237812,1952.2452809365395,3593.8426624644885,0.12320223721590909,-286.78323,102.98672,-16.48456,-4.5650444,-10.457286,5.6668544,-9.687773,-30.302588,-16.72552,5.5015216,-19.791336,-2.895894,-2.3485422,-6.4902925,-4.447775,-9.307735,-7.704761,-0.582655,-8.713788,-5.5008693,FAKE
0.24154487,0.12780684,1228.4377721083495,1725.9745289258442,1958.5427024147727,0.04471102627840909,-252.0475,124.8914,-0.081002325,2.695777,-14.575772,-12.264004,-15.929473,-16.662674,-18.44853,-12.391112,-16.486124,-0.88207537,-14.898754,-8.309379,-5.702333,-8.177176,-10.487281,-4.1027317,-4.7919827,-5.068308,FAKE
0.32321304,0.0443637,2590.0411463290193,2232.6055378730393,4595.381303267045,0.14692826704545456,-290.77634,67.090744,9.886069,36.316128,-1.6938057,6.2601657,-19.613533,-9.812847,-18.220375,-11.444928,-6.868683,-2.6712878,-9.830461,-2.204758,-6.7716136,-5.8205266,-9.072276,-5.196726,-5.7262616,-2.6570387,FAKE
0.5043422,0.02933494,2496.3848126384587,2460.748462005959,4965.850275213068,0.1326904296875,-340.59885,85.137215,-2.6699898,23.711931,8.483933,0.83545405,-14.362075,-9.543189,-7.784722,-2.7234623,-8.912774,-1.2717805,-4.7711563,-6.741837,-5.1626143,-1.8443387,-5.507363,-1.5152161,-1.8808751,-1.9661326,FAKE
0.5935621,0.008307569,3036.038684214751,2773.0322104700595,6295.280872691761,0.17432750355113635,-436.5995,69.59591,-5.493304,11.0239725,4.782514,6.672934,-8.913407,-2.618769,-7.463268,3.2527328,-0.7607586,2.9016306,-3.854759,-1.4113858,-0.9782492,4.68418,-2.5803812,0.9755196,-1.23748,3.5135908,FAKE
0.50263,0.05970187,2686.883163308814,2490.917768693577,5286.646062677557,0.16236461292613635,-376.35068,81.78964,-2.2724786,3.4888937,-7.836365,-10.420472,-10.233004,-5.6562595,-8.925851,-3.6755378,-7.5429645,2.6761549,-5.9758162,-2.0966094,2.9828148,-0.6976845,-4.0332046,1.9891155,-5.2109995,-1.2434168,FAKE
0.3074668,0.06432121,2148.639654957194,2006.6537173521092,3575.0011097301135,0.12233664772727272,-308.47092,94.74665,10.678264,10.525832,-17.442745,-1.5302647,-12.890632,-10.88137,-13.22283,-11.663098,-10.480181,-1.7959689,-8.7392645,-2.2106156,-5.835057,-7.2600846,-7.3435893,-4.277997,-3.555902,-2.3829536,FAKE
0.30765414,0.07614434,1842.1519785476405,1944.6335016133592,3256.4075816761365,0.08629261363636363,-272.50345,108.0539,-9.591442,8.913552,5.5751204,2.098125,-19.574553,-24.520006,-16.266787,1.9129986,-13.169356,-4.4235406,-8.649728,-9.89188,-6.6977797,-6.8079023,-11.323109,-3.7768433,-3.1493354,-2.2056806,FAKE
0.29566327,0.07437298,1637.9118686378563,1883.7935823025903,2836.2654252485795,0.07510653409090909,-260.80652,116.84778,7.491992,20.422997,9.460227,6.027472,-22.46476,-30.005194,-19.298973,-1.9818242,-12.390832,-6.3279514,-13.7641945,-10.959594,-2.545696,-3.77489,-17.05133,-8.707796,-0.2587751,-1.5463108,FAKE
0.34375364,0.083414525,2781.655824588522,2080.920536734367,4495.545543323864,0.18711159446022727,-218.63832,66.08128,7.424635,20.241718,-15.035644,6.287647,-20.719135,-14.527457,-17.37507,-8.344824,-13.654968,-3.684399,-4.633463,-4.655145,-7.54572,-4.1739182,-10.941604,-6.005719,-3.4604743,-1.5236145,FAKE
0.6583657,0.001277737,3680.323553734051,3009.553345030419,7402.527965198864,0.23383123224431818,-475.75693,49.033157,5.6767516,17.696302,-3.0728624,7.4677005,-8.272131,-0.67173105,-8.020361,1.208311,-0.54652923,2.4992578,-0.6773308,2.0098696,-3.9330575,0.9992068,0.80042326,5.2662044,-0.30397463,3.2740362,FAKE
0.3016224,0.088508524,2433.73649037452,2069.0566211776577,4195.548872514205,0.1343106356534091,-234.68207,66.80234,0.6037392,42.40302,-1.8786125,-6.06171,-20.52391,-17.484072,-12.437244,-10.771433,-13.648313,-7.402624,-5.770115,-9.068725,-7.5989504,-2.4648142,-12.349316,-2.5277264,-2.0895224,-3.63686,FAKE
0.3435531,0.052475344,1875.3700609252455,2073.494466093105,3196.7018821022725,0.09810014204545454,-292.691,116.90752,-1.2736034,-6.563066,-1.9139274,-0.69857585,-8.611594,-10.026149,-18.936913,-5.910036,-7.615891,4.061081,-9.124081,-7.2364993,-10.306754,-5.8550887,-8.483436,-6.585529,-4.731741,0.96874183,FAKE
0.63367414,0.008829968,4273.444405657931,2616.642373154675,7259.870494495739,0.32502885298295453,-397.67178,13.915223,5.107258,22.675926,-21.45312,10.178956,-15.0478,-2.5099971,-6.0849156,1.2689801,1.8401554,1.0222329,-2.2496078,3.9960394,-3.5203505,3.251847,-1.1584686,3.1972468,0.88336605,3.2702758,FAKE
0.37617105,0.07709351,2090.9201376461174,2255.9026105196567,4158.599853515625,0.09765625,-284.87378,95.15435,-2.181552,18.162983,3.549093,-1.7548783,-18.778383,-15.240067,-11.932929,-4.287926,-14.670816,-0.7799664,-6.3920245,-6.930922,-9.992349,-6.055423,-9.260467,-4.5198464,-2.6611009,-2.146061,FAKE
