chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.36408436,0.0823713,3336.7931753463204,2263.4354735432426,5560.705011541193,0.22784978693181818,-184.71063,49.477505,-8.723287,16.615297,-8.034302,2.555981,-21.282085,-10.308816,-13.863172,1.8738675,-9.629392,-5.602845,-11.763058,-3.3613923,-7.4032993,4.951011,-6.088222,-6.5048947,-5.2906857,-3.1267173,FAKE
0.44436112,0.021810798,2463.0451660706317,2357.188514292717,4816.341330788352,0.11344770951704546,-366.84027,76.09916,-12.632633,34.65369,7.068837,10.60672,-6.710854,-2.6942859,-9.710522,1.3863201,-5.437901,-2.7478082,-2.160074,-1.9699695,-8.700288,-2.7723258,-3.782771,-4.461584,-2.684696,0.5007859,FAKE
0.3755621,0.049376693,1705.7734344301743,1984.15849182608,3515.540105646307,0.07395241477272728,-351.38358,113.05799,-6.677127,20.919884,-6.405714,-7.6440244,-14.406665,-1.8733903,-8.872857,-0.9957931,-5.3743243,-3.9858358,-1.9196814,1.4202784,-5.1565704,1.2322024,-2.794217,-2.937915,-9.117651,1.9448456,FAKE
0.40235633,0.062411383,2696.2017837261646,2272.6136618158844,4705.983664772727,0.16075550426136365,-271.99188,79.60394,-2.107707,8.332436,4.9848795,7.2379303,-11.756076,-15.949246,-16.407652,2.78403,-8.094404,-0.54648817,-8.055025,-3.2923071,-8.536033,0.24039611,-6.8959966,-0.062248014,-9.693985,-0.04144857,FAKE
0.31178614,0.034991603,1752.4538448841347,2073.903820470808,3497.677334872159,0.07498446377840909,-317.80142,115.62373,-3.3248224,-8.052869,-19.503143,3.454213,-14.910056,-3.1265984,-4.5608273,1.1341552,-3.8175573,-0.683964,-2.7640867,-1.0512763,-6.7556014,-2.6758652,-5.4079328,2.7030067,-0.5987534,1.9468739,FAKE
0.39199865,0.054677356,1598.9397830135624,1503.630827463633,2224.771395596591,0.09138627485795454,-219.91568,120.519646,-80.27118,-58.276283,-55.53303,2.3374903,-27.366003,0.19364157,9.072796,8.176635,-18.598309,4.254311,-11.799759,-4.7055984,0.16290258,-0.832205,-4.991897,8.530968,-0.98001134,11.334126,FAKE
0.48816213,0.038446765,1862.0155508242794,1619.6324647552328,3144.8264382102275,0.10513583096590909,-212.1811,102.81313,-93.06786,-29.204016,-50.803257,-5.526042,-12.572474,13.598093,4.0107274,12.062073,-4.830296,3.0047438,-4.03571,2.7435958,-2.17494,-3.4627311,-8.947757,3.4102006,3.5237863,7.6192827,FAKE
0.5327436,0.01932752,2154.430521933439,1818.3422012719502,3760.480291193182,0.12770774147727273,-251.44032,91.02193,-84.16625,-19.14362,-37.489048,3.058738,-6.1288605,10.003819,-2.982228,7.701118,-2.910842,3.2902238,-5.948258,4.8603463,-3.0297766,-1.0262511,-8.333042,2.8656628,2.877511,4.8275485,FAKE
0.46599302,0.012717094,2384.0052384453693,2074.2618204065566,4277.277166193182,0.13739568536931818,-273.05124,84.42896,-61.993824,-9.8833,-31.662916,-9.3409195,-10.984271,1.4395036,-10.221602,4.9455495,-0.7876306,3.2937624,-2.1951408,2.1699724,-1.9007317,-2.4644873,-4.4851465,2.2937493,-1.737154,6.232405,FAKE
0.48908764,0.00936028,2576.242910768086,2179.2066333254106,4872.62129350142,0.15198863636363635,-286.60474,78.44224,-57.013515,-3.4805949,-23.91256,-3.1298182,-13.568035,7.685905,-11.189825,-2.5692866,-4.3447886,5.886551,1.917867,0.493999,-5.831991,1.8143369,-3.879027,1.8918468,0.9352701,7.3419743,FAKE
0.33232114,0.059430026,2188.887085302295,2029.4015374756602,3951.3427734375,0.11076216264204546,-235.27448,86.56487,-33.03686,21.97474,-3.1356597,2.3682096,-18.890345,-10.235705,-5.484847,-1.2183113,-7.7561216,-6.6294765,-6.679213,-1.4830257,-9.533556,-0.45294493,-8.782514,-2.6180172,-3.9956992,-3.693335,FAKE
0.28464827,0.09943629,2395.4386295857544,1983.9362692525879,4216.103293678977,0.13152521306818182,-228.31818,81.95767,-11.7283745,8.801178,-22.836515,-3.6154106,-18.033894,-16.753565,-11.048736,-1.8298215,0.621635,2.3731022,-8.246115,0.96729314,-8.073711,4.789672,-11.25693,-4.0972853,-0.8573808,-4.0013704,FAKE
0.30941173,0.06718045,2714.4589751186336,1961.9708799419473,4498.971280184659,0.16926713423295456,-279.58478,70.41721,-6.225116,12.836273,-27.73194,-0.79013723,-0.24478692,-4.8221083,-2.359142,0.8783148,2.3607311,5.2223883,-4.3660874,-2.912683,-9.21247,-4.192249,-5.9980407,0.43559596,-2.1991353,-0.27784798,FAKE
0.35574427,0.023902202,2617.1185889299204,1859.2270453232113,4482.331986860795,0.17823375355113635,-275.42728,89.01362,-42.5632,-12.069989,-52.44023,-5.390597,4.0880346,-1.4159284,0.115366906,18.232807,-3.1392462,-0.5445543,-14.644637,4.835797,-1.545313,-2.71163,5.1933746,5.1122327,-3.6327667,2.463102,FAKE
0.29923666,0.112251274,1644.9172428708034,1727.0283049963743,2775.5809437144885,0.08197576349431818,-210.5766,123.62202,-30.447868,-17.045708,-33.2163,-9.556572,-13.520019,-7.082051,-7.4684386,6.0744004,-5.1241965,-10.9025955,-5.8926516,1.9423947,-7.618076,0.62442756,-9.530227,-1.6881353,-7.043713,0.6914939,FAKE
0.29777235,0.014056259,1974.6516805852543,2128.575834997915,4073.935213955966,0.08378462357954546,-327.02188,110.74771,-20.77082,-4.8618193,-37.995483,0.54577667,4.1543536,12.265802,-9.01399,13.572819,2.759701,-6.097247,-11.924,6.934791,-2.0367575,-5.854195,-7.2386203,1.8259645,-4.1962914,1.3664367,FAKE
0.3582018,0.047343526,2024.4154688731628,2039.0536584357499,3815.536776455966,0.10073020241477272,-283.50656,102.55686,-31.84762,9.02524,-11.571226,-2.6115518,-9.1738825,-8.032813,-8.801903,9.307158,-4.903257,-3.370094,-5.545257,0.64357525,-9.528408,-1.6300225,-8.968735,-1.981147,-4.1481595,-1.331453,FAKE
0.23378348,0.06775621,1755.4953622852745,1879.0028777486107,3180.062588778409,0.06990189985795454,-249.88104,110.721756,-26.558996,12.042435,0.34973094,5.3535604,-22.827436,-24.786274,-9.099636,3.758735,-4.7904553,-7.0384297,-5.987021,-1.0324142,-14.366601,8.138656,-10.473789,-5.1247773,-2.134014,2.9738035,FAKE
0.39723894,0.042922374,1754.1555166796365,2051.2002363465594,3518.231756036932,0.06485262784090909,-348.20584,124.63268,6.0030293,2.2004359,0.12055185,12.156867,-11.415148,-19.78058,-19.572294,10.709921,1.8058754,-4.0693183,-1.4534335,0.033255816,-3.7869728,-0.73738426,-8.747042,3.5147858,-4.0093465,-0.32682976,FAKE
0.30833673,0.05017384,1641.2522741049202,1805.2613275153105,3014.403742009943,0.08104359019886363,-275.76334,135.06407,-13.918285,8.021107,8.354152,-4.072147,-23.762676,-12.98179,-11.4265375,1.5662682,-5.764036,-5.1995006,-0.87353265,1.434348,-13.320935,1.9258186,-3.1960855,-4.434162,-8.041344,-1.1400677,FAKE
0.3418477,0.06564503,1480.0670744164756,1810.8944549775458,2627.5401722301135,0.05641867897727273,-284.5797,132.03572,-19.227585,4.401783,14.673291,14.252868,-18.456804,-14.584779,-25.341919,0.093459986,0.83569074,-12.028528,-1.9913299,-0.526321,-13.190033,4.6751237,-10.117617,7.3811398,-7.550596,-2.359466,FAKE
0.37203428,0.0396919,1797.68089120866,1894.5843336760227,3019.787042791193,0.09722345525568182,-353.2654,126.13795,14.1669035,10.559352,-5.505953,-1.1491467,-14.349795,-7.609237,-7.274556,5.004021,-1.2701777,-6.7821546,-2.821203,-2.3030593,-7.768185,-0.44952214,-5.3220315,0.6529894,-9.880149,1.236039,FAKE
0.3690464,0.03256284,1460.7330154321198,1789.1644620633704,2772.155206853693,0.054365678267045456,-323.36716,137.1216,-13.304203,25.251411,9.521839,4.581114,-23.382,-15.914716,-5.1364403,6.3221374,-5.55958,-0.32588044,-4.64686,-1.4973068,-6.52668,-2.1719682,-7.372314,-3.8869123,-6.885153,-3.3033972,FAKE
0.33349672,0.029715328,2394.325707487048,2133.724235994165,4486.002419211648,0.12517755681818182,-287.53812,75.10922,-30.637117,28.235329,-4.4789042,6.63909,-13.003315,6.26857,-9.553686,3.0854719,-6.066168,1.0481675,-2.2606373,-3.8137324,-11.862492,-3.674547,-6.4801426,-2.346382,-0.94297546,-0.7777767,FAKE
0.26350242,0.07235331,2107.235950532889,2043.1449017545854,4025.9748979048295,0.09894353693181818,-209.734,91.81268,-31.142424,11.624948,-19.710997,0.05781386,-26.774208,-6.4659915,-9.968581,7.518649,6.770181,9.634428,-2.8534157,-11.102779,-18.548887,-9.370591,-7.1640706,5.592728,1.0869788,2.394938,FAKE
0.45052195,0.035402585,2254.992069723304,2062.692877493786,4173.281582919034,0.12129350142045454,-231.8421,91.78692,-47.842457,-3.361206,-11.765467,6.7567873,-23.32158,0.21112925,-0.024988793,7.3086367,-1.6537141,0.92084754,-0.7929887,1.4299582,-6.778976,-2.8182602,-11.729111,-4.6704082,-6.679085,4.526579,FAKE
0.48764586,0.0137220975,2656.112889204234,2155.138928605163,4914.95361328125,0.16032270951704544,-257.35745,64.97902,-70.66003,-10.518486,-13.051472,5.0658784,-13.994038,6.8222003,1.2427037,8.228898,4.284682,7.0205874,1.902567,1.4859986,-4.109165,-0.77974015,-4.7412615,-0.1669395,-1.8775342,4.5686626,FAKE
0.34475425,0.02195207,2662.3465198838635,2141.9322317560673,4818.543590198864,0.14817116477272727,-223.07431,60.326088,-75.24015,-15.096326,-24.781347,-3.23166,-14.631558,6.0007157,4.2896037,11.382646,-2.9293792,0.892417,-1.4974083,-2.6872537,0.025776494,7.2548046,-0.17153324,3.6657233,2.6245832,0.5371912,FAKE
0.36659512,0.025716359,2615.079422011594,2128.338785354793,4759.816672585227,0.14568536931818182,-205.13678,65.45194,-72.60886,-13.710116,-19.556248,-1.2975454,-18.114729,3.1409676,1.7427013,5.563174,-3.0308187,2.4630022,-2.4804423,-3.3381941,-0.045064546,2.9754763,-3.2117875,3.0964277,-0.07260639,-1.499728,FAKE
0.4409426,0.022820693,2560.366256271772,2080.109159262976,4614.712246981534,0.1564053622159091,-215.19249,71.224174,-71.692184,-9.929753,-22.12752,-0.6861414,-20.01616,0.8659492,-5.1602764,6.4027863,-4.4754257,2.297732,-1.5454098,1.8219669,1.7391208,7.8492923,-1.5111699,6.0221157,0.30556095,1.1175892,FAKE
0.35705927,0.06562975,2381.9038367335415,2033.603127770027,4443.180708451705,0.12498890269886363,-215.05049,74.26447,-56.43989,1.0960418,-13.956497,3.8225439,-23.493181,-8.653469,-8.74118,1.0903996,-5.551653,-5.1386843,-5.503552,-0.60351807,-10.131672,2.0149229,-6.1967683,-0.094139986,2.980961,0.84222215,FAKE
0.4392156,0.052420177,2632.103634385367,2197.3626219845837,4738.528164950284,0.15959028764204544,-306.50507,74.86512,-17.401598,9.96528,-3.4353552,19.242813,-9.989464,-9.245469,-7.40916,-3.0208297,-6.8699183,-1.654269,-2.1202412,-4.691166,-1.7752877,-0.24446301,-3.0576131,1.1707205,-2.1724503,-2.2855692,FAKE
0.51928836,0.039527833,2503.2598187995604,2176.465469638607,4728.740345348011,0.15577281605113635,-356.7637,79.81091,-35.2959,-0.09793455,0.026259422,21.773418,-6.5112276,-5.0713534,-2.044629,0.4216163,1.4709114,1.3064822,6.313217,0.8450478,-2.4130652,-2.3690164,-5.1648607,-4.1885886,-8.391158,-0.1651993,FAKE
0.21130832,0.09438708,1437.4915113514621,1752.5642735674844,2403.1544078480115,0.050248579545454544,-257.5627,116.59539,-4.19935,17.35715,-17.127045,-12.581027,-22.866688,-4.3604627,-12.124447,-0.37541988,1.0674584,-9.6770935,-9.476643,2.388603,-15.854025,-0.4728509,-3.6918724,-3.7325644,-2.8407657,-2.8095393,FAKE
0.30621424,0.049234,1256.7113094135436,1775.9304279167254,2342.959317294034,0.04880593039772727,-358.6582,141.29283,5.372015,-3.624205,5.1063633,6.7151866,-15.116894,-14.095645,-11.991925,3.2159102,-1.3780601,-4.249973,-2.0936968,4.0205016,-5.258347,-1.0970225,-7.2012177,7.3193192,-10.748275,0.24118038,FAKE
0.28293496,0.05618185,1092.8359845926348,1490.1943307741485,1588.07373046875,0.0467529296875,-319.37042,155.25278,-0.49354923,3.899665,-4.277372,-9.674537,-20.94245,-9.022719,-17.394567,-1.7309128,-0.67298365,-6.0234303,-9.986288,-0.074823566,-6.10086,-0.3780174,-4.2819033,1.6286708,-9.415544,0.7407064,FAKE
0.53477097,0.011627913,2512.962280698527,2464.6282669395787,5097.741144353693,0.11269309303977272,-423.86044,88.87188,11.944434,28.287434,5.0304074,8.427119,-8.128002,2.2754507,-10.299881,5.021134,0.6099708,3.5540464,-3.6080544,-1.1552916,-6.631139,-1.6873287,-4.469635,-0.5839867,-4.920319,-0.9773363,FAKE
0.38367966,0.05305774,1805.8699512260102,2106.2098725708433,3543.680087002841,0.07215465198863637,-345.54208,106.38755,4.388698,19.999708,2.3936262,-3.4864511,-21.644688,-2.5547566,-5.8696394,0.29505107,-3.2527504,-3.66529,-2.8006742,0.65285736,-5.885786,-1.3102844,-5.12218,-0.73504585,-4.69322,-2.282492,FAKE
0.38718486,0.036166,1573.8134014218324,2025.1051725408363,3171.2535511363635,0.0589599609375,-369.07904,128.2518,4.601946,11.390113,8.225487,6.9356613,-17.462803,-4.4370213,-10.447387,1.0695308,-7.93305,-2.8473651,0.7153977,1.3871627,-5.5832458,2.0938125,-7.6656084,2.9164515,-3.7854836,-2.519598,FAKE
0.28569487,0.054082632,1437.2880599146638,1784.810021026859,2606.2516645951705,0.048994584517045456,-313.52084,115.26113,-5.877077,40.2344,22.928051,-1.0837075,-25.436134,-17.410194,-11.728705,0.53456277,-12.936985,-8.445059,-6.156805,-1.915952,-9.952401,2.2105126,-6.3661895,-5.1576843,-0.534782,-0.7385334,FAKE
0.40066278,0.041586574,2096.069797322113,1932.2599652239935,3621.9826438210225,0.11373623934659091,-289.5153,111.24651,-0.55053854,18.3267,10.780875,15.053454,-13.657587,-22.963186,-21.200832,2.3798,-4.3097835,-4.5862327,-7.9596806,-3.4619339,-7.590059,5.684655,-7.0409684,0.26662844,-5.7369823,3.478756,FAKE
0.44999927,0.03030441,3083.416201268799,2243.6318666942207,5370.087224786932,0.19553444602272727,-321.6562,59.0802,3.4223375,28.21595,-2.8313806,14.374573,-7.393305,-8.461526,-15.838309,4.3368115,-11.123048,0.3847575,-6.6852965,1.9172863,-4.4492373,-0.93532085,0.29918486,0.85577893,-6.712524,4.120714,FAKE
0.4016058,0.047990564,2210.019369778421,2074.7575404698887,4027.932461825284,0.12412331321022728,-302.4591,100.07311,-3.7689202,22.238045,-13.425213,3.9943519,-13.047177,3.4211707,-11.782035,-1.0664959,-2.0804343,1.2081978,-7.1502395,-0.8961981,-4.614696,-4.955183,-5.799917,1.0912627,-7.103802,3.398073,FAKE
0.31169292,0.023569863,2552.754788573819,2320.1811745125087,4955.817760120739,0.13010475852272727,-267.48935,83.67273,-16.180937,13.382528,-28.20641,10.13869,3.1256444,7.277864,-10.040132,1.8832377,-9.221061,-4.410326,-9.875656,3.843561,-8.2495,2.6503012,-0.45592415,4.5771074,-10.16324,-5.1276507,FAKE
0.34800145,0.052236054,1947.494688459483,2006.1006498052504,3810.6428666548295,0.09305087002840909,-204.51202,106.38464,-37.35729,-1.9208947,-32.20771,-0.08408434,-2.262135,-0.98020643,-14.032516,-0.13436346,-6.293341,-5.8164463,-8.256442,11.07547,-7.4993625,-1.9168828,-5.133451,4.794555,-11.326802,-1.9954244,FAKE
0.48485935,0.04154707,2740.8642163708646,2180.9400750705,4866.259210759943,0.1773348721590909,-175.98662,78.70875,-37.40053,-0.9001093,-18.080833,17.254072,-8.262426,1.5680543,-7.8786225,3.3817375,-13.8772745,-8.792102,-16.016638,1.1147233,-5.3394594,0.26956177,-3.6588836,5.0662785,-7.998789,-1.1847543,FAKE
0.3838425,0.016648369,3051.0985580240476,2356.230889090984,5676.201282848011,0.17908824573863635,-253.12852,37.192173,-64.381134,-20.755539,-26.202135,25.864372,14.242429,5.248578,-4.7857847,16.441818,3.746539,-17.873383,-14.103424,9.437375,-3.686634,-0.5127248,2.4225836,5.23194,-9.848199,-2.0467756,FAKE
0.357814,0.10309875,2692.348276250205,2071.1081330752686,4675.641424005682,0.16704767400568182,-186.55653,76.03028,-29.967323,-6.613085,-29.06361,0.4372328,-8.443876,-9.320148,-10.700866,2.7286704,0.2091742,-0.64952826,-8.372601,0.7396958,-12.775718,1.5228382,-5.211739,-2.6331117,-7.0665364,-0.37785843,FAKE
0.5016775,0.03748703,2626.4307885973353,2362.0193794354536,5149.371892755682,0.14971368963068182,-334.4867,75.7136,-14.414877,20.67737,-5.1130037,14.63663,-3.4483907,-3.5710015,-8.3346405,4.5524936,-3.6123126,-5.832808,-0.058482084,-1.112562,-7.988957,-1.4342605,-1.162241,-0.8036865,-3.846259,-1.3068298,FAKE
0.36082456,0.082089946,1919.7302351044573,2002.959216511622,3301.9209428267045,0.10117409446022728,-284.73926,105.92295,-13.135009,-2.639025,-6.5995173,16.62454,-13.619549,-16.930727,-15.271027,5.867684,-4.9199014,-8.242931,-5.2721057,0.27333173,-7.253354,-2.3433769,-7.877887,0.6743047,-8.420808,-1.7481532,FAKE
0.22381711,0.08883662,1344.289571926598,1749.145215611969,2306.0102982954545,0.04507723721590909,-260.67502,124.58081,-9.621709,8.148642,-9.5716505,-2.8163815,-25.042255,-4.9041157,-10.432062,-6.840094,-4.8650374,-3.1551926,-6.6610093,-5.08526,-11.568624,5.2090154,-12.23724,-3.2617514,-4.075438,-4.205616,FAKE
0.3889928,0.031432007,2541.152367948976,2075.506989974158,4453.457919034091,0.14443137428977273,-311.7857,82.86826,1.6759808,32.437393,8.657214,9.540715,-16.128164,-7.7647505,-14.849755,-5.0140553,-4.6351852,1.1709911,-9.131103,0.616324,-8.3409,2.589593,-4.4710536,-2.481961,-4.838143,2.2209208,FAKE
0.48679554,0.022480147,2019.4536620959261,2140.23867753861,4129.970481178977,0.08751331676136363,-385.9033,104.24079,-3.2617104,39.574932,12.944808,8.255329,-18.195738,-10.992486,-6.2437606,4.819535,-5.1827717,-4.160397,-2.5145574,-2.3226717,-11.224412,3.700918,-4.5779204,-7.157774,-0.17513897,0.53914607,FAKE
0.6014919,0.009856031,2306.5715115792045,2512.0540829318893,5041.705877130682,0.0968017578125,-458.75574,94.23125,2.5658464,25.350206,8.05194,15.390382,1.6396451,1.6939588,-2.7446573,2.6735685,-1.9398516,1.5546619,-2.3777647,0.8196644,-2.9108803,3.121375,-2.8117042,-2.1297548,-2.8072097,-0.6341062,FAKE
0.5414184,0.040907953,2292.5564875986643,2342.1681975815177,4709.65409712358,0.10973011363636363,-402.10373,92.38685,2.1072168,21.408396,2.684434,2.9693754,-7.8359165,-1.4131777,-5.3508434,-1.5035923,-1.0134994,-1.5228845,-6.6437907,-0.4807007,-0.680447,-1.2886584,0.16403499,1.0489119,-5.9188232,-0.7922332,FAKE
0.31278446,0.044563197,2002.5682671907912,1820.1959210203402,3180.7966752485795,0.11086203835227272,-335.27982,108.63799,7.0903745,16.283846,-8.7071085,3.3363311,-10.602154,-3.8109407,-5.0219607,-5.190799,-2.6806688,-4.629891,-10.118482,3.5984728,-5.5103374,-2.9792268,-3.2912447,-0.72667235,-4.909241,1.7260299,FAKE
0.32710254,0.057182197,1880.1402813224743,1880.1269817609414,3387.319668856534,0.07850230823863637,-307.39172,111.05269,-7.464171,13.658298,3.111148,3.3392653,-15.532441,-24.875502,-13.545438,6.481435,0.7523729,-3.5215921,-2.2496026,0.5684189,-13.592608,6.256975,-8.214153,-8.159307,-1.8752651,0.025848,FAKE
0.35164246,0.048539195,1749.1207555759713,1875.3698454669618,3063.09814453125,0.08335182883522728,-278.87112,120.28474,-1.0268329,19.33416,6.738524,10.866677,-20.23925,-24.154236,-18.241106,2.4546738,-2.5624793,-0.93923897,-8.436853,-3.8927283,-13.997529,11.405287,-4.3598537,-10.372323,-3.327334,-1.9867413,FAKE
0.37940684,0.06481232,3136.5534601753925,2157.8095398030123,5275.145374644886,0.20436789772727273,-230.40463,60.16538,4.3219376,19.207943,-6.1260376,11.997482,-24.388103,-8.26833,-14.090018,-2.8998976,-11.5192175,-3.0531914,-8.297398,0.88460445,-8.460631,4.6201897,-0.5683536,-1.4985443,-3.816307,0.98034185,FAKE
0.64218456,0.0019341022,2598.622832282002,2821.7327153445244,5980.602472478693,0.10392622514204546,-483.67264,82.59476,17.046345,28.637682,12.863354,19.135775,-0.14563356,4.6545186,-6.0562787,2.130009,-5.4145503,-0.7143085,-2.5760832,3.1142623,-3.0142374,1.2682178,-2.055479,0.65541464,-2.953116,2.933976,FAKE
0.34687594,0.06260858,2639.7794418287276,2086.3637717862903,4620.584938742898,0.1463955965909091,-251.19415,68.13624,2.0992064,34.42361,-0.81851965,6.9386916,-28.63552,-14.271475,-4.915021,-5.7087474,-12.602787,-6.788946,-7.8804855,-3.6053107,-9.369378,2.6909635,-5.6858025,-2.6264894,1.5362697,1.4998868,FAKE
0.33857104,0.052080546,1804.0760858426472,1904.907244301757,3137.240878018466,0.08867853338068182,-313.39548,124.6052,4.9490385,4.768408,-11.668528,0.15172172,-15.15628,-4.844298,-13.9735985,-0.5087429,2.9096067,-0.4071027,-2.0350118,-2.3908827,-10.266661,-0.5473291,-5.743645,-3.4761062,-4.1736045,0.1684537,FAKE
