chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.3163968,0.14552362,3115.2813056795353,2161.5541667349976,5149.127197265625,0.2106600674715909,-180.11066,54.111828,-12.873255,11.674463,-18.728668,-21.60173,-35.02866,-8.900454,-15.941684,-6.5358415,-19.45093,-6.922653,-10.719613,-12.039613,-8.632115,-13.049067,-11.353756,1.1757376,0.49377623,5.9961486,FAKE
0.327055,0.070751905,2662.1197201024374,2142.3464766838874,4747.581898082386,0.1514004794034091,-351.89404,43.842216,-15.12696,12.6305,-9.559516,-20.588785,-20.99365,-10.388833,-11.393815,-8.750171,-9.201832,-1.6911906,-5.8840013,-6.8657775,-10.437936,-14.568528,-11.281447,-0.49593198,0.36864272,10.536822,FAKE
0.2632757,0.11120152,1655.6185897897442,1746.4871905245216,2788.5498046875,0.08034446022727272,-313.77167,93.85686,-24.703716,-2.0346143,-23.46648,-29.294838,-12.702456,-16.278662,-20.80881,-4.7889957,-10.197842,-0.10289901,-5.431908,-14.101077,-8.770969,-16.9518,-12.807036,-2.714781,-6.8213882,-3.2387817,FAKE
0.29878807,0.12926705,2428.267869702005,2042.4412100093061,4173.281582919034,0.15415261008522727,-246.98691,75.801506,-17.717949,-1.3690871,-3.1227317,-20.223211,-30.7545,-16.011106,-11.464627,-5.8307414,-15.757145,-6.7410145,-6.1373057,-14.930674,-11.007203,-10.833426,-12.863563,-5.271672,-6.6379056,-6.320676,FAKE
0.26690003,0.05852473,1706.7321235022848,1956.1265112493047,3274.270352450284,0.07470703125,-287.73416,102.99344,-18.174612,-10.068954,-29.012318,-21.738008,-23.859419,-6.244482,-9.455993,-2.5779264,-15.388135,-6.8136244,-4.940606,-10.171433,-10.337321,-17.643074,-10.6057205,-1.773138,-5.4944644,-3.9679534,FAKE
0.407307,0.05633973,2518.6640846318774,2154.4542039472362,5020.172674005682,0.13139204545454544,-171.41997,63.0114,-71.23178,-46.922604,-77.64453,6.374646,-33.45758,0.41611716,1.2892038,4.099678,-15.495589,-5.230663,-12.039636,-6.1617494,-3.9980247,-2.4599316,-5.0822573,2.537144,3.2337267,5.360966,FAKE
0.4741661,0.03842869,1872.6565562797273,1615.4792427554376,3158.774081143466,0.10486949573863637,-220.98041,91.016,-105.283134,-40.382828,-62.33756,-15.855591,-22.875978,4.3866315,-5.0069623,4.2135177,-12.404939,-3.6504462,-10.241681,-2.738479,-7.034843,-7.6667585,-12.674823,0.34073162,1.1112778,5.74219,FAKE
0.50762004,0.019534739,2167.49299114991,1810.0760441029558,3770.5128062855115,0.1270419034090909,-261.08475,77.78549,-97.83471,-32.331345,-50.76798,-9.024024,-17.36753,0.26182744,-11.601885,0.50022906,-9.483832,-2.282697,-11.136474,0.3351035,-7.2903104,-4.612444,-11.405715,0.73423177,1.2747756,3.8974175,FAKE
0.4662598,0.012676928,2409.7068195127436,2071.21877006274,4307.864102450284,0.13849431818181818,-281.00818,73.608284,-72.77414,-20.219145,-41.876877,-18.904335,-20.10291,-7.0227084,-18.271605,-2.4465399,-7.5170064,-2.7797832,-7.8803363,-2.99964,-6.5372925,-6.5594363,-8.286382,-1.1258941,-4.7336445,3.792402,FAKE
0.48825985,0.00931188,2614.4494581845975,2172.186103733192,4912.261962890625,0.15102317116477273,-295.0641,66.7913,-68.60164,-14.671772,-34.861027,-13.444747,-23.448214,-1.5532478,-19.856058,-10.508559,-11.651892,-0.7376012,-4.1058364,-4.87492,-10.512494,-2.2891183,-7.438496,-1.2674463,-1.714806,5.0935845,FAKE
0.27602738,0.15730019,2118.517534516694,1920.1459569236022,3727.4464000355115,0.11320356889204546,-216.73492,72.52769,-36.534485,18.34495,-13.680349,-26.131569,-27.738737,-15.148459,-16.607573,-14.566007,-10.5679865,-4.573061,-13.547137,-14.300425,-5.0999317,-13.388398,-16.67753,-3.205248,-3.855642,6.075056,FAKE
0.23672369,0.16334039,2304.852082940411,1886.9703321307088,3594.0873579545455,0.13527610085227273,-206.42685,82.22867,-24.709345,-11.207121,-14.060007,-31.297718,-26.648584,-15.913505,-19.058527,4.3720965,-10.560686,-6.3249965,-9.155106,-11.003005,-9.716061,-24.178255,-13.147528,-2.8055112,-7.105298,15.941012,FAKE
