chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.35245475,0.097294696,2802.687821343741,1945.6434837436443,4707.207142223011,0.18522505326704544,-190.20164,67.907,-32.416065,37.885338,5.8817477,-2.9996376,-8.81922,-16.340254,-12.130551,3.2070777,-9.738931,-7.9074097,-9.937294,1.8033149,-6.788534,5.495229,-3.403346,-6.1120424,-4.0140886,-1.917157,FAKE
0.44501445,0.0373901,2522.3778665545306,2466.781985825079,5171.394486860795,0.11321466619318182,-336.3909,79.40326,-11.761286,29.616657,17.27904,-7.8352523,-6.4306407,-10.512141,-11.717727,4.103317,-11.218836,-3.6029627,0.5529937,0.35169747,-6.778784,-0.11655199,-6.0154724,-3.5618608,-2.3450513,1.5678432,FAKE
0.2955572,0.07808296,1773.3543755121768,1996.0344560863903,3795.471746271307,0.06916947798295454,-295.93143,122.403046,-15.074072,30.130129,-5.0574474,-16.825264,1.1181405,-3.8898542,-7.7922664,-0.86746305,-9.547158,4.7906156,5.4283576,1.4198993,-0.25654417,2.0414917,-7.034811,-5.41807,-2.233742,-2.111109,FAKE
0.39322722,0.08337892,2278.093950433354,2034.0305759730452,4301.25732421875,0.13095925071022727,-244.32188,108.745285,-23.52201,15.777029,21.644712,-3.6420732,-9.391194,-17.226685,-21.039507,0.26814446,-4.429119,-3.371422,-2.2683866,5.2840724,-5.3445406,1.959346,-2.481567,-6.2413707,-8.110296,4.472166,FAKE
0.32253277,0.039953753,1732.925717935102,2032.3658142537986,3429.8966841264205,0.07090065696022728,-283.64548,121.11672,-17.972597,1.8300894,-4.8815722,-3.8290696,-3.1191435,-1.6975585,-8.314281,1.6799601,-2.680377,2.4800584,-0.8542503,-0.10987394,-4.4652843,1.6660317,-5.2025385,-1.0400904,-2.0891418,2.343142,FAKE
0.3916109,0.055144653,2056.311784561969,2036.542375383323,3819.451904296875,0.10043057528409091,-174.86426,90.35197,-64.245735,-43.38748,-45.888027,-6.0457106,-7.487517,3.5252638,9.939811,10.756878,-7.0605927,-1.7336726,-6.725261,-1.7583091,-1.2420576,1.1209983,-4.320608,6.2089934,2.5995076,8.281327,FAKE
0.4806333,0.038498033,1872.5091010020476,1664.4089942033547,3172.4770285866475,0.10531338778409091,-206.56816,103.850365,-86.20259,-28.181871,-45.26412,-5.215834,-8.461988,13.411958,6.54322,11.929597,-2.988015,2.6850293,-2.7472906,2.7875962,-1.4112275,-3.2746131,-8.145288,3.5598128,4.3158555,8.541045,FAKE
0.5369309,0.019558888,2143.974442873548,1868.9343995560537,3771.002197265625,0.12549937855113635,-243.89015,93.857445,-75.90864,-17.061216,-31.541357,3.4339883,-2.129349,9.782352,0.62370855,8.689236,1.3687539,5.7179017,-1.224664,7.69632,0.825293,1.4859465,-5.0793176,4.7010956,5.4690137,6.8426313,FAKE
0.46517038,0.01286919,2373.010072979023,2108.812086824035,4286.330899325284,0.13811700994318182,-267.76923,87.291626,-56.578247,-6.877446,-26.416937,-6.716029,-7.213242,3.396608,-7.1435094,6.625179,1.9872981,5.4899783,0.13831112,3.7900147,0.06084615,-0.46025085,-2.8148253,3.4489546,-0.08956093,8.081492,FAKE
0.48792267,0.009542094,2561.4695075226828,2206.211188466627,4873.355379971591,0.1494473544034091,-282.57132,79.51279,-54.23038,-3.2283845,-20.951448,-2.2611134,-12.037155,6.976683,-9.79714,-1.7496929,-2.6921806,6.2167497,2.8708334,1.109735,-4.4949827,2.5522184,-3.278306,1.8519485,1.3530328,7.908485,FAKE
0.36779335,0.08958847,2082.0200312929696,1897.3093439327843,3813.0898215553975,0.10830965909090909,-220.55121,97.9552,-42.019966,32.7626,19.181456,-13.827316,-9.420768,-8.182862,-16.240475,1.0403768,-10.817049,-5.2088246,-1.3699749,-1.2975588,-7.710498,1.0589359,-1.5017707,-3.8677065,-6.480011,1.0831313,FAKE
0.3124189,0.10202691,2257.6675289921272,1863.677251615842,4056.561834161932,0.12010609019886363,-213.3228,101.38076,-29.214684,26.08835,-5.341379,-15.089176,-4.1504917,-24.736938,-16.666315,2.2942097,0.61104727,3.722561,-1.9859754,-1.7667587,0.043615352,2.2556796,-10.574159,-4.140173,2.611346,-4.559702,FAKE
0.4107213,0.06046811,2628.3721023479966,1987.3028744565977,4659.736217151989,0.1689120205965909,-250.31339,92.51401,-22.514536,20.47391,-20.525415,-4.0340633,4.453103,-13.464489,-6.713121,3.233288,2.4448943,5.600279,-3.2020845,-3.0376563,-7.567097,0.7397022,-5.511763,-6.745573,0.59924275,3.9658158,FAKE
0.3991995,0.019400973,2435.9290035149893,2029.0167982252308,4319.609485973011,0.15352006392045456,-268.88205,93.55259,-40.23303,-9.162924,-40.7768,-7.8793077,7.9152555,-1.7889953,1.8672009,14.250706,1.5567269,-4.382897,-13.619184,4.801212,-3.0480897,1.8811034,2.004806,1.0834608,-1.7034036,2.653188,FAKE
0.32486618,0.122615606,1510.8956320932114,1497.0062401811736,2691.650390625,0.07691539417613637,-198.77989,145.85692,-57.3402,-2.5072658,-6.7435956,-22.776024,-5.001831,-3.9314897,-13.767541,5.257128,-10.604028,-2.7357671,-3.8317544,2.195164,-3.3401191,-0.67745084,-1.9482952,-4.105733,-8.898266,2.2892063,FAKE
0.28825593,0.020524181,1942.4682481878613,2166.510216327394,4021.080988103693,0.08401766690340909,-309.66437,111.89031,-18.271034,-1.5028907,-24.555717,-3.5543978,3.7174037,12.069306,-3.6610296,9.352901,1.8134665,-2.9219058,-7.7068334,5.220883,1.0454949,-0.81342167,-4.6863194,-1.2257109,-0.20861426,5.701992,FAKE
0.41761866,0.07129505,2034.6401350424624,1949.2847457371593,3896.7756791548295,0.10989657315340909,-257.38165,113.238106,-43.974392,15.927865,4.3782964,-13.574102,-3.9935324,-5.8543286,-12.828006,5.0267625,-2.081733,-2.4309278,-2.8216486,1.6052512,-5.9311204,-1.1487972,-4.9968476,-4.1914277,-0.96809006,1.5711826,FAKE
0.271101,0.10925095,1576.8670237877595,1645.2061138538534,2857.7986283735795,0.058760209517045456,-203.56468,128.00124,-40.205563,28.902998,22.11233,-15.233169,-7.2191677,-22.696054,-19.92399,2.574059,-7.260645,-3.095398,-1.5317466,1.9355705,-6.193111,0.17467088,-6.225876,-5.0210104,-4.1255445,1.0863444,FAKE
0.4567937,0.06574933,1741.2072173716551,1982.1460907672265,3639.6007191051135,0.07337535511363637,-290.89334,142.42137,-17.634113,7.329388,18.419802,-4.3450284,-5.851379,-17.884706,-13.4199095,6.504662,1.899752,-2.079931,-2.0166101,4.9374757,-3.9257154,-2.9431572,-1.2541312,-6.5089993,-9.055869,4.1322207,FAKE
0.37444162,0.06103954,1695.8842707778124,1878.4748630185402,3402.7354847301135,0.08043323863636363,-252.27168,137.11517,-19.304596,28.132784,31.924883,-17.350391,-7.76841,-17.799639,-17.15666,3.0013137,-11.561051,2.8955514,-0.68342346,3.3754175,-5.91592,6.272636,-4.8347907,-6.2063723,-8.209453,5.977019,FAKE
0.3017485,0.087141104,1410.6408250229663,1681.0237695499554,2787.081631747159,0.06263316761363637,-261.34558,157.21602,-23.920311,10.246661,41.801746,-7.3137417,-4.808811,-20.700493,-24.25283,3.4424462,-4.780813,-6.60907,-0.7598245,8.486204,-7.2635407,-4.5447774,3.2888901,2.312367,-11.923838,3.306067,FAKE
0.40209857,0.056879845,1645.5832449275406,1770.934109791219,3034.4687721946025,0.10117409446022728,-296.10507,150.51292,-4.5572867,12.899242,7.548212,-13.77063,-3.9606574,-12.650582,-8.986442,2.5774748,-5.240987,0.32593343,0.04689857,6.7255526,-4.7609043,-1.5019677,-4.783043,-4.1280384,-5.109826,5.4619584,FAKE
0.45872733,0.03878199,1611.6189266104755,1928.634523241616,3274.270352450284,0.07697088068181818,-285.2234,140.33559,-18.631397,30.865084,34.02962,-14.019918,-4.476201,-16.25572,-10.900839,5.3311467,-7.7063594,7.927017,-2.0583394,5.523872,-3.5901566,3.7067008,-5.3597417,-5.2268205,-6.7820525,5.4659367,FAKE
0.35478416,0.040404823,2242.128845989192,2164.040258581868,4296.363414417614,0.11443536931818182,-259.85324,81.224846,-24.656391,34.64569,5.5322556,-6.774161,-3.9792535,-2.1128476,-7.443312,4.1924725,-4.9874415,7.0323133,-4.503188,-0.9452007,-10.84608,-4.4064956,-5.0533595,3.0289528,-0.7906346,3.0626044,FAKE
0.27701026,0.089720376,1914.8928510148683,1897.700886928278,3682.422429865057,0.09097567471590909,-194.8438,105.52549,-34.788185,19.376856,-6.6026897,-4.253429,-19.464956,-8.071273,-10.3329315,9.063188,6.6298265,8.374946,1.0436571,-4.8206816,-19.501745,-8.816052,-3.8664072,1.6546772,-2.0938947,1.4693038,FAKE
0.43295914,0.039439157,2236.367576812283,2045.0406795244553,4220.997203480114,0.12103826349431818,-224.9107,95.64844,-48.364468,-1.8721637,-7.517935,7.353105,-18.230404,2.4804742,-1.1550587,3.3272467,-2.2910616,1.5218644,2.1632638,2.7603786,-6.346317,-2.7133207,-8.222703,-3.9166002,-4.795267,6.666829,FAKE
0.4892351,0.01382331,2650.140059113378,2174.0986076760646,4928.411865234375,0.15911310369318182,-255.23495,65.99474,-68.78693,-10.485145,-12.77512,3.996177,-14.747839,5.053894,-0.3819141,6.297908,2.3944395,5.2517138,0.48105973,0.2839254,-4.997044,-1.4130734,-5.383987,-0.4610256,-2.0130866,4.8141575,FAKE
0.3456421,0.022069607,2644.782602933625,2148.8233622031566,4798.723255504261,0.14926979758522727,-220.65778,62.96976,-72.55124,-13.395282,-23.522581,-3.121637,-14.956558,4.982543,3.1180274,9.991418,-4.189963,-0.2632284,-2.5895503,-3.4480827,-0.6432665,6.771223,-0.4048715,3.5885565,2.6549294,0.7283876,FAKE
