chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.39217597,0.10628168,3785.4889026983133,2274.7733594471756,6093.651788884943,0.2531405362215909,-185.64723,8.350103,-10.103648,20.211855,-15.294687,-9.545943,-16.017336,-4.9467926,-14.566586,-0.04370425,-19.402632,-9.374728,-10.8859415,-8.944368,-5.663885,1.5923814,-8.388925,-4.1079445,-13.728296,-10.6969795,FAKE
0.3853011,0.03446379,2987.1958148221165,2346.826458888561,5394.312078302557,0.17381702769886365,-368.64807,40.111496,-16.399878,27.122528,-3.4440877,-5.5631237,-7.736258,-2.5909014,-8.975529,-1.155442,-8.541119,2.947267,-1.2569807,-4.2477098,-3.0553138,-1.2407281,-9.859759,1.5997483,-4.073856,-5.9105425,FAKE
0.28300932,0.079068266,2096.852917762544,2228.017120958295,4429.967151988636,0.08759099786931818,-315.9513,80.49229,-9.545841,8.693528,-23.812334,-11.494976,-9.0534315,3.398783,-21.835798,-5.8504667,-8.2973995,-12.914451,-1.0917103,-1.6283507,-4.551352,6.137227,-14.004208,-6.262186,-6.458601,-11.905383,FAKE
0.3820015,0.09423752,3053.35561193676,2332.6850987099097,5210.056374289773,0.19402521306818182,-243.88747,56.82174,-3.621312,5.790524,1.436881,-4.2663345,-17.4211,-13.884353,-18.832106,-1.7886547,-14.984796,-9.755112,-7.8347774,-3.8964067,-6.439134,-2.0795705,-8.267037,-1.6853404,-9.704438,-3.3645225,FAKE
0.30954188,0.044862773,1777.6310962878902,2052.299522978515,3355.019864169034,0.07772549715909091,-302.8884,106.20639,-5.992104,-9.105076,-29.20128,-2.6917048,-14.307779,0.7071692,-12.562866,0.5701224,-4.9547977,-3.4117217,-4.8947487,-3.4564164,-1.7837361,-3.260769,-10.79677,3.7132857,1.0147988,-4.122986,FAKE
0.3677583,0.05495684,1925.9318758030677,1828.4515258252388,3539.520263671875,0.09927645596590909,-195.62946,92.06324,-75.79158,-52.364628,-64.26899,-1.3329602,-21.423977,-6.036554,6.900264,9.299281,-18.454275,-1.9606735,-7.202898,-7.1241994,-3.171314,3.3731844,-8.241093,6.690239,4.0052385,5.8747087,FAKE
0.47807795,0.038478907,1863.3415035178025,1619.5087791584665,3146.0499156605115,0.10546875,-214.08266,100.05087,-95.86416,-32.241714,-53.840267,-8.652537,-15.681457,10.830438,1.3516955,9.966781,-6.474034,1.9402936,-4.591043,2.7232478,-1.5839521,-2.5052392,-7.499251,5.026942,5.521598,9.57942,FAKE
0.5096918,0.019414993,2163.7685351897408,1824.2720650530666,3778.832452947443,0.12770774147727273,-253.0022,87.215996,-86.99502,-23.157207,-41.123768,-1.133408,-9.586573,6.8755207,-4.916456,6.5177565,-2.9038923,3.7593935,-4.7250614,6.103164,-1.4708196,0.015100891,-7.105248,3.4330451,3.5974212,4.752506,FAKE
0.46625862,0.012682595,2401.1487443538995,2075.123125262653,4301.25732421875,0.13866077769886365,-276.30765,79.91519,-66.21381,-13.94559,-35.503433,-12.771637,-13.955674,-1.0797122,-12.381133,3.1818306,-2.0083258,2.5352674,-2.7177424,1.9112935,-1.8115882,-2.0246787,-3.911184,2.9793556,-0.8454322,7.4250827,FAKE
0.48302338,0.009338911,2604.001922950091,2174.8916196578543,4903.208229758523,0.15264337713068182,-290.82104,72.189,-63.26587,-9.561422,-29.39256,-8.231095,-18.426289,3.2121687,-14.901403,-5.7097454,-7.2661076,3.0881274,-0.35420802,-1.1907269,-7.0904784,0.7006819,-4.643835,1.3260493,0.65716875,7.0807385,FAKE
