chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.32073498,0.060328886,4064.974815254401,2239.709048267401,6354.741876775568,0.27025257457386365,-234.6074,2.3376944,2.8754897,30.43972,-20.929714,-9.479412,-19.783455,-0.58856916,-8.874114,-2.887189,-11.567847,-10.321212,-16.809076,-7.506397,-5.965353,-3.7806237,-5.7934437,-6.2732224,-17.60665,-11.817264,FAKE
0.36398992,0.021626925,3712.851936824008,2550.449592690844,6551.232355291193,0.23585094105113635,-396.91113,11.432058,-8.3901205,33.968296,-11.104852,-7.257634,-8.45093,-3.181308,-12.321555,-3.6137514,-2.8293629,4.1976557,-7.7554684,-4.286991,-10.298473,-12.613443,-10.381515,-4.3273273,-12.4294195,-3.2979805,FAKE
0.39413285,0.035862558,2927.9398185930113,2427.4402949527557,5490.722101384943,0.16457297585227273,-345.28018,49.53866,-14.834292,21.319334,-26.043379,-15.039734,2.1278358,-4.3995376,-14.762311,-1.7729516,-2.8457594,-0.5523975,-4.9868464,-5.3893313,-9.762853,-10.29438,-11.203749,-4.961597,-12.144665,-4.646312,FAKE
0.3830947,0.04222757,3449.183246921962,2406.9540145426818,5790.963467684659,0.22450949928977273,-293.72607,35.055336,-1.1386312,18.45798,-1.4258264,-9.515847,-23.738289,-11.540866,-8.407812,-5.381316,-7.2559276,-5.034465,-8.309098,-7.3798065,-12.440316,-7.55587,-9.537945,-7.4254394,-11.184338,-8.896843,FAKE
0.3079668,0.025297247,2225.9569061798466,2295.3762768658485,4488.204678622159,0.09884366122159091,-331.12076,77.948975,-6.838246,-4.227181,-41.35984,-14.873699,-17.2354,-0.55942416,-7.107257,3.2068422,-6.136863,-1.7723975,-4.1588016,-4.6021276,-10.724029,-15.35111,-11.938508,0.951016,-8.099247,-3.224495,FAKE
0.40017492,0.05502719,2148.302211629476,2087.60954487839,4462.02226118608,0.1026611328125,-194.5921,79.75441,-66.05688,-68.27063,-65.10992,2.6912947,-36.294262,-2.2699497,3.2833748,2.012065,-17.651207,-6.10979,-12.050796,-7.2655606,-6.7389035,-1.0531961,-8.302907,4.466045,-1.1245202,6.749701,FAKE
0.47729406,0.03842771,1878.7891769815744,1625.916878587217,3169.0512917258525,0.10535777698863637,-220.65137,89.718864,-104.755005,-41.481712,-61.506016,-16.391104,-21.901464,4.4816785,-3.8927674,4.6756206,-11.239756,-2.9981744,-9.118647,-1.970787,-6.2268085,-7.0022206,-11.992029,0.84519315,1.4651268,5.904875,FAKE
0.50892556,0.019270772,2192.543425476117,1825.886595330866,3805.5042613636365,0.12729714133522727,-262.8401,73.346214,-99.490944,-35.052567,-50.78141,-9.977313,-16.44224,0.25007644,-10.178132,0.9744017,-7.3857837,-0.975082,-8.5091305,2.3777494,-4.314506,-2.564437,-8.904531,1.9563221,2.6354105,4.0953503,FAKE
0.46514612,0.0126791,2415.769659785812,2079.7683165293984,4322.545831853693,0.13948197798295456,-280.48718,73.46854,-72.18805,-20.246841,-41.36494,-18.852219,-19.731485,-6.8974795,-18.017601,-2.2660391,-7.3562603,-2.6160889,-7.747331,-2.8653975,-6.473135,-6.43414,-8.228875,-1.0499417,-4.6372085,3.85408,FAKE
0.4867333,0.009318827,2618.766872144199,2178.332099816811,4923.028564453125,0.15191095525568182,-294.50473,66.8314,-67.90246,-14.465607,-34.21786,-13.341302,-22.956194,-1.4062123,-19.462128,-10.36539,-11.400153,-0.6136226,-3.8834655,-4.765003,-10.410575,-2.3323622,-7.405811,-1.2512829,-1.7594147,4.981698,FAKE
0.35800952,0.053835753,2945.364970913565,2303.3367474342867,5203.204900568182,0.16004527698863635,-238.36758,38.567688,-26.737335,28.127901,-17.232567,-10.615888,-14.076156,-11.421189,-9.954002,-9.703127,-12.785297,-1.9676076,-20.142904,-4.759943,-7.17596,-10.03784,-9.333422,-6.350754,-11.66684,-6.892824,FAKE
0.32651195,0.05784458,3392.2251754292224,2300.3770357219964,5645.124955610795,0.2002840909090909,-242.05753,34.35785,-2.4947767,14.821364,-27.915752,-20.09528,-14.163323,-13.857257,-8.8998995,2.614082,-7.782152,-6.5644145,-12.702935,-3.91198,-10.496883,-14.825713,-4.4726057,-7.622141,-14.393069,-0.5530037,FAKE
0.3717896,0.04370973,3885.765491386773,2149.694023628828,6131.090198863636,0.26289506392045453,-284.62454,24.78877,0.70840245,-1.5842563,-30.803972,-1.2146796,-8.616709,3.2198052,-8.763904,3.8684318,-1.4420238,-10.043357,-10.8492565,-4.7057114,-8.992173,-10.594354,-8.255915,-5.8613796,-10.7608795,-6.3506927,FAKE
0.38017443,0.022630034,3090.970931862468,1929.5377789029685,4909.325617009943,0.22295587713068182,-285.87646,66.57895,-41.754246,-32.829006,-57.41661,-11.295701,-11.126822,4.043957,-10.893732,11.757049,-2.2443914,-13.045389,-15.584857,0.22783275,-4.5250287,-3.505445,2.0981982,5.5386972,-6.18226,0.73075753,FAKE
0.33370864,0.06672054,2067.953587221523,2050.937752357396,3756.5651633522725,0.09070933948863637,-222.27882,85.21116,-40.987137,-9.997947,-41.45474,-28.055994,-3.2532072,-8.849526,-5.1077347,6.230692,-14.915415,-10.548629,-19.350409,-4.6336994,-7.524136,-10.27083,-10.359361,-10.915714,-8.820718,-7.9209824,FAKE
0.305445,0.01220634,2233.140562334321,2255.5204761359373,4661.449085582386,0.09087579900568182,-344.77585,80.92002,-34.836906,-22.341269,-60.19381,-16.019737,-2.401691,4.4630504,-13.341717,8.890339,-0.06543005,-8.553023,-14.109408,4.227696,-4.387969,-11.371161,-11.888474,-1.7733173,-7.117186,-2.1813126,FAKE
0.36699006,0.03818406,2589.8871183421757,2260.336211573553,4820.256458629261,0.13320090553977273,-287.91925,59.964333,-39.251366,8.704183,-27.813072,-19.804527,-7.6107297,-0.5041705,-12.166932,2.1168659,-9.97004,-3.757444,-13.446399,-6.059848,-6.9110775,-13.607265,-11.236972,-2.9547029,-14.219285,-3.3760521,FAKE
0.26293173,0.05374092,2482.8486606859096,2294.865073739582,4512.674227627841,0.09810014204545454,-236.46942,59.223377,-19.263184,31.93418,-6.7651935,-20.512022,-21.098433,-16.495356,-5.472592,-4.985787,-14.704077,-0.3316222,-12.815237,-8.0736265,-5.9434414,-12.844531,-7.328992,-9.823098,-12.962121,-4.925104,FAKE
0.41557318,0.03434398,2734.412125718508,2380.1395686519263,4994.234952059659,0.16977761008522727,-337.63867,77.25449,-16.261797,3.6486351,-2.9678514,-8.607624,-15.846341,-10.570831,-0.85342866,7.6087604,-13.95039,-4.7579412,-7.631615,-6.9215274,-9.607034,-11.883083,-11.375407,-4.192609,-12.103033,-1.7562988,FAKE
